半夏,杏仁,豆
半夏,独活,干蝎,甘菊,防风,川芎
炒黑丑,黄芩,大黄
半夏,京三棱,陈皮,黑牵牛,青皮,枳壳
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,紫菀,百部,柿霜,玄明粉,杏仁
半夏,干姜,蝎尾,胡椒
半夏,僵蚕,桔梗,蝉蜕,羌活,活蝎子
远志,杏仁,款冬花,胡桃肉,枸杞,苏子
贝母,杏仁,僵蚕,葶苈,陈皮,代赭石
半夏,杏仁,款冬花,白果,苏子,黄芩
半夏,杏仁,款冬花,白果,苏子,黄芩
杏仁,陈皮,五味子,麻黄,石膏,砂仁
贝母,半夏,莱菔,白芥子,杏仁,豆豉
天竺黄,银箔,生犀角,远志,金箔,龙脑
玄明粉,姜汁,生硼砂,朱砂面,竹沥膏,煅金礞石
半夏,麦芽,陈皮,广荗,川丁皮,茯苓
生犀屑,龙脑,川芎,菊花,细辛,防风
半夏,款冬花,苦梗,五味子,枳实,麻黄
半夏,天南星,干姜,白蛤粉,薄荷,茯苓
半夏,天南星,干姜,薄荷,蛤粉,茯苓
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,旋复花,麦冬,陈皮,赭石
天南星,龙脑,天麻,真珠末,白附子,干蝎
天竺黄,龙脑,天麻,丹砂,铅白霜,茯苓
瑇瑁,真珠,龙脑,犀角,丹砂,麝香
贝母,当归,白术,陈皮,菖蒲,五味子
半夏,白术,丁香,姜黄,白檀香,生姜
鹅梨,皂荚,天麻,威灵仙,薄荷,白蒺藜
半夏,紫团参,鳖甲,阿胶,甘草
贝母,半夏,杏仁,葶苈,青礞石,板蓝根
半夏,羌活,茯苓,防风,广皮,甘草
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,胆草,陈皮
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,茯苓,厚朴,广皮,甘草
半夏,陈皮,茯苓,厚朴,苏梗,甘草
半夏,当归,陈皮,枳实,茯苓,滑石
二陈汤加炒山栀,黄连,生姜
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,杏仁,款冬花,罂粟壳,玄参
贝母,半夏,陈皮,茯苓,知母,甘草
贝母,麦门冬,知母,天门冬
半夏,天南星,川朴,僵蚕,桔梗,陈皮
天竺黄,竹茹,百部,天冬,瓜蒌仁,陈皮
贝母,麦冬,知母,天门冬
贝母,提麦冬,北沙参,淡天冬,南沙参,知母
竹茹,远志,菖蒲,龙骨,泽泻,白芍
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,陈皮,白姜,厚朴,草果子
贝母,桔梗,元参,陈皮,花粉,前胡
贝母,芍药,桔梗,陈皮,苍术,花粉
半夏,独活,天麻,茯苓,芎,防风
杏仁,木香,防己
贝母,半夏,玉竹,天冬,麦冬,北沙参
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
白鲜,龙齿,枳实,黄芩,茯神,麦门冬
贝母,杏仁,葶苈,桔梗,陈皮,金银花
鱼腥草,铁树叶,白花蛇舌草,党参,黄芪,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,菊花炭,麦冬,饴糖
半夏,黑牵牛子,粉霜,白矾
片脑,白豆蔻末,芽茶,白檀香末
贝母,半夏,玄明粉,桔梗,白术,陈皮
贝母,半夏,玄明粉,桔梗,白术,陈皮
半夏
半夏,檀香,百药煎,陈皮,花粉,细茶
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,皂角,干姜,陈皮
半夏,莱菔,天南星,瓜蒌仁,白术,陈皮
竹茹,缩砂,菖蒲,郁金,苍术,陈皮
百药煎,杏仁,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,陈皮,五味子,枳实,薄荷
半夏,明矾,硝石
贝母,海藻,黄药子,白酒
鱼腥草,穿心莲,百部,开金锁,生干蟾
知柏,蜈蚣,僵蚕,桔梗,当归,全蝎
贝母,半夏,远志,桔梗,陈皮,五味子
四季青,平地木,干日红,鼠曲草
半夏,竹茹,陈皮,枳实,龙眼肉,茯苓
天竺黄,生石决明,生川军,钩藤,枳实,黄芩
贝母,桔梗,片芩,当归,陈皮,瓜蒌
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,杏仁,瓜蒌皮,龙骨,桂枝,牡蛎
半夏,远志,白术,破故纸,桂枝,熟附块
栝蒌实,炮干姜,桔梗,败酱草,厚朴,防风
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,夏枯草,陈皮,牡蛎
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,白芍,人参,香附
半夏,当归,白术,陈皮,茯苓,白芍
海藻,鸡血藤,黄芪,黄精,玄参,丹参
半夏,党参,白术,陈皮,破故纸,紫河车
半夏,天南星,百药煎,明矾,五味子,池矾
半夏,天南星,香墨,白附子,芎,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,白术,陈皮,泽泻,黄芩
贝母,桔梗,诃子,胖大海,连翘,蝉蜕
贝母,天竺黄,半夏,白芥子,胆南星,葶苈
半夏,海粉,杏仁,诃子,栝楼,青黛
蛤蚧,成炼钟乳,款冬花,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,蛤蚧,寸冬
远志,虎睛,栀子,犀角屑,大黄
半夏,陈皮,苍术,茯苓,厚朴,藿香
半夏,陈皮,厚朴,藿香,甘草
半夏,陈皮,厚朴,藿香,甘草
半夏,丁香,陈皮,茯苓,藿香,生姜
半夏,竹茹,碧玉散,陈广皮,青蒿脑4,青子芩4
桔梗,僵蚕,全蝎,天麻,麻黄,苏木
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,血竭,琥珀,京墨
胆南星,朱砂,竺黄,苏珠,制军,地龙
贝母,半夏,天冬,血琥珀,京知母,茯苓
天竺黄,天南星,檀香,朱砂,枳实,红参
天竺黄,天南星,檀香,粉草,金箔,水飞朱砂
天竺黄,天南星,僵蚕,朱砂,全蝎,雄黄
天竺黄,天南星,檀香,蜂蜜,朱砂,金箔
贝母,天竺黄,胆南星,僵蚕,全蝎,飞腰黄
天竺黄,胆南星,辰砂,腰黄,月石,茯苓
天竺黄,天南星,僵蚕,辰砂,钩藤,真麝香
贝母,天竺黄,胆南星,僵蚕,桔梗,朱砂
天南星,远志,人乳,大辰砂,真琥珀,菖蒲
贝母,天竺黄,青礞石,月石,伽楠香,麝香
贝母,青礞石,天竹黄,月石,沉香,麝香
远志,麝香3厘,金箔,桔梗,粉草,辰砂
海粉,青黛,黄芩,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,红花,莪术,桃仁
透骨草,老葱胡,马前子,烧酒,牛膝,乳香
半夏,昆布,当归,陈皮,红花,茯苓
半夏,当归,地黄,陈皮,茯苓,白芍
贝母,桔梗,枸杞,当归,白术,麦冬
天竺黄,梅片,僵蚕,朱砂,草蔻,丁香
半夏,桂心,芍药,白术,羌活,枳实
杏仁,蛤蚧,葶苈,商陆,麻黄,茯苓
槐实,皂荚,牵牛子,芎,菊花,枳壳
黄酒,山慈菇,核桃肉
白芥子,上肉桂,全丝瓜,白僵蚕,干姜,陈皮
天竺黄,天南星,桔梗,僵蚕,柴胡,天麻
梓朴,益智仁,干姜,黑附子,茴香,川椒
半夏,丁香,厚朴,生姜,枣仁,甘草
杏仁,紫苏,陈皮,麻黄,茯苓,桑白皮
天南星,粉草,全蝎,独活,天麻,羌活
天南星,粉草,全蝎,独活,天麻,羌活
半夏,天南星,皂角,白附子,干生姜,轻粉
天南星,蒌仁,陈皮,陈皮,元芩,清夏
五倍子
贝母,半夏,昆布,海藻,海带,连翘
半夏,桔梗,干姜,茯苓
半夏,天南星,麦蘖,杏仁,皂角,陈皮
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
天络丝
半夏,天南星,干姜,枯矾,巴豆,滑石
半夏,天南星,杏仁,瓜蒌仁,陈皮,紫苏
半夏,杏仁,葶苈,桔梗,陈皮,五味子
半夏,麦蘖,葶苈,桔梗,硼砂,荆三棱
