辰砂,琥珀,麝香,乳香,没药
茯神,金箔,远志,辰砂,桔梗,木香
朱砂,琥珀,珍珠,冰片,麝香,丹参
红糖,粳米,合欢花
鸡蛋,芡实,去芯莲子,山药
朱砂,铁粉,蛇黄,蝉壳,川芎,脑子
茯神,金箔,天竺黄,朱砂,蝉蜕,白附
茯神,金箔,天竺黄,铁粉,朱砂,远志
金箔,辰砂,防风,羌活,麝香,丹参
金箔,天竺黄,铁粉,铅霜,虎睛,麝香
茯神,金箔,朱砂,铁粉,远志,犀角屑
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
金箔,天竺黄,辰砂,白矾,皂荚仁,半夏
茯神,金箔,远志,辰砂,冰片,皮硝
茯神,枣仁,合欢花,橘饼,柴胡,当归
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,芍药,当归
枣仁,远志,生地,麦门冬,枳壳,丹皮
枣仁,远志,生地,厚朴,枳壳,丹皮
朱砂,琥珀,牵牛,天麻,冰片,大黄
2钱,钱,熟军,土鳖虫,自然铜,当归
朱砂,黄芩,减半,黄柏,雄黄,山栀仁
大腹子,谷蘖,随风子,薏仁,石斛,槟榔
川姜,天麻,白僵蚕,干蝎,天南星,白附子
茯神,远志,代赭石,胆南星,陈皮,丹参
枣仁,远志,地黄,五味子,半夏,竹茹
茯神,枣仁,远志,人参,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁,地黄
茯神,远志,紫苏,半夏,厚朴,茯苓
茯神,枣仁,琥珀,枸杞,白人参,山萸
川姜,天麻,白僵蚕,干蝎,天南星,白附子
茯神,枣仁,远志,丹皮,麦冬,生地
茯神,远志,当归,麦冬,犀角,知母
茯神,巴戟,阳起石,黑附子,肉豆蔻,菟丝子
肉桂心,生川连
琥珀,茯苓,香附
檀香,石灰华,榜嘎,高山辣根菜,红景天,洪连
檀香,石灰华,榜嘎,高山辣根菜,红景天,洪连
珍珠母,女贞子,地黄,菟丝子,当归,地骨皮
远志,菖蒲,龟甲,龙骨
茯神,远志,地黄,车前子,麦门冬,地骨皮
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,柏仁,姜皮,丹参
先将猪肚净洗,搜下项药,入先洗猪肚内,锉,研为膏,缝定
钟乳,巴戟,肉蔻,阳起石,灵砂,葫芦芭
辰砂,蝎梢,真麝香1字,白僵蚕,蜈蚣,人参
干百合,蜂蜜
茯神,枣仁,半夏,当归,五味子,陈皮
茯神,金箔,枣仁,远志,琥珀,辰砂
茯神,枣仁,远志,当归,罗参,陈皮
茯神,天竺黄,桔梗,明天麻,胆南星,薄荷
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,桔梗,木香,麝香
茯神,枣仁,朱砂,远志,地黄,车前子
茯神,远志,丹参,丹参,黄芩,麦冬
茯神,地黄,芡实,莲花须,枸杞,紫石英
珍珠母,枣仁,合欢皮,丹参,夏枯草,钩藤
大朱砂,梅花片,真豆粉,丹参,甘草
珍珠母,黄芩,水牛角,胆酸,猪脱氧胆酸,金银花
枣仁,木香,肉豆蔻,丁香,牛心粉,枫香脂
菖蒲,芍药,乌梅肉,地黄,当归,人参
茯神,枣仁,朱砂,远志,牡蛎,人参
枣仁,茯苓,知母,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,炒柏子仁,龙骨
光明砂,磁石,神曲
辰砂,琥珀,麝香,当归,木香,没药
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,元参,胆南星,陈皮
远志,肉苁蓉,巴戟天,菟丝子,山萸,山药
枣仁,白术,当归,莲肉,干姜,山药
朱砂,琥珀,天南星
朱砂,远志,琥珀,生地,黄耆,白术
檀香,朱砂,琥珀,降香,冰片,大赤金箔
檀香,朱砂,琥珀,降香,冰片,莲子心
茯神,枣仁,远志,辰砂,地黄,紫石英
檀香,枣仁,石灰华,野姜,木香,肉豆蔻
金箔,朱砂,琥珀,白僵蚕,半夏,羌活
茯神,金箔,铁粉,远志,麝香,白附子
远志,巴戟,菟丝子,地黄,威灵仙,牛膝
檀香,川芎,三,桔梗,白芷,甘草
枣仁,远志,柏子仁,麦门冬,地黄,桔梗
茯神,枣仁,远志,地黄,桔梗,麦门冬
枣仁,远志,朱砂,菖蒲,柏子仁,地黄
枣仁,川芎,山萸,五味子,菊花,破故纸60宽
