辰砂,琥珀,乳香,麝香,没药
茯神,金箔,远志,辰砂,黄耆,山药
朱砂,琥珀,珍珠,龙涎香,丹参,犀角粉
红糖,粳米,合欢花
鸡蛋,山药,去芯莲子,芡实
朱砂,铁粉,蛇黄,山药,羌活,僵蚕
茯神,金箔,朱砂,天竺黄,防风,蝉蜕
茯神,金箔,朱砂,天竺黄,远志,铁粉
金箔,辰砂,防风,天麻,犀角,丹参
金箔,天竺黄,铁粉,龙齿,铅霜,虎睛
茯神,金箔,朱砂,远志,犀角屑,铁粉
金箔,天竺黄,辰砂,皂荚仁,白矾,二
金箔,天竺黄,辰砂,皂荚仁,白矾,生白龙脑
茯神,金箔,远志,辰砂,菖蒲,乌梅肉
茯神,枣仁,合欢花,郁金,当归,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,芍药
枣仁,远志,丹皮,熟地,麦门冬,生地
枣仁,远志,厚朴,丹皮,熟地,生地
朱砂,琥珀,大黄,牵牛,天麻,胆南星
土鳖虫,钱,2钱,熟军,当归,自然铜
朱砂,黄芩,黄柏,山栀仁,减半,雄黄
随风子,大腹子,谷蘖,石斛,薏仁,槟榔
川姜,天麻,白僵蚕,干蝎,天南星,川乌
茯神,远志,菖蒲,麦冬,胆南星,贝母
枣仁,远志,枳实,五味子,人参,陈皮
茯神,枣仁,远志,柏子仁,菖蒲,人参
枣仁,朱砂,远志,菖蒲,柏子仁,当归
茯神,远志,厚朴,甘草,半夏,茯苓
茯神,枣仁,琥珀,菖蒲,熟地,枸杞
川姜,天麻,白僵蚕,干蝎,天南星,川乌
茯神,枣仁,远志,丹皮,石斛,生地
茯神,远志,犀角,当归,麦冬,知母
茯神,巴戟,黑附子,厚朴,阳起石,干姜
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,洪连,高山辣根菜,红景天,丹参
檀香,石灰华,洪连,高山辣根菜,红景天,丹参
珍珠母,地骨皮,太子参,当归,山药,菟丝子
远志,菖蒲,龙骨,龟甲
茯神,远志,桂心,麦门冬,龙齿,山药
枣仁,远志,琥珀,菖蒲,芍药,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,柏仁,姜皮
复以葱,蜜,新莲肉,石斛,面,入银石器内水熬烂
巴戟,钟乳,阳起石,葫芦芭,黑附子,肉蔻
辰砂,蝎梢,真麝香1字,白僵蚕,人参,蜈蚣
干百合,蜂蜜
茯神,枣仁,当归,五味子,人参,赤芍
茯神,金箔,枣仁,远志,琥珀,辰砂
茯神,枣仁,远志,黄耆,当归,罗参
茯神,天竺黄,防风,枳壳,明天麻,胆南星
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,黄蓍,人参
茯神,枣仁,朱砂,远志,麦门冬,龙齿
茯神,远志,菖蒲,黄芩,麦冬,丹参
茯神,枸杞,肉苁蓉,紫石英,韭子,五味子
珍珠母,枣仁,合欢皮,夏枯草,钩藤,丹参
大朱砂,真豆粉,梅花片,丹参,甘草
珍珠母,黄芩,胆酸,猪脱氧胆酸,板蓝根,水牛角
枣仁,枫香脂,牛心粉,木香,沉香,丁香
茯神,枣仁,朱砂,远志,牡蛎,人参
枣仁,知母,甘草,茯苓,芎藭
枣仁,粳米
枣仁,夜交藤,生地,龙骨,炒柏子仁,丹参
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,木香,麝香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,麦冬,胆南星
远志,巴戟天,肉苁蓉,菟丝子,五味子,牛膝
枣仁,干姜,当归,山药,白术,莲肉
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,当归,生地
檀香,朱砂,琥珀,降香,天麻,建莲心
檀香,朱砂,琥珀,降香,郁金,天麻
茯神,枣仁,远志,辰砂,柏子仁,黄耆
檀香,枣仁,石灰华,高山辣根菜,红花,悬钩子茎
金箔,朱砂,琥珀,羌活,白僵蚕,天南星
茯神,金箔,远志,铁粉,银箔,白僵蚕
远志,巴戟,牛膝,菟丝子,苁蓉,威灵仙
檀香,白芷,三,川芎,桔梗,甘草
枣仁,远志,柏子仁,麦门冬,当归,五味子
茯神,枣仁,远志,柏子仁,菖蒲,麦门冬
枣仁,朱砂,远志,菖蒲,柏子仁,当归
枣仁,菊花,山药,党参,山萸,五味子
枣仁,远志,桂心,黄芩,麦门冬,萆薢
葱,酒,乌灵参,鸡,姜,盐
朱砂,黄芩,郁金,丹参,栀子,黄连
枣仁,柏子仁,丹皮,丹参,莲子心,玄参
茯神,犀角屑,黄芩,麦门冬,龙齿,人参
辰砂,琥珀,枸杞,荆芥,白芍,党参
茯神,珍珠母,合欢皮,夏枯草,丹参,钩藤
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,人参,脑,真珠,麝
天竺黄,菖蒲,飞朱砂,煅青礞石,珠粉,胡连
