半夏,槟榔,京三棱,陈皮,黑牵牛,木香
半夏,天南星,黑牵牛,猪牙皂角,白矾
天南星,木香
半夏,天南星,干姜
贝母,百部,杏仁,桔梗,紫菀,阿胶
半夏,干姜,蝎尾,胡椒
半夏,桔梗,僵蚕,活蝎子,蝉蜕,羌活
杏仁,远志,款冬花,苏子,五味子,胡桃肉
贝母,杏仁,葶苈,黛蛤散,陈皮,苏子
半夏,款冬花,杏仁,苏子,白果,黄芩
半夏,款冬花,杏仁,苏子,白果,黄芩
杏仁,五味子,陈皮,砂仁,石膏,麻黄
贝母,半夏,莱菔,白芥子,杏仁,豆豉
天竺黄,真珠末,金箔,桂,蛇蜕皮,龙脑
玄明粉,姜汁,煅金礞石,竹沥膏,朱砂面,生硼砂
半夏,麦芽,陈皮,广荗,茯苓,川丁皮
生犀屑,龙脑,菊花,防风,川芎,白芷
半夏,款冬花,五味子,苦梗,阿胶,枳实
半夏,天南星,干姜,藿香,白蛤粉,寒水石
半夏,天南星,干姜,藿香,蛤粉,寒水石
半夏,杏仁,马兜铃,巴豆
贝母,白蒺藜,白蒺藜,杏仁,旋复花,石斛
天南星,真珠末,天麻,龙脑,干蝎,犀角
天竺黄,天麻,龙脑,铅白霜,人参,丹砂
瑇瑁,真珠,龙脑,阿胶,犀角,丹砂
贝母,当归,白术,陈皮,菖蒲,丹参
半夏,白檀香,白术,丁香,姜黄,人参
鹅梨,白蒺藜,天麻,皂荚,薄荷,威灵仙
半夏,鳖甲,阿胶,紫团参,甘草
贝母,半夏,葶苈,杏仁,青礞石,紫苏
半夏,茯苓,广皮,羌活,防风,甘草
杏仁,桔梗,麻黄
半夏,海藻,白芥子,昆布,胆草,陈皮
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,茯苓,广皮,厚朴,甘草
半夏,陈皮,茯苓,苏梗,厚朴,甘草
半夏,当归,滑石,陈皮,枳实,川芎
二陈汤加炒山栀,黄连,生姜
半夏,陈皮,茯苓,甘草
贝母,知母,石膏
贝母,杏仁,款冬花,紫菀,罂粟壳,百合
贝母,半夏,陈皮,茯苓,知母,甘草
贝母,麦门冬,天门冬,知母
半夏,天南星,川朴,桔梗,僵蚕,陈皮
天竺黄,百部,竹茹,麦冬,陈皮,天冬
贝母,麦冬,天门冬,知母
贝母,提麦冬,淡天冬,北沙参,南沙参,知母
竹茹,远志,龙骨,泽泻,丹皮,菖蒲
半夏,天南星,白僵蚕,飞过枯矾
