茯神,枣仁,巴戟,远志,辰砂,琥珀
辰砂,琥珀,乳香,没药,麝香
茯神,金箔,远志,辰砂,黄耆,益智
朱砂,珍珠,琥珀,龙涎香,薄荷,丹参
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,羌活,天南星,山药
茯神,金箔,朱砂,天竺黄,防风,白附
茯神,金箔,朱砂,铁粉,天竺黄,青龙齿
金箔,辰砂,防风,羌活,天麻,犀角
金箔,天竺黄,铁粉,银箔,铅霜,虎睛
茯神,金箔,朱砂,铁粉,远志,犀角屑
金箔,天竺黄,辰砂,生白龙脑,二,皂荚仁
金箔,天竺黄,辰砂,生白龙脑,皂荚仁,白矾
茯神,金箔,远志,辰砂,菖蒲,丹参
茯神,枣仁,合欢花,郁金,白芍,柴胡
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,芍药
枣仁,远志,丹皮,枳壳,熟地,生地
枣仁,远志,丹皮,枳壳,熟地,生地
朱砂,琥珀,天麻,牵牛,钩藤,大黄
熟军,土鳖虫,钱,2钱,当归,自然铜
朱砂,黄芩,减半,山栀仁,黄柏,雄黄
谷蘖,随风子,大腹子,薏仁,石斛,陈皮
川姜,天麻,天南星,白僵蚕,白附子,干蝎
茯神,远志,菖蒲,贝母,麦冬,钩藤
枣仁,远志,地黄,竹茹,陈皮,枳实
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,当归
茯神,远志,厚朴,甘草,紫苏,茯苓
茯神,枣仁,琥珀,菖蒲,肉苁蓉,熟地
川姜,天麻,天南星,白僵蚕,白附子,干蝎
茯神,枣仁,远志,生地,丹皮,白芍
茯神,远志,麦冬,当归,知母,犀角
茯神,巴戟,阳起石,黑附子,肉苁蓉,干姜
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,高山辣根菜,榜嘎,洪连,红景天
檀香,石灰华,高山辣根菜,榜嘎,洪连,红景天
珍珠母,太子参,当归,女贞子,菟丝子,地骨皮
远志,菖蒲,龟甲,龙骨
茯神,远志,桂心,麦门冬,天门冬,地骨皮
枣仁,远志,琥珀,菖蒲,芍药,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,姜皮,广皮
入先洗猪肚内,控干,面,洗去蜜酒令尽,醋,用药同水酒入银石器内煮半日
巴戟,灵砂,金铃子,葫芦芭,肉蔻,阳起石
辰砂,蝎梢,真麝香1字,白僵蚕,蜈蚣,人参
干百合,蜂蜜
茯神,枣仁,当归,赤芍,陈皮,人参
茯神,金箔,枣仁,远志,辰砂,琥珀
茯神,枣仁,远志,黄耆,当归,罗参
茯神,天竺黄,防风,枳壳,贝母,明天麻
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,人参,黄蓍
茯神,枣仁,朱砂,远志,麦门冬,天门冬
茯神,远志,菖蒲,黄芩,麦冬,丹参
茯神,肉苁蓉,芡实,莲花须,牛膝,韭子
珍珠母,枣仁,合欢皮,夏枯草,钩藤,丹参
真豆粉,梅花片,大朱砂,丹参,甘草
珍珠母,黄芩,水牛角,猪脱氧胆酸,胆酸,板蓝根
枣仁,牛心粉,枫香脂,沉香,肉豆蔻,木香
茯神,枣仁,朱砂,远志,牡蛎,益智
枣仁,知母,甘草,芎藭,茯苓
枣仁,粳米
枣仁,夜交藤,生地,丹参,炒柏子仁,龙骨
光明砂,磁石,神曲
辰砂,琥珀,滴乳,当归,没药,麝香
使君子仁,铁粉,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母,麦冬
远志,白酒,肉苁蓉,巴戟天,菟丝子,牛膝
枣仁,干姜,当归,莲肉,山药,人参急者用30克
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,生地,白芍
檀香,朱砂,琥珀,降香,天麻,玉金
檀香,朱砂,琥珀,降香,郁金,天麻
茯神,枣仁,远志,辰砂,黄耆,柏子仁
檀香,枣仁,石灰华,高山辣根菜,木藤蓼,悬钩子茎
金箔,朱砂,琥珀,羌活,天南星,真铁粉
茯神,金箔,铁粉,远志,银箔,白附子
远志,巴戟,菟丝子,牛膝,苁蓉,威灵仙
檀香,三,白芷,甘草,川芎,桔梗
枣仁,远志,柏子仁,麦门冬,当归,丹参
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬
枣仁,朱砂,远志,菖蒲,柏子仁,麦冬
枣仁,山药,山萸,破故纸60宽,菊花,益智仁
枣仁,远志,黄芩,桂心,麦门冬,萆薢
葱,乌灵参,酒,鸡,姜,盐
朱砂,黄芩,郁金,栀子,丹参,黄连
枣仁,柏子仁,丹皮,丹参,莲子心,玄参
茯神,犀角屑,黄芩,麦门冬,龙齿,人参
辰砂,琥珀,青龙齿,枸杞,柴胡,白芍
茯神,珍珠母,合欢皮,夏枯草,钩藤,丹参
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,脑,真珠,胆南星,麝,人参
天竺黄,菖蒲,胡连,飞朱砂,珠粉,西丹参
远志,辰砂,肉苁蓉,牡蛎,干姜,人参
茯神,枣仁,远志,黄耆,柏子仁,白芍
朱砂,钩藤,白术,人参,甘草,茯苓
枣仁,远志,黄耆,麦门冬,当归,淡竹叶
葱,白糖,味精,玉竹,花椒,香油
枣仁,合欢皮,女贞子,浮小麦,灵芝,何首乌
枣仁,白糖,粳米,夜交藤
远志,茯苓X克,芍药,黄耆,桂心,当归
枣仁,薏仁,当归,麦冬,大热地,川断
茯神,枣仁,柏子仁,枳壳,生地,丹皮
茯神,枣仁,远志,黄耆,柏子仁,熟地
寒水石,黄金,丁子香,磁石,犀角,羚羊角
朱砂,柏子仁,肉苁蓉,紫石英,龙骨,螵蛸
茯神,枣仁,远志,当归,地黄,羚羊角
