赤芍,莪术,桃仁,三棱,丹参
冰片,甘草,朱砂面,滑石,雄黄
铜绿,新针,甘石,胆矾,归尾,苦参
金银花,赤芍,柴胡,木通,防风,甘草
冰片,硇砂,草乌,肉桂,天南星,炒甘松
五倍子,葱白,小麦,朴消,白矾
银花,赤芍,牛蒡,黄柏,升麻,甘草
赤小豆,黄柏,青盐,马牙消,麒麟竭,杏仁
金银花,赤芍,升麻,连翘,柴胡,归尾
银花,赤芍,花粉,连翘,薄荷,黄柏
食盐,鲜黄花菜
冬瓜皮,生姜皮,白糖,茯苓皮,黄芪,枣仁
清油,零陵香,地黄,黄蜡,防风,天麻
大戟,甘遂,陈曲,麦蘖,黄耆,陈皮
黄柏,栀子,当归,黄芩,大黄
五倍子,枯矾,白芷,蛇床子,黄丹,白凤仙花
冰片,龙骨,儿茶,元连,甘石,轻粉
马钱子,黑附子,穿山甲
连翘,茵陈,木通,贝母,藿香,芍药
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
乳香,橘核,昆布,荔枝核,茴香,茴香
金银花,茯苓,木通,归尾,薏仁,防风
白酒,红蓝花
酒精,75,红花
冰片,松香,潮脑,白芷,银朱,贝母
赤芍,白及,红花,防风,当归
冰片,枯矾,鸡内金,硼砂,滑石,鹅不食草
冰片,枯矾面,棉胭脂
冰片,西瓜霜,月石,元明粉,乌贼骨,石膏
血竭,海藻,琥珀,五灵脂,京墨,天南星
白芷,天南星,郁金,大黄
油,木鳖子,桂心,白芷,琥珀,黄丹
梅片,珍珠,熊胆,血琥珀,儿茶,丹参
乳香,没药,黑丑,琥珀,沉香,槟榔
獾油,冰片面
獾油,地榆,石膏,大黄
乳香,没药,菖蒲,雄黄,黄米,蜈蚣
冰片,血竭,没药,香油,乳香,头发
冰片,乳香,三七,当归,土鳖虫,自然铜
乳香,三七,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,白芷,儿茶
6次,贴敷患处,胶布固定,活蚯蚓数条,用纱布蘸透此液,外盖纱布
茯苓皮,车前子,泽兰,大腹皮,黄芪,金钱草
金银花,没药,乳香,白芷,连翘,花粉
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,防风,黄芩,当归,枳壳
乳香,没药,甘草,栝楼,苏木,忍冬
五倍子
冰片,西瓜霜,人指甲,玄明粉,熊胆,金果榄
乳香,没药,赤芍,贝母,花粉,红花
葶苈,甘遂,红芽大戟,灵脂,牙皂,豆豉
葶苈,大戟,甘遂,灵脂,牙皂,淡豆豉
祛湿药膏,化毒散
乳香,没药,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,桃仁,川椒,雄黄
鸡蛋
冬瓜,鲫鱼
白茅根,薄荷,野菊花,贝母
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,僵蚕,硇砂,火消,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,山甲,明雄,朱砂,全蝎,僵蚕
黄柏,山菊花,栀子,黄连,黄芩
叶子雌黄,槟榔,麝香,郁金,黄连,大黄
三七,马钱子霜,金刚莲,红花,陈皮,接骨木
三七,马钱子霜,金刚莲,见血清,捆仙绳,18厘米
冰片,蒲黄,僵蚕,枪消,牙皂
京红粉,元明粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,松香,白芷,连翘,天南星,凡士林
蟾酥,朱砂,雄黄,丁香
蒲公英,银花,赤芍,薄荷,连翘,花粉
银花,花粉,赤芍,连翘,白芷,薏仁
蒲公英,赤芍,金银花,连翘,川军,甘草
白菊花
花椒,陈酒糟,葱白,生葱,广胶,艾叶
香油,章丹
金银花,连翘,甘草,丹皮,山栀,芍药
橘核,川军,干姜,玄胡,乌药,金铃子
没药,血竭,乳香,发灰,土鳖虫,自然铜
花椒,槐枝,大蒜头,黄丹,生姜,葱白
马钱子,草乌,枳壳
乳香,没药,苏木,好麻
没药,木鳖子,茯苓,虎骨随多少,自然铜,羊胫骨灰
发灰,小黄米面,皂角末
冰片,没药,青鱼胆,乳香,熊胆,丹参
鸡内金,薄荷,升麻,栀子,黄连
乳香,没药,木鳖子,葱,清油,白胶香
乌药,穿山甲,红花,茯苓,独活,甘草
蒲公英,赤芍,马勃,桔梗,草河车,瓜蒌
官桂,车前子,茯苓,地黄,黑附子,茱萸
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,桑白皮,白僵蚕,阿胶
黄柏,桃仁,熟地,芍药,羌活,当归
昆布,海藻,木通,茯苓,半夏,白术
乳香,没药,黄柏,紫苏,薄荷,杏仁
黄柏,薄荷,苏叶,甘草,苍术,杏仁
乳香,没药,黄柏,薄荷,苏叶,杏仁
冰片,月石,龙骨,滑石,贝母,朱砂
乳香,没药,麻黄,马钱子粉
乳香,没药,自然铜,土鳖虫,麻黄,马前子
醋2500毫升,半夏
大独活,广地龙,西秦艽,杜仲,威灵仙,狗脊
或,3克,9克,9克,萝卜子,厚朴
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,马勃,甘草,蒲黄,僵蚕
粳米,蔓荆子,鹿头肉,香子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,黄蜡,蛇蜕皮,杏仁
冰片,血竭,没药,乳香,硼砂,熊胆
银花,红藤,炙山甲,丹皮,皂角刺,桃仁
蒲公英,金银花,连翘,夏枯草,红藤,贝母
银花,赤芍,花粉,连翘,薄荷,黄柏
金银花,赤芍,白芷,连翘,花粉,黄柏
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,人参,茯苓,桑白皮,贝母,五味子
蟾酥,乳香,硇砂,丁香,金顶砒,朱砂
没药,蟾酥,血竭,朱砂,金脚信,龙脑
蟾酥,血竭,胆矾,朱砂,京墨,麝香
蟾酥,血竭,胆矾,朱砂,京墨,麝香
昆布,海石,天葵子,贝母,牡蛎
赤芍,炒桃仁,刘寄奴,生地,枳壳,大黄
乳香,没药,木鳖子,白僵蚕,白芷,自然铜
赤芍,紫苏,黄柏,玄胡,葱,柴胡
冬瓜皮,官桂,车前子,大腹皮,姜川朴,蝼蛄虫
蟾酥,西丹参,珠粉,飞朱砂,飞腰黄,麝香
冰片,蟾酥,珍珠,丁香,丹参,雄黄
芙蓉叶,天南星,草乌,川乌,野芋头
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆,牡蛎
冰片,血竭,没药,蟾酥,乳香,葶苈
生姜皮,车前子,大腹皮,山楂,木通,川萆解
蒲公英,粳米
白芷,紫草茸,茯苓,半夏,地黄,甘草
银花,赤芍,连翘,薄荷,牛蒡,防风
金银花,麦冬,桔梗,玄参,青果,北豆根
紫苏,地肤子,葫芦巴,桃仁,茯苓,槟榔
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,甘草,黄连,黄芩
连翘,白芷,桔梗,射干,黄连,柴胡
冰片,血竭,没药,乳香,赤小豆,地龙
闹羊花
芙蓉叶,滑石,生川柏,东丹,花粉,黄芩
茶叶末,生清油
赤芍,连翘,花粉,黄柏,地黄,桔梗
赤芍,连翘,花粉,黄柏,地黄,桔梗
金银花,薏仁,麦冬,甘草,当归,玄参
蒲公英,金银花,连翘,甘草,瓜蒌,生地
蒲公英,赤芍,金银花,连翘,车前子,丹皮
金银花,连翘,地黄,甘草,当归,川芎
连翘,薄荷,牛蒡,桔梗,前胡,黄连
金银花,玄明粉,连翘,薄荷,鼠粘子,防风
芙蓉叶,赤小豆,黄柏,白及,紫车前,皮硝
冰片,血竭,没药,乳香,红花,儿茶
金银花,麦冬,生地,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星,厚朴
白酒,如意草
赤芍,昆布,海藻,柴胡,鸡血藤,王不留行
连翘,元参,花粉,升麻,鼠粘子,白术
冰片,血竭,三七,地黄,独活,薄荷
冰片,血竭,没药,乳香,白芷,儿茶
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,山慈菇,红芽大戟,文蛤,麝香
金银花,没药,乳香,白芷,花粉,防风
酸石榴,甜石榴,苍耳子,清酒,羌活,苦参
车前子,薏仁,生枳,车前草,蝉衣,白术
冰片,虎杖,黄柏
白芷,黄柏,郁金,绿豆粉,白及,轻粉
樟冰,如意金黄散
金银花,赤芍,牛蒡,射干,桔梗,甘草
大腹子,干姜,木瓜,茯苓,黑附子,甘草
芙蓉叶,泽兰叶,黄柏,黄芩,黄连,大黄
黄柏末,大黄末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
西丹参,大梅片,青鱼胆,马勃,硼砂,血琥珀
马钱子,枳壳
连翘,薄荷,白芷,黄柏,菊花,荆芥
白菊花,白蒺藜,黄柏,北防风,地黄,甘草
芙蓉叶,赤小豆,白及,半夏,草乌,五倍子
芙蓉叶,牛膝,金桐叶,薄荷,泽兰叶,耳草叶
没药,桂心,琥珀,麝香,当归,芍药
葶苈,茯苓,木通,猪苓,滑石,白术
葶苈,人参,茯苓,桑白皮,贝母,五味子
乳香,没药,白芷,红花,防风,透骨草
连翘,薄荷,夏枯草,荆芥,杏仁,莱菔
粳米,桃花瓣
乳香,没药,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,茯苓,滑石,茯神,泽泻
赤小豆,白樟柳根,木香,陈皮
乳香,没药,黄柏,肉桂,白及,丹皮
蚕蜕,猪蹄蜕,穿山甲,荆芥,蛇蜕,粉草
白芷,天南星,红花,当归,防风
白芷,穿山甲,当归,生地,黄耆
赤芍,连翘,牛蒡,地黄,水牛角浓缩粉,桔梗
生姜皮,茯苓皮,大腹皮,桑白皮,陈皮
蒲公英,银花,紫背天葵子,地丁,野菊花
乳香,没药,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,甘草,玄参,大黄
芙蓉叶,菖蒲,独活,肉桂,当归,天南星
葶苈,生姜皮,车前子,海金沙,木通,地骨皮
芙蓉叶,天南星,半夏,草乌,五倍子,陈小粉
乳香,白及,丹皮,上冰片
姜黄,黄柏,散血草,透骨草,甘草,陈皮
通脱木,黑牵牛,茯苓,木通,瞿麦,滑石
蒲公英,没药,木瓜,地鳖虫,栀子,乳香
冰片,硼砂,甘草,熊胆,赤石脂,寒水石
蒲公英,芙蓉叶,金银花,甘草,当归,牛蒡
连翘,蓖麻仁,夏枯草
银花,花粉,贝母,白芷,当归,僵蚕
连翘,元参,茯苓,花粉,半夏,栝楼
蚯蚓,雄黄,麻黄,天南星,荆芥,川芎
金银花,没药,乳香,瓜蒌,连翘,知母
葶苈,大戟,茯苓,甘遂,桑白皮,巴戟
乳香,硼砂,15克,1,5克,朱砂
癞虾蟆草,枳壳
乳香,没药,木鳖子,五灵脂,草乌,当归
冰片,没药,乳香,赤芍,甘草,珍珠
粳米,葱白,青头雄鸭
乳香,没药,樟冰,甲片,肉桂,良姜
冰片,铜绿,姜黄,胆矾,甲片,天南星
乳香,没药,赤芍,白芷,牛蒡,草乌
金银花,没药,乳香,赤芍,白芷,防风
葶苈,海藻,桂心,郁李核仁,黄连,石韦
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,茯苓,山楂,黄芪,白术
乌药,乳没,吴萸,黄芪,肉桂,蒲黄
瓜蒌,白芷,零香,白芨,麻黄蓍,松脂
血竭,白芷,甘草,当归,紫草,白占
白芷,苍耳子,杭菊,北芪,辛荑花,白术
蟾酥,朱砂,甘草,雄黄
金银花,硼砂,甘草,山豆根
金银花,赤芍,泽兰,防风,独活,羌活
乳香,没药,硇砂,片脑,白矾,信石
五倍子,朱砂,千金子霜,雄黄,山慈姑,红大戟
乳香,没药,五倍子,肥皂肉
金银花,黄耆,甘草,当归,地丁,芍药
蒲公英,赤芍,茯苓,丹皮,白芷,黄柏
血竭,茯苓,儿茶,红花,甘草,当归
薄荷,土鳖虫,买麻藤,九龙川,樟脑,穿壁风
没药,血竭,乳香,儿茶,琥珀,龙骨
