冰片,雄黄,滑石,甘草,朱砂面
铜绿,胆矾,甘石,新针,归尾,苦参
金银花,赤芍,龙胆草,木通,柴胡,甘草
冰片,乳没,硇砂,草乌,麝香,生磁石
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,牛蒡,黄柏,甘草,升麻
赤小豆,青盐,黄柏,杏仁,马牙消,麒麟竭
金银花,连翘,赤芍,归尾,柴胡,甘草
银花,连翘,赤芍,黄柏,花粉,薄荷
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,白糖,黄芪,枣仁
清油,零陵香,地黄,黄蜡,天麻,芎
大戟,甘遂,麦蘖,陈曲,陈皮,陈皮
五倍子,枯矾,白芷,陈米醋,蛇床子,白凤仙花
冰片,儿茶,甘石,元连,轻粉,龙骨
马钱子,穿山甲,黑附子
连翘,茵陈,贝母,木通,山栀仁,甘草
粳米,陈葫芦粉
冬瓜皮,葫芦壳,西瓜皮,枣仁
橘核,乳香,昆布,穿山甲,荔枝核,桃仁
金银花,薏仁,木通,归尾,木瓜,皂角
白酒,红蓝花
75,酒精,红花
冰片,松香,白芷,贝母,潮脑,银朱
赤芍,白及,红花,当归,防风
冰片,枯矾,硼砂,鸡内金,朱砂,麝香
冰片,枯矾面,棉胭脂
冰片,西瓜霜,月石,元明粉,朱砂,石膏
血竭,海藻,琥珀,五灵脂,麝香,京墨
白芷,郁金,天南星,大黄
油,木鳖子,桂心,白芷,琥珀,黄丹
梅片,儿茶,熊胆,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,木香
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,菖蒲,蜈蚣,黄米
冰片,血竭,乳香,香油,没药,黄丹
冰片,乳香,三七,自然铜,土鳖虫,当归
乳香,三七,自然铜,土鳖虫,当归
冰片,血竭,乳香,没药,自然铜,土鳖虫
用纱布蘸透此液,胶布固定,外盖纱布,活蚯蚓数条,贴敷患处,6次
茯苓皮,泽兰,车前子,炮甲,金钱草,黄芪
金银花,没药,乳香,连翘,白芷,花粉
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,枳壳,当归,防风,黄芩
没药,乳香,苏木,甘草,忍冬,栝楼
五倍子
冰片,西瓜霜,人指甲,熊胆,玄明粉,朱砂
没药,乳香,赤芍,花粉,贝母,木通
