川椒,栝楼,茯苓,白术,防风,知母
巴戟,蛇床子,肉苁蓉,鹿茸,茴香,车前子
牛膝,女贞子,淫羊藿,鸡血藤,骨碎补,肉苁蓉
川柏皮,苍术
地龙,萆薢,鹿茸,茴香,狗脊,杜仲
牛膝,鹿角
牛膝,肉苁蓉,鹿茸,木瓜,当归,天麻
牛膝,菟丝子,石斛,鹿茸,磁石,阳起石
鹿茸,侧柏叶,当归,地黄,麝香,续断
牛膝,石斛,鹿茸,巴戟天,杜仲,远志
牛膝,破故纸,苁蓉,鹿茸,地黄,麝香
覆盆子,蛇床子,巴戟,菟丝子,萆薢,石斛
牛膝,萆薢,胡桃肉,故纸,杜仲,木爪
菟丝子,丹参,晚蚕沙半,雄雀儿,天雄,阿魏
覆盆子,蛇床子,牛膝,菟丝子,萆薢,枸杞
破故纸,骨碎补,黑豆,青盐,白蒺藜,白蒺藜
牛膝,木鳖子,骨碎补,川芎,芍药,狗脊
牛膝,萆薢,薏仁,石斛,苍术,防风
牛膝,巴戟,萆薢,木瓜,茴香,狗脊
牛膝,肉苁蓉,川椒,巴戟天,青盐
威灵仙,独活,老鹳草,寄生,草乌,红花
覆盆子,牛膝,枸杞,破故纸,川椒,川芎
威灵仙,五灵脂,茴香,防风,牵牛子,草乌
威灵仙,五灵脂,萆薢,茴香,防风,牵牛子
牛膝,菟丝子,女贞子,金樱子,破故纸,桑椹
牛膝,防风,木瓜,枣仁,当归,甘草
牛膝,菟丝子,枸杞,肉苁蓉,川芎,茯苓
牛膝,虎骨,苁蓉,木瓜,天麻,黑附子
牛膝,萆薢,枸杞,防风,当归,炙鳖甲
覆盆子,牛膝,菟丝子,薏仁,石斛,肉苁蓉
牛膝,丹参,白术,五加皮,清酒,生姜
青蒿子,天仙藤,茴香,苍术,川芎,半夏
覆盆子,菟丝子,白酒,枸妃子,车前子,五味子
覆盆子,蛇床子,卷柏,川椒,当归,川芎
牛膝,菟丝子,白酒,金樱子,破故纸,川芎
白酒,仙灵脾
薏仁
羊骨左右,细盐,生姜葱白,粳米
巴戟,蛇床子,牛膝,菟丝子,木鳖子,肉苁蓉
牛膝,菟丝子,女贞子,生地,金樱子膏,忍冬藤
覆盆子,牛膝,菟丝子,枸杞,苁蓉,巴戟天
白酒,莲子蕊,没石子,五加皮,槐角子,地黄
