半夏,京三棱,黑牵牛,陈皮,大黄,青皮
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,紫菀,百部,玄明粉,柿霜,瓜蒌皮
半夏,胡椒,蝎尾,干姜
半夏,僵蚕,桔梗,羌活,活蝎子,蝉蜕
杏仁,远志,款冬花,苏子,五味子,胡桃肉
贝母,僵蚕,葶苈,杏仁,苏子,陈皮
半夏,款冬花,杏仁,白果,苏子,黄芩
半夏,款冬花,杏仁,白果,苏子,黄芩
杏仁,陈皮,五味子,石膏,麻黄,砂仁
贝母,半夏,莱菔,白芥子,杏仁,豆豉
天竺黄,远志,银箔,生犀角,金箔,赤箭
玄明粉,生硼砂,姜汁,朱砂面,煅金礞石,竹沥膏
半夏,麦芽,陈皮,川丁皮,广荗,荜澄茄
生犀屑,龙脑,白芷,菊花,细辛,川芎
半夏,款冬花,枳实,五味子,苦梗,桑白皮
半夏,天南星,寒水石,薄荷,白蛤粉,干姜
半夏,天南星,蛤粉,寒水石,薄荷,干姜
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,旋复花,陈皮,麦冬,赭石
天南星,龙脑,真珠末,干蝎,天麻,白附子
天竺黄,龙脑,天麻,丹参,铅白霜,麝香
瑇瑁,真珠,龙脑,犀角,丹砂,麝香
贝母,白术,当归,陈皮,五味子,菖蒲
半夏,白术,丁香,姜黄,白檀香,生姜
鹅梨,皂荚,威灵仙,薄荷,天麻,白蒺藜
半夏,鳖甲,紫团参,阿胶,甘草
贝母,半夏,葶苈,瓜蒌皮,杏仁,青礞石
半夏,羌活,广皮,茯苓,防风,甘草
杏仁,桔梗,麻黄
半夏,海藻,昆布,白芥子,胆草,陈皮
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,广皮,茯苓,甘草
半夏,陈皮,苏梗,厚朴,茯苓,甘草
半夏,当归,陈皮,枳实,香附,滑石
二陈汤加炒山栀,黄连,生姜
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,杏仁,款冬花,玄参,罂粟壳
贝母,半夏,陈皮,知母,茯苓,甘草
贝母,天门冬,麦门冬,知母
半夏,天南星,川朴,僵蚕,桔梗,陈皮
天竺黄,竹茹,百部,瓜蒌仁,陈皮,天冬
贝母,麦冬,天门冬,知母
贝母,北沙参,提麦冬,淡天冬,南沙参,知母
竹茹,远志,龙骨,泽泻,菖蒲,丹皮
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,陈皮,白姜,厚朴,草果子
贝母,桔梗,元参,陈皮,黄芩,前胡
贝母,芍药,桔梗,陈皮,苍术,玄参
半夏,天麻,独活,芎,茯苓,防风
杏仁,防己,木香
贝母,半夏,玉竹,北沙参,天冬,蛤粉
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
白鲜,枳实,龙齿,黄芩,茯神,羚羊角
贝母,葶苈,杏仁,桔梗,陈皮,苇根
鱼腥草,黄芪,党参,铁树叶,白花蛇舌草,白术
贝母,贝母,半夏,半夏,白芥子,瓜蒌皮
贝母,竹茹,郁金,菊花炭,麦冬,蒌仁
半夏,黑牵牛子,粉霜,白矾
片脑,白豆蔻末,芽茶,白檀香末
贝母,半夏,玄明粉,桔梗,白术,陈皮
贝母,半夏,玄明粉,桔梗,白术,陈皮
半夏
半夏,檀香,百药煎,乌梅肉,陈皮,五味子
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,紫苏,萝卜子,陈皮
半夏,天南星,莱菔,瓜蒌仁,白术,紫苏
竹茹,缩砂,菖蒲,陈皮,郁金,苍术
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,陈皮,枳实,五味子,白豆蔻
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
蜈蚣,知柏,僵蚕,桔梗,当归,全蝎
贝母,半夏,远志,桔梗,陈皮,五味子
四季青,鼠曲草,平地木,干日红
半夏,竹茹,陈皮,枳实,龙眼肉,石膏
天竺黄,生川军,槐花,生石决明,枳实,钩藤
贝母,桔梗,片芩,当归,陈皮,枳实
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,瓜蒌皮,杏仁,龙骨,桂枝,黄连
半夏,远志,白术,破故纸,桂枝,五味子
败酱草,桔梗,炮干姜,栝蒌实,厚朴,细辛
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,海藻,昆布,夏枯草,陈皮,玄参
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,白芍,人参
半夏,白术,当归,陈皮,茯苓,白芍
海藻,鸡血藤,黄芪,黄精,玄参,丹参
半夏,党参,白术,陈皮,破故纸,紫河车
半夏,天南星,百药煎,明矾,五味子,乌梅肉
半夏,天南星,香墨,白附子,芎,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,泽泻,白术,陈皮,黄芩
贝母,桔梗,胖大海,诃子,蝉蜕,连翘
贝母,天竺黄,半夏,胆南星,白芥子,葶苈
半夏,海粉,杏仁,诃子,栝楼,青黛
款冬花,成炼钟乳,蛤蚧,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,杏仁,蛤蚧
远志,虎睛,大黄,犀角屑,栀子
半夏,陈皮,苍术,藿香,厚朴,茯苓
半夏,陈皮,藿香,厚朴,甘草
半夏,陈皮,藿香,厚朴,甘草
半夏,丁香,陈皮,藿香,茯苓,生姜
半夏,竹茹,青子芩4,陈广皮,碧玉散,青蒿脑4
僵蚕,桔梗,全蝎,天麻,苏木,麻黄
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,琥珀,五灵脂,血竭
胆南星,朱砂,地龙,苏珠,制军,琥珀
贝母,半夏,天冬,京知母,血琥珀,百合
天竺黄,天南星,檀香,朱砂,枳实,琥珀
天竺黄,天南星,檀香,金箔,粉草,枳实
天竺黄,天南星,僵蚕,朱砂,全蝎,琥珀
天竺黄,天南星,檀香,金箔,朱砂,蜂蜜
贝母,天竺黄,胆南星,僵蚕,全蝎,琥珀
天竺黄,胆南星,沉香,月石,腰黄,辰砂
