珍珠母,赭石,磁石,牛膝,酒曲,酒曲
茯神,枣仁,琥珀,远志,辰砂,柏子仁
辰砂,琥珀,乳香,麝香,没药
茯神,金箔,远志,辰砂,黄耆,益智
朱砂,琥珀,珍珠,薄荷,麝香,丹参
粳米,红糖,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,雄黄,蜈蚣,麝香
茯神,金箔,天竺黄,朱砂,防风,僵蚕
茯神,金箔,天竺黄,朱砂,远志,铁粉
金箔,辰砂,天麻,防风,犀角,麝香
金箔,天竺黄,铁粉,龙齿,龙脑,麝香
茯神,金箔,朱砂,远志,犀角屑,铁粉
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
茯神,金箔,远志,辰砂,皮硝,菖蒲
茯神,枣仁,合欢花,柴胡,郁金,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,芍药,朱砂,远志,菖蒲
枣仁,远志,丹皮,生地,麦门冬,熟地
枣仁,远志,厚朴,丹皮,麦冬,生地
朱砂,琥珀,天麻,牵牛,钩藤,大黄
土鳖虫,2钱,熟军,钱,当归,自然铜
朱砂,黄芩,黄柏,雄黄,山栀仁,减半
谷蘖,大腹子,随风子,槟榔,薏仁,石斛
川姜,天麻,白僵蚕,半夏,干蝎,川乌
茯神,远志,菖蒲,钩藤,麦冬,贝母
枣仁,远志,五味子,竹茹,地黄,枳实
茯神,枣仁,远志,柏子仁,菖蒲,人参
枣仁,朱砂,远志,柏子仁,菖蒲,当归
茯神,厚朴,远志,紫苏,茯苓,甘草
茯神,枣仁,琥珀,菖蒲,枸杞,肉苁蓉
川姜,天麻,白僵蚕,半夏,干蝎,川乌
茯神,枣仁,远志,丹皮,麦冬,石斛
茯神,远志,麦冬,犀角,当归,知母
茯神,厚朴,阳起石,巴戟,黑附子,肉苁蓉
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,榜嘎,红景天,洪连,高山辣根菜
檀香,石灰华,榜嘎,红景天,洪连,高山辣根菜
珍珠母,太子参,当归,续断,地骨皮,滑石
远志,菖蒲,龙骨,龟甲
茯神,桂心,远志,麦门冬,龙齿,地骨皮
枣仁,远志,琥珀,芍药,菖蒲,桂枝
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,琥珀,朱砂,郁金,灯心100厘米,广皮
洗去蜜酒令尽,再用酒调成膏,先将猪肚净洗,新莲肉,搜下项药,研为膏
巴戟,金铃子,肉蔻,钟乳,灵砂,葫芦芭
辰砂,真麝香1字,蝎梢,蜈蚣,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,当归,五味子,赤芍,人参
茯神,枣仁,金箔,琥珀,远志,辰砂
茯神,枣仁,远志,黄耆,当归,莲肉
茯神,天竺黄,钩藤,防风,贝母,陈皮
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,人参,麝香
茯神,枣仁,朱砂,远志,麦门冬,龙齿
茯神,远志,菖蒲,黄芩,麦冬,丹参
茯神,枸杞,肉苁蓉,芡实,紫石英,五味子
珍珠母,枣仁,钩藤,合欢皮,夏枯草,丹参
大朱砂,梅花片,真豆粉,丹参,甘草
珍珠母,板蓝根,水牛角,胆酸,猪脱氧胆酸,黄芩
枣仁,枫香脂,牛心粉,木香,沉香,丁香
茯神,枣仁,朱砂,远志,牡蛎,益智
枣仁,知母,芎藭,茯苓,甘草
枣仁,粳米
枣仁,夜交藤,生地,龙骨,丹参,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,麝香,没药
蛇黄,铁粉,使君子仁,天南星,茯苓
茯神,远志,辰砂,菖蒲,钩藤,麦冬
远志,巴戟天,肉苁蓉,山萸,菟丝子,五味子
枣仁,干姜,当归,莲肉,山药,白术
朱砂,琥珀,天南星
朱砂,远志,琥珀,生地,白芍,黄耆
檀香,朱砂,琥珀,降香,天麻,僵蚕
檀香,朱砂,琥珀,降香,郁金,天麻
茯神,枣仁,远志,辰砂,柏子仁,阿胶
檀香,枣仁,石灰华,高山辣根菜,红花,余甘子
金箔,朱砂,琥珀,全蝎,羌活,天南星
茯神,金箔,远志,铁粉,升麻,麝香
远志,巴戟,菟丝子,牛膝,青皮,地黄
檀香,白芷,三,川芎,桔梗,甘草
枣仁,远志,柏子仁,麦门冬,当归,五味子
茯神,枣仁,远志,柏子仁,菖蒲,麦门冬
枣仁,朱砂,远志,柏子仁,菖蒲,麦冬
枣仁,山萸,党参,五味子,山药,破故纸60宽
枣仁,远志,桂心,黄芩,麦门冬,人参
葱,鸡,乌灵参,酒,姜,盐
朱砂,黄芩,郁金,丹参,栀子,黄连
枣仁,柏子仁,丹皮,丹参,莲子心,玄参
茯神,犀角屑,黄芩,麦门冬,龙齿,人参
辰砂,琥珀,柴胡,枸杞,青龙齿,白芍
茯神,珍珠母,钩藤,合欢皮,夏枯草,丹参
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,人参,胆南星,麝,真珠,脑
天竺黄,煅青礞石,胡连,菖蒲,珠粉,西丹参
远志,辰砂,牡蛎,肉苁蓉,干姜,人参
茯神,枣仁,远志,柏子仁,紫石英,白芍
朱砂,钩藤,白术,人参,茯苓,甘草
枣仁,远志,麦门冬,黄耆,当归,地黄
葱,白糖,味精,猪心,香油,花椒
枣仁,合欢皮,女贞子,浮小麦,灵芝,何首乌
枣仁,白糖,夜交藤,粳米
远志,桂心,芍药,当归,黄耆,五味子
枣仁,薏仁,麦冬,当归,山药,甘杞子
茯神,枣仁,柏子仁,柴胡,丹皮,生地
茯神,枣仁,远志,柏子仁,阿胶,紫石英
寒水石,丁子香,黄金,磁石,犀角,升麻
朱砂,柏子仁,肉苁蓉,紫石英,麝香,龙骨
茯神,枣仁,远志,当归,地黄,人参
