炒黑丑,黄芩,大黄
半夏,京三棱,黑牵牛,陈皮,青皮,枳壳
半夏,天南星,黑牵牛,猪牙皂角,白矾
天南星,木香
半夏,天南星,干姜
贝母,紫菀,百部,玄明粉,柿霜,杏仁
半夏,干姜,蝎尾,胡椒
半夏,僵蚕,桔梗,黄连,活蝎子,羌活
杏仁,远志,款冬花,苏子,胡桃肉,枸杞
贝母,葶苈,杏仁,僵蚕,苏子,陈皮
半夏,款冬花,杏仁,苏子,黄芩,白果
半夏,款冬花,杏仁,苏子,黄芩,白果
杏仁,陈皮,五味子,麻黄,石膏,砂仁
贝母,莱菔,半夏,白芥子,杏仁,蒌皮
天竺黄,银箔,生犀角,金箔,远志,真珠末
玄明粉,姜汁,生硼砂,朱砂面,煅金礞石,竹沥膏
半夏,麦芽,陈皮,川丁皮,广荗,荜澄茄
生犀屑,龙脑,菊花,细辛,防风,川芎
半夏,款冬花,枳实,苦梗,五味子,麻黄
半夏,天南星,干姜,薄荷,白蛤粉,寒水石
半夏,天南星,干姜,薄荷,蛤粉,寒水石
半夏,杏仁,巴豆,马兜铃
贝母,旋复花,杏仁,陈皮,杭菊,赭石
天南星,真珠末,白附子,龙脑,天麻,干蝎
天竺黄,龙脑,天麻,铅白霜,丹砂,麝香
瑇瑁,真珠,龙脑,犀角,丹砂,麝香
贝母,当归,白术,陈皮,五味子,黄连
半夏,白术,姜黄,白檀香,丁香,生姜
鹅梨,天麻,皂荚,薄荷,威灵仙,白蒺藜
半夏,鳖甲,紫团参,阿胶,甘草
贝母,半夏,葶苈,杏仁,青礞石,瓜蒌皮
半夏,羌活,茯苓,防风,广皮,甘草
杏仁,桔梗,麻黄
半夏,昆布,白芥子,海藻,胆草,陈皮
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,茯苓,广皮,甘草
半夏,陈皮,厚朴,苏梗,茯苓,甘草
半夏,当归,陈皮,枳实,香附,茯苓
二陈汤加炒山栀,黄连,生姜
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,罂粟壳,玄参
贝母,半夏,陈皮,茯苓,知母,甘草
贝母,知母,天门冬,麦门冬
半夏,天南星,川朴,僵蚕,桔梗,陈皮
天竺黄,竹茹,百部,瓜蒌仁,陈皮,天冬
贝母,麦冬,知母,天门冬
贝母,提麦冬,北沙参,淡天冬,南沙参,知母
竹茹,远志,泽泻,龙骨,菖蒲,牡蛎
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,陈皮,白姜,厚朴,草果子
贝母,桔梗,陈皮,元参,黄芩,花粉
贝母,芍药,桔梗,苍术,陈皮,黄芩
半夏,天麻,独活,茯苓,防风,芎
杏仁,防己,木香
贝母,半夏,玉竹,北沙参,蛤粉,天冬
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
白鲜,枳实,黄芩,龙齿,防风,茯神
贝母,葶苈,杏仁,桔梗,陈皮,旋覆花
鱼腥草,铁树叶,白花蛇舌草,党参,黄芪,白术
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,菊花炭,黄芩,郁金
半夏,黑牵牛子,粉霜,白矾
片脑,白檀香末,白豆蔻末,芽茶
贝母,半夏,玄明粉,桔梗,白术,陈皮
贝母,半夏,玄明粉,桔梗,白术,陈皮
半夏
半夏,檀香,百药煎,薄荷,陈皮,细茶
半夏,天南星,干姜,皂角,白矾
半夏,天南星,杏仁,干姜,皂角,陈皮
半夏,莱菔,天南星,瓜蒌仁,白术,枳实
竹茹,陈皮,郁金,苍术,缩砂,菖蒲
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,陈皮,薄荷,枳实,丁香,五味子
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
知柏,僵蚕,蜈蚣,桔梗,当归,生耆
贝母,半夏,远志,桔梗,陈皮,麻黄浸膏
四季青,干日红,鼠曲草,平地木
半夏,竹茹,陈皮,枳实,龙眼肉,石膏
天竺黄,生石决明,枳实,黄芩,钩藤,生川军
贝母,桔梗,片芩,当归,陈皮,枳实
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,杏仁,瓜蒌皮,龙骨,桂枝,黄连
半夏,远志,白术,破故纸,桂枝,熟附块
炮干姜,栝蒌实,桔梗,败酱草,厚朴,细辛
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,夏枯草,陈皮,莪术
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,白芍,香附,人参
半夏,当归,白术,陈皮,白芍,茯苓
海藻,鸡血藤,黄芪,黄精,玄参,丹参
半夏,党参,白术,陈皮,破故纸,紫河车
半夏,天南星,百药煎,明矾,池矾,五味子
半夏,天南星,香墨,白附子,芎,杜仲
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,白术,泽泻,陈皮,黄芩
贝母,桔梗,诃子,薄荷,薄荷,连翘
贝母,天竺黄,半夏,白芥子,胆南星,葶苈
半夏,海粉,杏仁,诃子,青黛,栝楼
款冬花,成炼钟乳,蛤蚧,肉桂,白矾,甘草
贝母,莱菔,半夏,白芥子,蛤蚧,杏仁
远志,虎睛,犀角屑,栀子,大黄
半夏,苍术,陈皮,厚朴,藿香,茯苓
半夏,陈皮,厚朴,藿香,甘草
半夏,陈皮,厚朴,藿香,甘草
半夏,陈皮,丁香,藿香,茯苓,生姜
半夏,竹茹,陈广皮,青蒿脑4,碧玉散,青子芩4
僵蚕,桔梗,天麻,全蝎,麻黄,苏木
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,琥珀,京墨,血竭
胆南星,朱砂,苏珠,制军,竺黄,地龙
贝母,半夏,天冬,京知母,血琥珀,百合
天竺黄,檀香,天南星,朱砂,红参,枳实
天竺黄,檀香,天南星,金箔,粉草,枳实
天竺黄,天南星,朱砂,僵蚕,全蝎,琥珀
天竺黄,檀香,天南星,蜂蜜,金箔,朱砂
贝母,天竺黄,胆南星,僵蚕,全蝎,琥珀
天竺黄,胆南星,辰砂,腰黄,琥珀,月石
天竺黄,天南星,僵蚕,辰砂,真麝香,真正丹参
贝母,天竺黄,胆南星,僵蚕,桔梗,朱砂
