半夏,京三棱,黑牵牛,槟榔,陈皮,木香
半夏,天南星,猪牙皂角,黑牵牛,白矾
天南星,木香
半夏,天南星,干姜
贝母,百部,紫菀,柿霜,杏仁,玄明粉
半夏,干姜,蝎尾,胡椒
半夏,僵蚕,桔梗,活蝎子,蝉蜕,大黄
杏仁,远志,款冬花,苏子,胡桃肉,枸杞
贝母,僵蚕,苏子,杏仁,旋覆花,枇杷叶
半夏,杏仁,款冬花,苏子,白果,黄芩
半夏,杏仁,款冬花,苏子,白果,黄芩
杏仁,陈皮,五味子,石膏,砂仁,麻黄
贝母,半夏,莱菔,白芥子,苏子,豆豉
天竺黄,银箔,生犀角,远志,真珠末,赤箭
玄明粉,姜汁,煅金礞石,朱砂面,竹沥膏,生硼砂
半夏,麦芽,厚朴,陈皮,广荗,川丁皮
生犀屑,龙脑,菊花,细辛,防风,白芷
半夏,款冬花,枳实,五味子,苦梗,人参
半夏,天南星,干姜,人参,藿香,白蛤粉
半夏,天南星,干姜,人参,蛤粉,藿香
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,石斛,赭石,旋复花,白蒺藜
天南星,龙脑,真珠末,天麻,干蝎,白附子
天竺黄,人参,丹砂,龙脑,茯苓,铅白霜
真珠,瑇瑁,龙脑,犀角,丹砂,麝香
贝母,当归,麦门冬,天门冬,白术,五味子
半夏,白术,丁香,白檀香,人参,生姜
鹅梨,皂荚,薄荷,天麻,威灵仙,白蒺藜
半夏,鳖甲,紫团参,阿胶,甘草
贝母,半夏,杏仁,葶苈,青礞石,黄芩
半夏,广皮,茯苓,甘草,防风,羌活
杏仁,桔梗,麻黄
半夏,昆布,白芥子,海藻,胆草,陈皮
半夏,茯苓,陈皮,甘草
半夏,茯苓,陈皮,甘草
半夏,厚朴,苍术,广皮,茯苓,甘草
半夏,厚朴,陈皮,茯苓,甘草,苏梗
半夏,当归,枳实,陈皮,香附,滑石
二陈汤加炒山栀,黄连,生姜
半夏,茯苓,陈皮,甘草
贝母,石膏,知母
贝母,紫菀,麦门冬,杏仁,罂粟壳,款冬花
贝母,半夏,茯苓,甘草,知母,陈皮
贝母,麦门冬,天门冬,知母
半夏,天南星,川朴,僵蚕,桔梗,生地
天竺黄,竹茹,百部,天冬,瓜蒌仁,麦冬
贝母,天门冬,麦冬,知母
贝母,南沙参,提麦冬,北沙参,淡天冬,知母
竹茹,远志,泽泻,龙骨,白芍,菖蒲
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,厚朴,白姜,陈皮,草果子
贝母,黄芩,元参,白芷,赤芍,前胡
贝母,芍药,苍术,黄芩,白芷,前胡
半夏,天麻,人参,芎,白芷,独活
杏仁,防己,木香
贝母,半夏,玉竹,石斛,蛤粉,南沙参
白皮大萝卜,蜂蜜
半夏,茯苓,陈皮,甘草
白鲜,枳实,龙齿,黄芩,茯神,麦门冬
贝母,薏仁,杏仁,旋覆花,葶苈,苇根
鱼腥草,党参,铁树叶,黄芪,白花蛇舌草,白术
贝母,贝母,半夏,半夏,白芥子,苏子
贝母,竹茹,生地,黄芩,石斛,丹皮
半夏,黑牵牛子,粉霜,白矾
片脑,芽茶,白豆蔻末,白檀香末
贝母,半夏,玄明粉,黄芩,白术,枳壳
贝母,半夏,玄明粉,黄芩,白术,枳壳
半夏
半夏,檀香,百药煎,五味子,人参,陈皮
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,皂角,萝卜子,紫苏
半夏,天南星,莱菔,白术,紫苏,枳实
竹茹,陈皮,郁金,苍术,缩砂,菖蒲
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,枳实,陈皮,五味子,薄荷
半夏,明矾,硝石
