半夏,京三棱,陈皮,黑牵牛,青皮,枳壳
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,百部,紫菀,杏仁,柿霜,桔梗
半夏,干姜,胡椒,蝎尾
半夏,僵蚕,桔梗,蝉蜕,羌活,活蝎子
杏仁,款冬花,远志,枸杞,苏子,五味子
贝母,杏仁,僵蚕,葶苈,陈皮,苏子
半夏,款冬花,杏仁,苏子,白果,桑白皮
半夏,款冬花,杏仁,苏子,白果,桑白皮
杏仁,陈皮,五味子,石膏,麻黄,砂仁
贝母,半夏,莱菔,白芥子,杏仁,豆豉
天竺黄,银箔,生犀角,远志,龙脑,金箔
玄明粉,姜汁,生硼砂,朱砂面,煅金礞石,竹沥膏
半夏,麦芽,陈皮,青皮,广荗,厚朴
生犀屑,龙脑,菊花,白芷,防风,细辛
半夏,款冬花,枳实,苦梗,五味子,人参
半夏,天南星,薄荷,人参,白蛤粉,干姜
半夏,天南星,蛤粉,人参,薄荷,干姜
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,旋复花,陈皮,白蒺藜,白蒺藜
天南星,白附子,龙脑,天麻,干蝎,真珠末
天竺黄,龙脑,天麻,人参,铅白霜,麝香
真珠,瑇瑁,龙脑,丹砂,犀角,麝香
贝母,陈皮,天门冬,当归,黄连,甘草
半夏,丁香,白檀香,白术,姜黄,人参
鹅梨,天麻,皂荚,薄荷,威灵仙,白蒺藜
半夏,鳖甲,紫团参,甘草,阿胶
贝母,半夏,板蓝根,杏仁,葶苈,青礞石
半夏,羌活,茯苓,甘草,广皮,防风
杏仁,桔梗,麻黄
半夏,昆布,白芥子,海藻,胆草,陈皮
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,茯苓,甘草,广皮
半夏,陈皮,厚朴,茯苓,甘草,苏梗
半夏,当归,枳实,陈皮,滑石,茯苓
二陈汤加炒山栀,生姜,黄连
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,天门冬,麦门冬,知母
半夏,天南星,僵蚕,川朴,桔梗,陈皮
天竺黄,竹茹,百部,陈皮,瓜蒌仁,天冬
贝母,天门冬,知母,麦冬
贝母,南沙参,提麦冬,知母,北沙参,淡天冬
竹茹,远志,菖蒲,龙骨,泽泻,丹皮
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,陈皮,白姜,厚朴,草果子
贝母,桔梗,陈皮,白芷,前胡,防风
贝母,芍药,桔梗,陈皮,白芷,前胡
半夏,独活,天麻,人参,白芷,茯苓
杏仁,防己,木香
贝母,半夏,玉竹,黄连,南沙参,茯苓
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
白鲜,枳实,龙齿,黄芩,茯神,人参
贝母,杏仁,桔梗,葶苈,陈皮,冬瓜子
鱼腥草,白花蛇舌草,党参,铁树叶,黄芪,白术
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,石膏,郁金,甘草
半夏,粉霜,黑牵牛子,白矾
片脑,白檀香末,白豆蔻末,芽茶
贝母,半夏,桔梗,陈皮,神曲,玄明粉
贝母,半夏,桔梗,陈皮,神曲,玄明粉
半夏
半夏,檀香,百药煎,陈皮,乌梅肉,白硼砂
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,陈皮,皂角,神曲
半夏,天南星,莱菔,陈皮,枳实,白术
竹茹,菖蒲,陈皮,苍术,缩砂,郁金
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,白矾,草豆蔻
半夏,丁香,枳实,陈皮,白豆蔻,薄荷
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,生干蟾,开金锁
僵蚕,蜈蚣,知柏,桔梗,当归,全蝎
贝母,半夏,桔梗,远志,陈皮,甘草
四季青,平地木,干日红,鼠曲草
半夏,竹茹,枳实,陈皮,石膏,龙眼肉
天竺黄,枳实,生石决明,生川军,钩藤,槐花
贝母,桔梗,片芩,陈皮,枳实,当归
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,杏仁,龙骨,桂枝,牡蛎,瓜蒌皮
半夏,远志,白术,破故纸,熟附块,桂枝
栝蒌实,炮干姜,桔梗,败酱草,厚朴,人参
白酒700毫升,薤白,栝楼
杏仁,山芋,栝楼,甘草
半夏,昆布,海藻,陈皮,夏枯草,青皮
半夏,伽楠香,陈皮,龙涎香
贝母,人参,郁金,白芍,香附
半夏,当归,陈皮,白术,人参,茯苓
海藻,鸡血藤,黄芪,黄精,玄参,丹参
半夏,党参,陈皮,白术,破故纸,紫河车
半夏,天南星,百药煎,明矾,乌梅肉,池矾
半夏,天南星,香墨,白附子,杜仲,续断
贝母,半夏,皂荚,杏仁,知母
半夏,天南星,陈皮,白术,泽泻,枳壳
贝母,桔梗,诃子,蝉蜕,甘草,薄荷
贝母,天竺黄,半夏,胆南星,白芥子,桔梗
半夏,海粉,杏仁,栝楼,诃子,青黛
款冬花,成炼钟乳,蛤蚧,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,杏仁,桔梗
远志,虎睛,犀角屑,栀子,大黄
半夏,陈皮,苍术,厚朴,人参,茯苓
半夏,陈皮,厚朴,甘草,藿香
半夏,陈皮,厚朴,甘草,藿香
半夏,丁香,陈皮,茯苓,生姜,藿香
半夏,竹茹,碧玉散,青蒿脑4,枳壳,茯苓
僵蚕,桔梗,天麻,全蝎,麻黄,苏木
半夏,朱砂,雄黄,白矾
