茯神,金箔,远志,辰砂,黄耆,甘松
朱砂,琥珀,珍珠,丹参,犀角粉,龙涎香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,乳香,雄黄,人参
茯神,金箔,朱砂,天竺黄,防风,丹参
茯神,金箔,远志,朱砂,天竺黄,生地
金箔,辰砂,防风,天麻,丹参,犀角
金箔,铁粉,虎睛,银箔,天竺黄,龙齿
茯神,金箔,远志,朱砂,犀角屑,防风
金箔,辰砂,天竺黄,生白龙脑,皂荚仁,二
金箔,辰砂,天竺黄,生白龙脑,皂荚仁,白矾
茯神,金箔,远志,辰砂,菖蒲,乌梅肉
茯神,枣仁,合欢花,郁金,白芍,柴胡
辰砂,明矾,天南星,半夏
茯神,远志,朱砂,枣仁,芍药,菖蒲
枣仁,远志,生地,枳壳,熟地,丹皮
枣仁,远志,生地,枳壳,厚朴,熟地
朱砂,琥珀,天麻,钩藤,牵牛,丹参
土鳖虫,熟军,钱,2钱,当归,自然铜
朱砂,黄芩,雄黄,减半,黄连,黄柏
随风子,大腹子,谷蘖,槟榔,薏仁,陈皮
川姜,天麻,天南星,白僵蚕,干蝎,白附子
茯神,远志,菖蒲,钩藤,贝母,丹参
枣仁,远志,竹茹,人参,陈皮,五味子
茯神,远志,枣仁,菖蒲,柏子仁,人参
枣仁,远志,朱砂,菖蒲,柏子仁,当归
茯神,远志,厚朴,紫苏,茯苓,半夏
茯神,枣仁,琥珀,菖蒲,熟地,龙骨
川姜,天麻,天南星,白僵蚕,干蝎,白附子
茯神,远志,枣仁,生地,丹皮,白芍
茯神,远志,犀角,当归,麦冬,羚羊角
茯神,巴戟,黑附子,阳起石,厚朴,干姜
生川连,肉桂心
琥珀,茯苓,香附
檀香,石灰华,榜嘎,洪连,红景天,高山辣根菜
檀香,石灰华,榜嘎,洪连,红景天,高山辣根菜
珍珠母,地骨皮,太子参,当归,滑石,菟丝子
远志,菖蒲,龟甲,龙骨
茯神,远志,桂心,天门冬,麦门冬,地骨皮
枣仁,远志,琥珀,芍药,菖蒲,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参,灯心100厘米
再用酒调成膏,蜜,用药同水酒入银石器内煮半日,大猪肚,椒等洗,磁石
巴戟,肉蔻,阳起石,钟乳,金铃子,灵砂
辰砂,蝎梢,真麝香1字,白僵蚕,蜈蚣,半夏
干百合,蜂蜜
茯神,枣仁,当归,人参,赤芍,陈皮
茯神,金箔,远志,枣仁,辰砂,琥珀
茯神,远志,枣仁,黄耆,罗参,当归
茯神,天竺黄,枳壳,防风,钩藤,贝母
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,黄蓍,人参,麝香
茯神,远志,朱砂,枣仁,天门冬,麦门冬
茯神,远志,菖蒲,黄芩,丹参,丹参
茯神,龙骨,肉苁蓉,紫石英,枸杞,芡实
枣仁,珍珠母,合欢皮,钩藤,丹参,夏枯草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,黄芩,猪脱氧胆酸,板蓝根,水牛角,胆酸
枣仁,牛心粉,枫香脂,丁香,沉香,肉豆蔻
茯神,远志,朱砂,枣仁,牡蛎,益智
枣仁,芎藭,茯苓,知母,甘草
枣仁,粳米
枣仁,夜交藤,生地,龙骨,丹参,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,麝香,没药
使君子仁,蛇黄,铁粉,茯苓,天南星
茯神,远志,辰砂,菖蒲,钩藤,贝母
远志,巴戟天,肉苁蓉,山萸,菟丝子,牛膝
枣仁,干姜,当归,莲肉,白术,人参急者用30克
朱砂,琥珀,天南星
朱砂,远志,琥珀,生地,黄耆,白芍
檀香,朱砂,琥珀,天麻,降香,乳香
檀香,朱砂,琥珀,天麻,郁金,降香
茯神,远志,枣仁,辰砂,黄耆,柏子仁
枣仁,檀香,石灰华,高山辣根菜,红花,诃子
金箔,朱砂,琥珀,天南星,真铁粉,白僵蚕
茯神,金箔,远志,铁粉,银箔,丹参
远志,巴戟,菟丝子,牛膝,威灵仙,苁蓉
檀香,白芷,三,川芎,桔梗,甘草
枣仁,远志,柏子仁,麦门冬,丹参,当归
茯神,远志,枣仁,菖蒲,柏子仁,天门冬
枣仁,远志,朱砂,菖蒲,柏子仁,丹参
枣仁,菊花,山萸,党参,益智仁,破故纸60宽
枣仁,远志,桂心,黄芩,麦门冬,萆薢
葱,鸡,酒,乌灵参,姜,盐
朱砂,黄芩,郁金,丹参,栀子,黄连
枣仁,丹皮,柏子仁,丹参,玄参,莲子心
茯神,犀角屑,黄芩,麦门冬,龙齿,人参
辰砂,琥珀,青龙齿,柴胡,枸杞,白芍
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,人参,脑,麝
天竺黄,菖蒲,西丹参,珠粉,胡连,煅青礞石
远志,辰砂,干姜,牡蛎,肉苁蓉,人参
茯神,远志,枣仁,黄耆,柏子仁,白芍
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,黄耆,麦门冬,当归,人参
葱,白糖,食盐,香油,猪心,玉竹
枣仁,合欢皮,浮小麦,女贞子,灵芝,何首乌
枣仁,夜交藤,白糖,粳米
远志,芍药,桂心,陈皮,黄耆,当归
枣仁,薏仁,当归,大热地,大茴,麦冬
茯神,枣仁,生地,枳壳,丹皮,柏子仁
茯神,远志,枣仁,熟地,黄耆,柏子仁
寒水石,丁子香,黄金,犀角,滑石,磁石
朱砂,柏子仁,肉苁蓉,紫石英,人参,麝香
茯神,远志,枣仁,当归,人参,地黄
