茯神,枣仁,朱砂,远志,沉香,寸冬
茯神,枣仁,巴戟,远志,辰砂,菖蒲
辰砂,琥珀,乳香,麝香,没药
茯神,金箔,辰砂,远志,丹参,益智
朱砂,珍珠,琥珀,丹参,羚羊角,龙涎香
粳米,红糖,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,羌活,僵蚕,川芎
茯神,金箔,天竺黄,朱砂,丹参,雄黄
茯神,金箔,天竺黄,朱砂,远志,铁粉
金箔,辰砂,天麻,防风,羌活,丹参
金箔,天竺黄,铁粉,丹参,黄连,银箔
茯神,金箔,朱砂,远志,犀角屑,铁粉
金箔,天竺黄,辰砂,二,生白龙脑,半夏
金箔,天竺黄,辰砂,生白龙脑,半夏,皂荚仁
茯神,金箔,菖蒲,远志,辰砂,丹参
茯神,枣仁,合欢花,郁金,丹参,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,菖蒲,远志,乳香
枣仁,远志,丹皮,生地,麦门冬,枳壳
枣仁,远志,丹皮,厚朴,生地,枳壳
朱砂,琥珀,天麻,牵牛,丹参,大黄
熟军,土鳖虫,2钱,钱,自然铜,当归
朱砂,黄芩,雄黄,黄连,减半,山栀仁
随风子,大腹子,谷蘖,薏仁,石斛,槟榔
川姜,天麻,干蝎,白僵蚕,白附子,天南星
茯神,菖蒲,远志,丹参,麦冬,贝母
枣仁,远志,枳实,五味子,甘草,半夏
茯神,枣仁,菖蒲,远志,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,黄连
茯神,远志,甘草,半夏,厚朴,紫苏
茯神,枣仁,菖蒲,熟地,龙骨,甘草
川姜,天麻,干蝎,白僵蚕,白附子,天南星
茯神,枣仁,白芍,远志,石斛,丹皮
茯神,羚羊角,远志,知母,犀角,麦冬
茯神,巴戟,沉香,肉桂,茱萸,厚朴
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,红景天,丹参,榜嘎,洪连
檀香,石灰华,红景天,丹参,榜嘎,洪连
珍珠母,太子参,何首乌,地骨皮,五味子,菟丝子
远志,菖蒲,龟甲,龙骨
茯神,远志,地骨皮,五味子,桂心,麦门冬
枣仁,远志,菖蒲,芍药,琥珀,桂枝
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,朱砂,郁金,丹参,沉香,姜皮
入银石器内水熬烂,再用酒调成膏,搜下项药,锉,先将猪肚净洗,醋
巴戟,金铃子,葫芦芭,肉蔻,钟乳,灵砂
辰砂,蝎梢,白僵蚕,真麝香1字,藿香,蜈蚣
干百合,蜂蜜
茯神,枣仁,五味子,甘草,半夏,赤芍
茯神,金箔,枣仁,辰砂,远志,菖蒲
茯神,枣仁,远志,莲肉,粉草,罗参
茯神,天竺黄,明天麻,桔梗,赤芍,贝母
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,甘草,桔梗,黄蓍
茯神,枣仁,朱砂,远志,五味子,肉桂
茯神,菖蒲,丹参,丹参,远志,黄连
茯神,龙骨,五味子,茱萸,芡实,韭子
珍珠母,枣仁,合欢皮,丹参,甘草,钩藤
真豆粉,梅花片,大朱砂,丹参,甘草
珍珠母,黄芩,猪脱氧胆酸,板蓝根,水牛角,胆酸
枣仁,沉香,枫香脂,肉豆蔻,牛心粉,丁香
茯神,枣仁,朱砂,益智,远志,人参
枣仁,知母,甘草,芎藭,茯苓
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,麝香,没药
使君子仁,铁粉,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,连翘,丹参
远志,巴戟天,肉苁蓉,牛膝,菟丝子,山药
枣仁,干姜,莲肉,甘草,当归,人参急者用30克
朱砂,琥珀,天南星
朱砂,远志,琥珀,生地,白芍,五味子
檀香,朱砂,琥珀,降香,天麻,诃子
檀香,朱砂,琥珀,降香,郁金,天麻
茯神,枣仁,远志,辰砂,肉桂,柏子仁
檀香,枣仁,石灰华,诃子,诃子,沉香
朱砂,金箔,琥珀,羌活,白僵蚕,白附子
茯神,金箔,远志,丹参,丹参,铁粉
远志,巴戟,菟丝子,苁蓉,牛膝,车前子
檀香,三,川芎,甘草,白芷,桔梗
枣仁,远志,柏子仁,麦门冬,丹参,五味子
茯神,枣仁,远志,菖蒲,丹参,黄连
枣仁,朱砂,远志,菖蒲,柏子仁,丹参
枣仁,五味子,川芎,菊花,益智仁,党参
枣仁,远志,黄芩,桂心,麦门冬,甘草
葱,酒,鸡,姜,乌灵参,盐
朱砂,黄芩,郁金,丹参,黄连,栀子
枣仁,丹皮,柏子仁,丹参,莲子心,玄参
茯神,甘草,犀角屑,黄芩,人参,麦门冬
辰砂,琥珀,枸杞,白芍,柴胡,赤芍
茯神,珍珠母,丹参,合欢皮,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,真珠,脑,半夏,麝,人参
天竺黄,菖蒲,贝母,胡连,珠粉,煅青礞石
远志,辰砂,干姜,牡蛎,肉苁蓉,人参
茯神,枣仁,远志,白芍,甘草,柏子仁
朱砂,甘草,钩藤,人参,白术,茯苓
枣仁,远志,麦门冬,淡竹叶,黄连,甘草
