苦楝皮,雄黄,槐皮
牛蒡,蝉蜕,黄酒
地肤子,荆芥,甘草,白茅根,木通
白鲜皮,防风,生草,五加皮,蝉蜕,僵蚕
威灵仙,白鲜皮,丹皮,黄连,归尾,连翘
威灵仙,白鲜皮,丹皮,黄连,归尾,连翘
蛇床子,芜荑,枯矾,丹参,核桃仁,雄黄
轻粉,雄黄,朱砂,栀子
自然铜,硼砂
75,酒精,破故纸
枯矾,轻粉,密陀僧末,白及末,凡土林
蛇床子,苦参,百部,雄黄,狼毒
祛湿药膏,白蔹面
威灵仙,苦参,全虫,丹皮,白鲜皮,防风
炉甘石,冰片,麝香,螵蛸,硇砂,熊胆
蛇床子,苦参,槿皮,薄荷
苏叶,侧柏叶,白蒺藜
全虫,米醋,斑蝥,皮硝,乌梅肉
蛇床子,百部,槿皮,丹参,樟脑,轻粉
槿皮,雄黄,轻粉,百药煎,海桐皮,大黄
槿皮,雄黄,轻粉,百药煎,海桐皮,大黄
炉甘石,梅片,丹参,麝香,硼砂,琥珀
冰片,黄柏,青黛
凡士林,羊毛脂,青黛面,白降丹,巴豆
芥菜花1味
白花蛇
黑参,丹皮,僵蚕,红花,甘草,地黄
大黄粉,地榆,麻油50毫升
黄柏,薄荷,石膏
蛇床子,防风,百部,花椒,蝉蜕,凤仙透骨草
槿皮,米醋,花椒,大枫子肉,鲜凤仙花,藿香
枯矾,黄丹,龙骨,麝香7厘
丹参,雄黄
枯矾,铜青
雄黄,白矾
槿皮,千金子,斑蝥
蛇床子,百部,槿皮,丹参,冰醋酸,轻粉
地肤子,苦参,白鲜皮,丹参,红花,玄参
轻粉,朱砂,东丹
蛇床子,苦参,升麻,羊桃根,白蒺藜,防风如克
枯矾,樟丹,轻粉,五倍子,上官粉
冰片,甘石粉,黄柏,滑石,薄荷
轻粉,飞辰砂,东丹
马齿苋,蒲公英,白矾,如意草
五倍子末,雄黄,枯矾末,克
新米糠
蛇床子,丹参,轻粉,藁本,白矾,黄柏
炉甘石,梅片,丹参,麝香,黄连,硼砂
胡椒
橄榄核
凡士林,羊毛脂,黑豆馏油
氧化锌,15,黑豆油,5
白蔹
凡士林,羊毛脂,黑豆油,京红粉,利马锥
蜂蜜,蜈蚣,五倍子,老黑醋
五倍子末,蜂蜜,蜈蚣,黑醋
轻粉,黄柏,蛤粉
蛇床子,百部,白鲜皮,枯矾,白风仙花,五倍子
蛇床子,百部,白鲜皮,枯矾,五倍子,丹参
醋,皂矾,黄精,大黄,藿香
醋,皂矾,黄精,大黄,藿香
牛蒡,威灵仙,苦参,防风,川芎,胡麻子
红花,赤芍,防风,白及,当归
红信,棉子油,黄蜡
枯白矾,干胭脂粉,片脑,熟炉甘石,麝香
苦参,威灵仙,丹参,荆芥,红花,白蒺藜
槐角,地榆,防风,当归,枳壳,黄芩
水银,丹参,大风子,红矾,胡桃,枣仁
冰片,樟丹,五倍子,官粉,松香
蛇床子,五倍子,枯矾,雄黄,川椒,乌梅
扁蓄,楮桃叶,金钱草
轻粉,京红粉,元明粉
苦参,茯苓,乌蛇,细辛,白蒺藜,羌活
牛蒡,浮萍,防风,荆芥,丹皮,蝉蜕
牛蒡,防风,荆芥,丹皮,僵蚕,蝉蜕
枯矾,冰片,樟脑,轻粉,滑石,升华硫磺
枯矾,六一散
荆芥,红花,防风,桃仁,当归
水银,红砒,大风子肉,胡桃仁
文火化开,斑蝥虫,去滓,江子,炸枯,将药放入
川椒,葱白,菖蒲,艾叶
白鲜皮,生草,黄柏,黄连,白僵蚕,乳香
白藓皮,丹皮,大青叶,青黛,黄柏,黄连
白鲜皮,大青叶,丹皮,黄连,黄柏,青黛
威灵仙,苦参,全虫,白鲜皮,皂刺,猪牙皂角
蛇床子,白藓皮,浮萍,厚朴,甘草,陈皮
蛇床子,浮萍,白鲜皮,厚朴,甘草,陈皮
凡士林,京红粉,利马锥
轻粉,黄柏,红粉,乳香,没药,紫苏
苦参,百部,樟脑,菊花,凤眼草
蛇床子,苦参,枯矾,苍耳草,薄荷,苏叶
蛇床子,苦参,荆芥,艾叶,明矾,皮硝
氧化锌,糠馏油,花生油
糠馏油,氧化锌糊膏
液化酚,糠焦油,地榆
白鲜皮,防风,柴胡,甘草,五味子,乌梅
苦参,威灵仙,甘草,胡麻,山豆根
胆草
水银,轻粉,好茶,闾茹
蛇床子,苦参,防风,荆芥,明矾,黄柏
丹参
丹参,猪脂
丹参,止痒药膏
地肤子,白鲜皮,荆芥,僵蚕,茵陈,白芷
炉甘石,氧化锌,甘油
浮萍,蝉蜕,黄连,甘草,槐花,麻黄
