丹参,甘草,莲子心,川芎,当归
冬瓜皮,葫芦壳,西瓜皮,枣仁
橘核,乳香,昆布,荔枝核,穿山甲
金银花,薏仁,木瓜,木通,红花
白酒,红蓝花
75,酒精,红花
冰片,松香,白芷,贝母,银朱
赤芍,红花,白及,防风,当归
冰片,枯矾,硼砂,鸡内金,壁钱
冰片,棉胭脂,枯矾面
冰片,月石,元明粉,西瓜霜,石膏
血竭,海藻,琥珀,京墨,麝香
白芷,天南星,郁金,大黄
油,黄丹,桂心,白芷,琥珀
梅片,熊胆,儿茶,珍珠,血琥珀
没药,黑丑,乳香,琥珀,白丑
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,菖蒲,黄米
冰片,香油,血竭,没药,乳香
冰片,三七,乳香,自然铜,土鳖虫
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,没药,儿茶,乳香
活蚯蚓数条,贴敷患处,外盖纱布,胶布固定,6次
茯苓皮,泽兰,车前子,炮甲,黄芪
金银花,没药,乳香,白芷,连翘
白芷,花粉,姜黄,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,防风,当归,枳壳
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,西瓜霜,玄明粉,熊胆,人指甲
没药,乳香,赤芍,贝母,花粉
葶苈,甘遂,红芽大戟,灵脂,神曲
大戟,葶苈,甘遂,灵脂,芫花
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,蛇床子,桃仁
鸡蛋
冬瓜,鲫鱼
野菊花,薄荷,贝母,白茅根
蒲公英,大黄,厚朴,红藤
淮地,薄荷,川乌
冰片,火消,硼砂,硇砂,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,全蝎,山甲,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,黄连,槟榔
三七,马钱子霜,金刚莲,接骨木,红花
三七,马钱子霜,金刚莲,见血清,18厘米
冰片,枪消,牙皂,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,大青叶,人中黄,青黛
冰片,松香,白芷,连翘,薄荷
蟾酥,朱砂,雄黄,丁香
蒲公英,银花,赤芍,连翘,花粉
