冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,荔枝核,昆布,穿山甲
金银花,木通,薏仁,木瓜,归尾
白酒,红蓝花
75,酒精,红花
冰片,松香,白芷,贝母,轻粉
赤芍,红花,白及,防风,当归
冰片,枯矾,硼砂,鸡内金,麝香
冰片,枯矾面,棉胭脂
冰片,元明粉,西瓜霜,月石,石膏
血竭,海藻,琥珀,麝香,天南星
白芷,郁金,天南星,大黄
油,木鳖子,黄丹,白芷,桂心
儿茶,梅片,熊胆,血琥珀,珍珠
没药,乳香,黑丑,琥珀,白丑
獾油,冰片面
獾油,石膏,地榆,大黄
没药,乳香,雄黄,菖蒲,黄米
冰片,香油,血竭,没药,乳香
冰片,乳香,三七,土鳖虫,自然铜
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,儿茶,没药,乳香
胶布固定,用纱布蘸透此液,贴敷患处,6次,活蚯蚓数条
茯苓皮,泽兰,车前子,金钱草,炮甲
金银花,没药,乳香,连翘,穿山甲
白芷,姜黄,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,枳壳,防风,黄芩
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,西瓜霜,熊胆,人指甲,雄黄
没药,乳香,赤芍,花粉,贝母
葶苈,甘遂,红芽大戟,神曲,芫花
大戟,葶苈,甘遂,芫花,三棱
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,雄黄,桃仁
鸡蛋
鲫鱼,冬瓜
野菊花,白茅根,贝母,薄荷
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,火消,硇砂,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,全蝎,山甲,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,槟榔,大黄
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,18厘米,见血清
冰片,牙皂,枪消,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,连翘,松香,白芷,薄荷
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,连翘,赤芍,花粉
银花,连翘,赤芍,白芷,花粉
蒲公英,金银花,连翘,赤芍,川军
白菊花
花椒,广胶,生葱,陈酒糟,葱白
香油,章丹
金银花,连翘,山栀,丹皮,甘草
车前子,肉桂,地黄,茱萸,黑附子
川军,橘核,乌药,玄胡,胡芦巴
血竭,没药,乳香,发灰,土鳖虫
花椒,黄丹,大蒜头,槐枝,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
木鳖子,没药,骨碎补,羊胫骨灰,虎骨随多少
小黄米面,皂角末,发灰
冰片,没药,乳香,黄柏,青鱼胆
鸡内金,薄荷,栀子,升麻,黄连
木鳖子,没药,葱,乳香,清油
乌药,穿山甲,红花,独活,陈皮
蒲公英,赤芍,马勃,瓜蒌,薄荷
车前子,官桂,地黄,茱萸,黑附子
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,黄芪,桑白皮
海藻,昆布,木通,白僵蚕,陈皮
乳香,没药,紫苏,黄柏,薄荷
没药,乳香,黄柏,薄荷,苏叶
冰片,月石,贝母,朱砂,滑石
没药,乳香,麻黄,马钱子粉
没药,乳香,土鳖虫,麻黄,自然铜
醋2500毫升,半夏
大独活,广地龙,西秦艽,骨碎补,威灵仙
或,3克,9克,9克,萝卜子
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,马勃,西瓜霜,麝香,僵蚕
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,蛇蜕皮,黄蜡
冰片,血竭,儿茶,没药,硼砂
银花,红藤,炙山甲,桃仁,丹皮
蒲公英,金银花,连翘,夏枯草,贝母
银花,连翘,赤芍,白芷,花粉
金银花,赤芍,连翘,白芷,黄柏
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,人参,贝母,桑白皮,紫菀
蟾酥,乳香,硇砂,麝香,雄黄
血竭,蟾酥,没药,轻粉,龙脑
血竭,蟾酥,胆矾,麝香,朱砂
血竭,蟾酥,胆矾,麝香,朱砂
海石,天葵子,昆布,贝母,牡蛎
赤芍,刘寄奴,炒桃仁,生地,大黄
木鳖子,没药,乳香,黄丹,蓖麻子
葱,紫苏,赤芍,玄胡,黄柏
冬瓜皮,车前子,蝼蛄虫,官桂,制茅术
蟾酥,西丹参,珠粉,麝香,飞腰黄
冰片,蟾酥,雄黄,珍珠,丹参
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,栝楼,蜀漆
冰片,葶苈,血竭,蟾酥,没药
生姜皮,车前子,木通,川萆解,砂仁
蒲公英,粳米
紫草茸,白芷,地黄,藿香,川芎
银花,连翘,赤芍,牛蒡,薄荷
金银花,北豆根,白芍,青果,桔梗
