冬瓜皮,葫芦壳,西瓜皮,枣仁
橘核,昆布,荔枝核,乳香,穿山甲
金银花,薏仁,木通,木瓜,红花
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,潮脑
赤芍,红花,白及,防风,当归
冰片,枯矾,硼砂,鸡内金,朱砂
冰片,枯矾面,棉胭脂
冰片,西瓜霜,月石,元明粉,朱砂
血竭,海藻,琥珀,天南星,五灵脂
白芷,郁金,天南星,大黄
油,木鳖子,黄丹,白芷,垂柳枝
梅片,儿茶,血琥珀,熊胆,珍珠
没药,乳香,黑丑,琥珀,白丑
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,黄米,蜈蚣
冰片,没药,血竭,香油,黄丹
冰片,乳香,三七,土鳖虫,自然铜
三七,乳香,土鳖虫,自然铜,当归
冰片,没药,血竭,儿茶,白芷
外盖纱布,6次,用纱布蘸透此液,活蚯蚓数条,胶布固定
茯苓皮,车前子,泽兰,炮甲,金钱草
没药,金银花,乳香,穿山甲,白芷
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,防风,当归,枳壳
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,西瓜霜,人指甲,玄明粉,熊胆
没药,乳香,赤芍,花粉,贝母
葶苈,甘遂,红芽大戟,灵脂,芫花
葶苈,大戟,甘遂,灵脂,芫花
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,桃仁,蛇床子
鸡蛋
冬瓜,鲫鱼
野菊花,贝母,薄荷,白茅根
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,火消,雄黄
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,山甲,全蝎,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,郁金,麝香,黄连,槟榔
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,捆仙绳,18厘米
冰片,枪消,牙皂,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,青黛,人中黄,大青叶
冰片,松香,白芷,连翘,薄荷
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,薄荷
银花,花粉,赤芍,白芷,连翘
蒲公英,赤芍,金银花,赤小豆,川军
白菊花
花椒,广胶,陈酒糟,生葱,葱白
香油,章丹
金银花,连翘,山栀,丹皮,黄连
橘核,川军,乌药,金铃子,胡芦巴
没药,血竭,土鳖虫,乳香,发灰
花椒,黄丹,大蒜头,槐枝,葱白
