珍珠母,赭石,磁石,酒曲,酒曲
枣仁,远志,熟地,厚朴,丹皮
朱砂,琥珀,天麻,牵牛,钩藤
2钱,土鳖虫,钱,熟军,当归
朱砂,黄芩,减半,山栀仁,雄黄
大腹子,随风子,谷蘖,薏仁,石斛
川姜,天麻,天南星,白僵蚕,干蝎
茯神,远志,菖蒲,贝母,麦冬
枣仁,远志,地黄,五味子,陈皮
茯神,远志,枣仁,菖蒲,柏子仁
枣仁,朱砂,远志,菖蒲,柏子仁
茯神,远志,厚朴,紫苏,茯苓
茯神,枣仁,菖蒲,琥珀,熟地
川姜,天麻,天南星,白僵蚕,干蝎
茯神,远志,枣仁,白芍,石斛
茯神,远志,麦冬,犀角,知母
茯神,巴戟,黑附子,阳起石,肉苁蓉
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,洪连,榜嘎,红景天
檀香,石灰华,洪连,榜嘎,红景天
珍珠母,地骨皮,太子参,菟丝子,女贞子
远志,菖蒲,龟甲,龙骨
茯神,远志,地骨皮,麦门冬,龙齿
枣仁,远志,琥珀,菖蒲,芍药
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参
新莲肉,大猪肚,研为细末,用药同水酒入银石器内煮半日,搜下项药
阳起石,巴戟,金铃子,肉蔻,葫芦芭
辰砂,蝎梢,真麝香1字,白僵蚕,蜈蚣
干百合,蜂蜜
茯神,枣仁,五味子,当归,人参
茯神,金箔,远志,枣仁,辰砂
茯神,远志,枣仁,黄耆,罗参
茯神,防风,天竺黄,钩藤,薄荷
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,人参
茯神,远志,朱砂,枣仁,麦门冬
茯神,远志,菖蒲,麦冬,丹参
茯神,枸杞,芡实,肉苁蓉,紫石英
珍珠母,枣仁,合欢皮,钩藤,夏枯草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,猪脱氧胆酸,胆酸,板蓝根,水牛角
枣仁,牛心粉,枫香脂,丁香,沉香
茯神,远志,枣仁,朱砂,牡蛎
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨
光明砂,磁石,神曲
辰砂,琥珀,滴乳,当归,没药
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母
远志,巴戟天,肉苁蓉,菟丝子,牛膝
枣仁,人参急者用30克,干姜,当归,莲肉
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,白芍
檀香,朱砂,琥珀,降香,天麻
檀香,朱砂,琥珀,降香,郁金
茯神,远志,枣仁,辰砂,柏子仁
檀香,枣仁,石灰华,高山辣根菜,余甘子
金箔,朱砂,琥珀,白僵蚕,真铁粉
茯神,金箔,远志,铁粉,银箔
远志,巴戟,菟丝子,牛膝,地黄
檀香,三,白芷,川芎,甘草
枣仁,远志,柏子仁,麦门冬,地黄
茯神,远志,枣仁,菖蒲,柏子仁
枣仁,朱砂,远志,菖蒲,柏子仁
枣仁,山萸,党参,五味子,山药
枣仁,远志,麦门冬,黄芩,萆薢
葱,酒,鸡,乌灵参,姜
朱砂,郁金,黄芩,丹参,栀子
枣仁,柏子仁,丹皮,莲子心,丹参
茯神,犀角屑,麦门冬,龙齿,人参
辰砂,琥珀,青龙齿,枸杞,白芍
茯神,珍珠母,合欢皮,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,人参,真珠,脑
菖蒲,天竺黄,西丹参,贝母,胡连
远志,辰砂,牡蛎,肉苁蓉,干姜
茯神,远志,枣仁,柏子仁,黄耆
朱砂,钩藤,人参,白术,茯苓
枣仁,远志,黄耆,麦门冬,地黄
葱,白糖,玉竹,猪心,花椒
枣仁,合欢皮,女贞子,何首乌,灵芝
枣仁,白糖,粳米,夜交藤
远志,芍药,黄耆,当归,茯苓X克
枣仁,薏仁,麦冬,建莲肉,大茴
茯神,枣仁,柏子仁,丹皮,香附
茯神,远志,枣仁,柏子仁,黄耆
寒水石,丁子香,黄金,磁石,犀角
朱砂,柏子仁,肉苁蓉,紫石英,龙骨
茯神,远志,枣仁,地黄,当归
