珍珠母,酒曲,磁石,赭石,牛膝
朱砂,琥珀,天麻,胆南星,丹参
土鳖虫,2钱,熟军,钱,自然铜
朱砂,黄芩,雄黄,山栀仁,减半
大腹子,随风子,谷蘖,薏仁,石斛
川姜,天麻,白附子,天南星,白僵蚕
茯神,远志,菖蒲,贝母,胆南星
枣仁,远志,人参,竹茹,地黄
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,朱砂,远志,菖蒲,柏子仁
茯神,远志,厚朴,紫苏,半夏
茯神,枣仁,菖蒲,枸杞,琥珀
川姜,天麻,白附子,天南星,白僵蚕
茯神,枣仁,远志,白芍,石斛
茯神,远志,犀角,麦冬,当归
茯神,阳起石,巴戟,肉苁蓉,破故纸
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,洪连,榜嘎,红景天
檀香,石灰华,洪连,榜嘎,红景天
珍珠母,菟丝子,太子参,地骨皮,女贞子
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,天门冬,龙齿
枣仁,远志,琥珀,菖蒲,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参
研为膏,椒等洗,用药同水酒入银石器内煮半日,入银石器内水熬烂,洗去蜜酒令尽
巴戟,灵砂,金铃子,葫芦芭,钟乳
辰砂,蝎梢,真麝香1字,蜈蚣,人参
干百合,蜂蜜
茯神,枣仁,人参,当归,五味子
茯神,金箔,枣仁,远志,辰砂
茯神,枣仁,远志,罗参,莲肉
茯神,天竺黄,贝母,胆南星,防风
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,人参
茯神,枣仁,远志,朱砂,麦门冬
茯神,远志,菖蒲,丹参,丹参
茯神,枸杞,肉苁蓉,芡实,韭子
珍珠母,枣仁,合欢皮,丹参,钩藤
真豆粉,梅花片,大朱砂,丹参,甘草
珍珠母,胆酸,板蓝根,水牛角,猪脱氧胆酸
枣仁,牛心粉,枫香脂,丁香,沉香
菖蒲,芍药,乌梅肉,人参,地黄
茯神,枣仁,远志,朱砂,牡蛎
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨
光明砂,磁石,神曲
辰砂,琥珀,当归,麝香,滴乳
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母
远志,肉苁蓉,巴戟天,菟丝子,山药
枣仁,干姜,山药,莲肉,当归
朱砂,琥珀,天南星
朱砂,远志,琥珀,白芍,生地
檀香,朱砂,琥珀,天麻,降香
檀香,朱砂,琥珀,降香,天麻
茯神,枣仁,远志,辰砂,柏子仁
檀香,枣仁,石灰华,高山辣根菜,紫檀香
朱砂,金箔,琥珀,天南星,羌活
茯神,金箔,远志,铁粉,丹参
远志,巴戟,牛膝,菟丝子,威灵仙
檀香,白芷,三,川芎,桔梗
枣仁,远志,柏子仁,麦门冬,人参
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,朱砂,远志,菖蒲,柏子仁
枣仁,山萸,山药,益智仁,党参
枣仁,远志,麦门冬,黄芩,人参
葱,乌灵参,鸡,酒,姜
朱砂,郁金,黄芩,丹参,栀子
枣仁,柏子仁,丹皮,丹参,莲子心
茯神,犀角屑,麦门冬,龙齿,人参
辰砂,琥珀,枸杞,白芍,香附
茯神,珍珠母,合欢皮,丹参,钩藤
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,人参,麝,脑
天竺黄,菖蒲,煅青礞石,贝母,西丹参
远志,辰砂,牡蛎,肉苁蓉,干姜
茯神,枣仁,远志,白芍,柏子仁
朱砂,人参,钩藤,白术,茯苓
枣仁,远志,麦门冬,胆南星,人参
葱,白糖,味精,香油,花椒
枣仁,合欢皮,女贞子,浮小麦,何首乌
枣仁,白糖,粳米,夜交藤
远志,芍药,桂心,黄耆,人参
枣仁,薏仁,山药,麦冬,当归
茯神,枣仁,柏子仁,丹参,丹皮
茯神,枣仁,远志,柏子仁,阿胶
寒水石,黄金,丁子香,磁石,犀角
朱砂,柏子仁,肉苁蓉,紫石英,人参
茯神,枣仁,远志,人参,当归
