丹参,甘草,川芎,当归,莲子心
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,荔枝核,昆布,穿山甲
金银花,薏仁,木瓜,木通,归尾
白酒,红蓝花
75,酒精,红花
冰片,松香,白芷,贝母,轻粉
赤芍,白及,红花,当归,防风
冰片,枯矾,硼砂,鸡内金,麝香
冰片,枯矾面,棉胭脂
冰片,元明粉,月石,西瓜霜,石膏
血竭,海藻,五灵脂,琥珀,麝香
白芷,郁金,大黄,天南星
油,黄丹,桂心,木鳖子,白芷
梅片,熊胆,儿茶,血琥珀,珍珠
没药,乳香,黑丑,琥珀,白丑
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,菖蒲,黄米
冰片,香油,黄丹,血竭,没药
冰片,乳香,三七,土鳖虫,自然铜
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,儿茶,没药,乳香
外盖纱布,贴敷患处,6次,活蚯蚓数条,用纱布蘸透此液
茯苓皮,黄芪,车前子,泽兰,炮甲
金银花,没药,乳香,连翘,穿山甲
白芷,花粉,姜黄,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,黄芩,枳壳,当归
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,西瓜霜,熊胆,玄明粉,雄黄
没药,乳香,赤芍,贝母,木通
葶苈,甘遂,红芽大戟,芫花,神曲
大戟,葶苈,甘遂,芫花,灵脂
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,蛇床子,桃仁
鸡蛋
鲫鱼,冬瓜
贝母,薄荷,白茅根,野菊花
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,火消,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,朱砂,山甲,明雄,全蝎
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,大黄,黄连
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,18厘米,捆仙绳
冰片,枪消,牙皂,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,青黛,大青叶,人中黄
冰片,松香,连翘,白芷,薄荷
蟾酥,朱砂,雄黄,丁香
蒲公英,银花,连翘,赤芍,薄荷
银花,连翘,赤芍,白芷,薏仁
蒲公英,金银花,川军,赤芍,赤小豆
白菊花
花椒,陈酒糟,广胶,生葱,葱白
香油,章丹
金银花,连翘,山栀,黄芩,甘草
车前子,黑附子,肉桂,地黄,茱萸
橘核,川军,玄胡,乌药,胡芦巴
没药,血竭,乳香,发灰,土鳖虫
花椒,黄丹,大蒜头,槐枝,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,川乌,虎骨随多少,自然铜
发灰,皂角末,小黄米面
冰片,没药,黄柏,乳香,熊胆
鸡内金,薄荷,栀子,升麻,黄连
没药,葱,乳香,清油,木鳖子
乌药,穿山甲,川芎,红花,独活
蒲公英,赤芍,元参,郁金,瓜蒌
车前子,官桂,黑附子,地黄,牛膝
西瓜霜,珠粉,西黄,琥珀
白果,黄芪,地肤子,白茅根,桑白皮
海藻,昆布,木通,半夏,白僵蚕
没药,乳香,紫苏,黄柏,薄荷
黄柏,薄荷,苏叶,青黛,杏仁
没药,乳香,黄柏,薄荷,轻粉
冰片,月石,贝母,滑石,朱砂
没药,乳香,麻黄,马钱子粉
没药,乳香,土鳖虫,麻黄,自然铜
醋2500毫升,半夏
大独活,广地龙,西秦艽,牛膝,威灵仙
或,3克,9克,9克,萝卜子
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,麝香,马勃,青黛
粳米,香子,鹿头肉,高良姜,蔓荆子
冬瓜,鲤鱼头
蛇床人,黄丹,玄参,乱发,黄蜡
冰片,硼砂,血竭,没药,儿茶
银花,红藤,桃仁,炙山甲,川楝
蒲公英,金银花,连翘,贝母,红藤
银花,连翘,赤芍,黄柏,白芷
金银花,赤芍,连翘,白芷,黄柏
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,人参,紫菀,桑白皮
蟾酥,乳香,朱砂,硇砂,麝香
没药,蟾酥,血竭,轻粉,龙脑
血竭,蟾酥,胆矾,麝香,京墨
血竭,蟾酥,胆矾,麝香,京墨
贝母,昆布,海石,天葵子,牡蛎
赤芍,炒桃仁,刘寄奴,生地,大黄
没药,乳香,黄丹,木鳖子,蓖麻子
葱,紫苏,玄胡,赤芍,黄柏
冬瓜皮,车前子,官桂,带皮苓,建泽泻
蟾酥,西丹参,麝香,珠粉,飞腰黄
冰片,蟾酥,雄黄,珍珠,丹参
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆
冰片,葶苈,蟾酥,硼砂,血竭
生姜皮,车前子,川萆解,木通,砂仁
蒲公英,粳米
紫草茸,白芷,地黄,何首乌,半夏
银花,连翘,赤芍,牛蒡,薄荷
