远志,枣仁,熟地,丹皮,麦门冬
远志,枣仁,熟地,丹皮,生地
朱砂,琥珀,天麻,胆南星,丹参
2钱,钱,熟军,土鳖虫,自然铜
朱砂,减半,黄芩,雄黄,山栀仁
大腹子,谷蘖,随风子,薏仁,石斛
川姜,天麻,天南星,白附子,白僵蚕
茯神,远志,菖蒲,贝母,胆南星
远志,枣仁,竹茹,五味子,地黄
茯神,远志,枣仁,菖蒲,柏子仁
远志,枣仁,朱砂,菖蒲,柏子仁
茯神,远志,茯苓,半夏,厚朴
茯神,枣仁,菖蒲,琥珀,肉苁蓉
川姜,天麻,天南星,白附子,白僵蚕
茯神,远志,枣仁,白芍,石斛
茯神,远志,麦冬,知母,犀角
茯神,巴戟,阳起石,黑附子,肉苁蓉
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,红景天,榜嘎,洪连
檀香,石灰华,红景天,榜嘎,洪连
珍珠母,太子参,菟丝子,滑石,续断
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,龙齿,五味子
远志,枣仁,菖蒲,琥珀,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参
搜下项药,入先洗猪肚内,椒等洗,先将猪肚净洗,大猪肚
金铃子,葫芦芭,灵砂,阳起石,肉蔻
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕
干百合,蜂蜜
茯神,枣仁,五味子,陈皮,半夏
茯神,金箔,远志,枣仁,辰砂
茯神,远志,枣仁,茯苓,陈皮
茯神,天竺黄,贝母,胆南星,防风
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,茯苓
茯神,远志,枣仁,朱砂,麦门冬
茯神,远志,菖蒲,丹参,丹参
茯神,肉苁蓉,紫石英,枸杞,芡实
珍珠母,枣仁,合欢皮,丹参,钩藤
梅花片,真豆粉,大朱砂,丹参,甘草
珍珠母,水牛角,胆酸,猪脱氧胆酸,板蓝根
枣仁,沉香,牛心粉,枫香脂,丁香
菖蒲,芍药,乌梅肉,地黄,当归
茯神,远志,枣仁,朱砂,牡蛎
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨
光明砂,磁石,神曲
辰砂,琥珀,滴乳,麝香,当归
使君子仁,铁粉,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母
远志,菟丝子,巴戟天,肉苁蓉,山萸
枣仁,山药,干姜,人参急者用30克,莲肉
朱砂,琥珀,天南星
远志,朱砂,琥珀,白芍,胆南星
檀香,朱砂,琥珀,降香,天麻
檀香,朱砂,琥珀,郁金,降香
茯神,远志,枣仁,辰砂,柏子仁
檀香,石灰华,枣仁,高山辣根菜,红花
金箔,朱砂,琥珀,天南星,白附子
茯神,金箔,远志,铁粉,丹参
远志,巴戟,菟丝子,牛膝,地黄
檀香,三,白芷,川芎,桔梗
远志,枣仁,柏子仁,麦门冬,丹参
茯神,远志,枣仁,菖蒲,柏子仁
远志,枣仁,朱砂,菖蒲,柏子仁
枣仁,山萸,五味子,山药,益智仁
远志,枣仁,麦门冬,桂心,黄芩
葱,鸡,酒,乌灵参,姜
朱砂,郁金,丹参,黄芩,黄连
枣仁,丹皮,柏子仁,丹参,莲子心
茯神,麦门冬,龙齿,犀角屑,黄芩
辰砂,琥珀,枸杞,白芍,青龙齿
茯神,珍珠母,合欢皮,丹参,钩藤
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,真珠,胆南星,脑,麝
天竺黄,菖蒲,珠粉,煅青礞石,胡连
远志,辰砂,牡蛎,肉苁蓉,干姜
茯神,远志,枣仁,柏子仁,紫石英
朱砂,钩藤,茯苓,人参,白术
远志,枣仁,麦门冬,胆南星,黄耆
葱,白糖,玉竹,味精,香油
枣仁,合欢皮,女贞子,何首乌,灵芝
枣仁,白糖,粳米,夜交藤
远志,芍药,黄耆,五味子,桂心
枣仁,薏仁,山药,麦冬,建莲肉
茯神,枣仁,柏子仁,丹参,丹皮
茯神,远志,枣仁,柏子仁,紫石英
寒水石,黄金,丁子香,磁石,滑石
朱砂,柏子仁,肉苁蓉,紫石英,龙骨
茯神,远志,枣仁,地黄,甘草
