茯神,枣仁,远志,巴戟,琥珀,菖蒲
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,山药,丹参
朱砂,琥珀,珍珠,丹参,麝香,羚羊角
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,天南星,山药,麝香
茯神,朱砂,金箔,天竺黄,胆南星,山药
茯神,朱砂,金箔,远志,天竺黄,铁粉
金箔,辰砂,天麻,丹参,麝香,犀角
金箔,天竺黄,铁粉,丹参,龙齿,麝香
茯神,朱砂,金箔,远志,铁粉,麦门冬
金箔,天竺黄,辰砂,皂荚仁,生白龙脑,白矾
金箔,天竺黄,辰砂,皂荚仁,生白龙脑,白矾
茯神,金箔,远志,辰砂,菖蒲,乌梅肉
茯神,枣仁,合欢花,丹参,郁金,白芍
辰砂,天南星,明矾,半夏
茯神,朱砂,枣仁,远志,菖蒲,人参
枣仁,远志,麦门冬,丹参,阿胶,白芍
枣仁,远志,麦冬,丹参,丹皮,泽兰
朱砂,琥珀,天麻,牵牛,胆南星,钩藤
熟军,钱,土鳖虫,2钱,自然铜,乳香
朱砂,减半,雄黄,山栀仁,黄芩,黄柏
随风子,谷蘖,大腹子,枇杷叶,薏仁,五味子
川姜,天麻,天南星,白附子,半夏,白僵蚕
茯神,远志,菖蒲,麦冬,胆南星,丹参
枣仁,远志,竹茹,枳实,五味子,地黄
茯神,枣仁,远志,菖蒲,柏子仁,人参
朱砂,枣仁,远志,菖蒲,柏子仁,地黄
茯神,远志,半夏,厚朴,紫苏,茯苓
茯神,枣仁,琥珀,菖蒲,枸杞,肉苁蓉
川姜,天麻,天南星,白附子,半夏,白僵蚕
茯神,枣仁,远志,麦冬,白芍,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归
茯神,巴戟,阳起石,肉苁蓉,黑附子,牛膝
肉桂心,生川连
琥珀,茯苓,香附
檀香,石灰华,高山辣根菜,榜嘎,洪连,红景天
檀香,石灰华,高山辣根菜,榜嘎,洪连,红景天
珍珠母,太子参,山药,地骨皮,五味子,地黄
远志,菖蒲,龙骨,龟甲
茯神,远志,天门冬,麦门冬,山药,龙齿
枣仁,远志,琥珀,菖蒲,牡蛎,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香
磁石,大猪肚,用药同水酒入银石器内煮半日,复以葱,研为细末,新莲肉
巴戟,钟乳,金铃子,葫芦芭,灵砂,肉蔻
辰砂,蝎梢,真麝香1字,蜈蚣,半夏,人参
干百合,蜂蜜
茯神,枣仁,五味子,半夏,人参,当归
