半夏,天南星,黑牵牛,猪牙皂角,白矾
天南星,木香
半夏,天南星,干姜
贝母,紫菀,杏仁,百部,瓜蒌仁,桔梗
半夏,蝎尾,胡椒,干姜
半夏,桔梗,僵蚕,活蝎子,蝉蜕,羌活
款冬花,杏仁,远志,苏子,五味子,代赭石
贝母,杏仁,陈皮,苏子,葶苈,僵蚕
半夏,款冬花,杏仁,苏子,黄芩,白果
半夏,款冬花,杏仁,苏子,黄芩,白果
杏仁,陈皮,五味子,石膏,砂仁,甘草
陈皮,桔梗,五味子,石膏,木香,麻黄
贝母,半夏,莱菔,白芥子,杏仁,苏子
天竺黄,银箔,生犀角,金箔,远志,真珠末
玄明粉,姜汁,煅金礞石,生硼砂,朱砂面,竹沥膏
朱砂,天麻,薄荷,川芎,细辛,甘草
半夏,陈皮,麦芽,广荗,川丁皮,荜澄茄
半夏,款冬花,枳实,五味子,苦梗,人参
半夏,天南星,薄荷,寒水石,藿香,白蛤粉
半夏,天南星,薄荷,寒水石,藿香,人参
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,陈皮,旋复花,麦冬,赭石
天南星,天麻,真珠末,龙脑,白附子,丹参
天竺黄,天麻,龙脑,丹参,丹砂,人参
龙脑,真珠,瑇瑁,犀角,丹砂,麝香
贝母,陈皮,五味子,菖蒲,丹参,当归
半夏,白檀香,姜黄,丁香,白术,人参
天麻,鹅梨,皂荚,薄荷,威灵仙,甘草
半夏,紫团参,鳖甲,甘草,阿胶
贝母,半夏,杏仁,葶苈,陈皮,紫苏
半夏,广皮,茯苓,羌活,甘草,防风
杏仁,桔梗,麻黄
半夏,昆布,白芥子,海藻,陈皮,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,广皮,茯苓,甘草,厚朴
半夏,陈皮,苏梗,茯苓,甘草,厚朴
半夏,陈皮,枳实,当归,香附,川芎
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,陈皮,僵蚕,川朴
天竺黄,竹茹,百部,陈皮,瓜蒌仁,天冬
贝母,麦冬,知母,天门冬
贝母,北沙参,提麦冬,淡天冬,南沙参,知母
竹茹,远志,菖蒲,泽泻,牡蛎,白芍
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,草果子,甘草
贝母,桔梗,陈皮,元参,花粉,前胡
贝母,桔梗,陈皮,芍药,前胡,花粉
半夏,天麻,人参,独活,茯苓,白芷
杏仁,防己,木香
贝母,半夏,玉竹,北沙参,麦冬,天冬
半夏,陈皮,茯苓,甘草
山芋,远志,桔梗,陈皮,五味子,芍药
贝母,杏仁,桔梗,陈皮,葶苈,代赭石
鱼腥草,黄芪,陈皮,党参,白花蛇舌草,铁树叶
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,郁金,麦冬,石膏
半夏,黑牵牛子,粉霜,白矾
陈皮,硼砂,五味子,薄荷,乌梅,甘草
白檀香末,片脑,白豆蔻末,芽茶
贝母,半夏,桔梗,陈皮,玄明粉,香附
贝母,半夏,桔梗,陈皮,玄明粉,香附
半夏
半夏,檀香,百药煎,陈皮,五味子,薄荷
半夏,天南星,皂角,白矾,干姜
半夏,天南星,杏仁,陈皮,紫苏,香附
半夏,莱菔,天南星,陈皮,瓜蒌仁,枳实
竹茹,陈皮,缩砂,菖蒲,郁金,苍术
百药煎,杏仁,乌梅,黑矾,甘草
半夏,丁香,草豆蔻,白矾
半夏,陈皮,枳实,五味子,薄荷,白豆蔻
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
鱼腥草,百部,穿心莲,生干蟾,开金锁
蜈蚣,桔梗,钩藤,僵蚕,知柏,全蝎
贝母,半夏,远志,桔梗,陈皮,五味子
四季青,干日红,鼠曲草,平地木
半夏,竹茹,陈皮,枳实,石膏,麦门冬
天竺黄,钩藤,枳实,生川军,生石决明,牡蛎
贝母,桔梗,陈皮,枳实,片芩,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,瓜蒌皮,牡蛎,白芍,桂枝
半夏,远志,五味子,合桃肉,熟附块,白术
炮干姜,桔梗,败酱草,栝蒌实,人参,细辛
白酒700毫升,栝楼,薤白
山芋,杏仁,栝楼,甘草
半夏,海藻,昆布,陈皮,夏枯草,牡蛎
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,白芍,人参
半夏,陈皮,当归,白术,白芍,人参
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,陈皮,党参,白术,紫河车,黄耆
半夏,天南星,百药煎,明矾,五味子,乌梅肉
半夏,天南星,香墨,白附子,芎,杜仲
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,泽泻,白术,黄芩
贝母,桔梗,诃子,薄荷,薄荷,胖大海
贝母,天竺黄,半夏,胆南星,白芥子,桔梗
半夏,杏仁,海粉,诃子,栝楼,香附
款冬花,蛤蚧,成炼钟乳,肉桂,甘草,白矾
贝母,半夏,莱菔,白芥子,杏仁,苏子
半夏,陈皮,藿香,人参,苍术,茯苓
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,丁香,生姜,茯苓
半夏,竹茹,陈广皮,碧玉散,青子芩4,青蒿脑4
桔梗,天麻,僵蚕,全蝎,川芎,甘草
半夏,朱砂,雄黄,白矾
天南星,海藻,琥珀,海带,血竭,京墨
胆南星,朱砂,钩藤,琥珀,薄荷,苏珠
贝母,半夏,百合,石膏,天冬,京知母
天竺黄,檀香,天南星,朱砂,枳实,琥珀
天竺黄,檀香,天南星,金箔,枳实,粉草
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎
天竺黄,天南星,檀香,金箔,朱砂,枳实
贝母,天竺黄,胆南星,僵蚕,琥珀,全蝎
天竺黄,胆南星,辰砂,琥珀,月石,腰黄
天竺黄,天南星,真麝香,钩藤,辰砂,僵蚕
贝母,天竺黄,胆南星,朱砂,钩藤,桔梗
天南星,远志,人乳,大辰砂,菖蒲,真琥珀
贝母,天竺黄,青礞石,月石,伽楠香,羚羊角
贝母,青礞石,月石,沉香,天竹黄,羚羊角
远志,辰砂,桔梗,金箔,粉草,麝香3厘
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,陈皮,海带
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
