茯神,枣仁,远志,琥珀,巴戟,菖蒲
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药
朱砂,琥珀,珍珠,龙涎香,丹参,麝香
红糖,粳米,合欢花
鸡蛋,芡实,去芯莲子,山药
朱砂,铁粉,蛇黄,天南星,山药,蜈蚣
茯神,金箔,朱砂,天竺黄,丹参,山药
茯神,金箔,朱砂,远志,天竺黄,铁粉
金箔,辰砂,丹参,天麻,犀角,防风
金箔,天竺黄,铁粉,丹参,龙齿,龙脑
茯神,金箔,朱砂,远志,铁粉,麦门冬
金箔,天竺黄,辰砂,生白龙脑,皂荚仁,白矾
金箔,天竺黄,辰砂,生白龙脑,皂荚仁,白矾
茯神,金箔,远志,菖蒲,辰砂,乌梅肉
茯神,枣仁,合欢花,丹参,山栀,郁金
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,人参
枣仁,远志,麦门冬,丹参,白芍,丹皮
枣仁,远志,麦冬,丹参,泽兰,丹皮
朱砂,琥珀,钩藤,牵牛,丹参,天麻
钱,土鳖虫,2钱,熟军,自然铜,乳香
朱砂,减半,山栀仁,雄黄,黄芩,黄连
谷蘖,随风子,大腹子,枇杷叶,薏仁,五味子
川姜,天麻,天南星,白附子,半夏,白僵蚕
茯神,远志,麦冬,菖蒲,钩藤,丹参
枣仁,远志,竹茹,五味子,地黄,半夏
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,地黄
茯神,远志,半夏,紫苏,茯苓,甘草
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞
川姜,天麻,天南星,白附子,半夏,白僵蚕
茯神,枣仁,远志,麦冬,白芍,丹皮
茯神,远志,麦冬,犀角,羚羊角,知母
茯神,巴戟,阳起石,肉苁蓉,黑附子,牛膝
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,高山辣根菜,榜嘎,洪连,红景天
檀香,石灰华,高山辣根菜,榜嘎,洪连,红景天
珍珠母,太子参,菟丝子,山药,地黄,地骨皮
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,天门冬,龙齿,山药
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香
磁石,山药,入先洗猪肚内,控干,用药同水酒入银石器内煮半日,研为膏
巴戟,葫芦芭,金铃子,钟乳,阳起石,灵砂
蝎梢,辰砂,真麝香1字,蜈蚣,半夏,白僵蚕
干百合,蜂蜜
茯神,枣仁,五味子,半夏,人参,陈皮
茯神,金箔,枣仁,远志,琥珀,菖蒲
茯神,枣仁,远志,黄耆,陈皮,罗参
茯神,天竺黄,钩藤,胆南星,防风,贝母
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,麝香,人参
茯神,枣仁,朱砂,远志,麦门冬,天门冬
茯神,远志,麦冬,菖蒲,丹参,丹参
茯神,肉苁蓉,枸杞,紫石英,芡实,韭子
枣仁,珍珠母,合欢皮,钩藤,丹参,夏枯草
真豆粉,大朱砂,梅花片,丹参,甘草
珍珠母,水牛角,猪脱氧胆酸,胆酸,板蓝根,金银花
枣仁,沉香,牛心粉,丁香,枫香脂,木香
菖蒲,乌梅肉,地黄,人参,芍药,当归
茯神,枣仁,朱砂,远志,牡蛎,人参
枣仁,知母,茯苓,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,生地,炒柏子仁
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,没药,木香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,麦冬,菖蒲,辰砂,钩藤
远志,肉苁蓉,巴戟天,山药,牛膝,菟丝子
枣仁,山药,干姜,人参急者用30克,白术,莲肉
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,白芍,五味子
檀香,朱砂,琥珀,诃子,天麻,麝香
檀香,朱砂,琥珀,诃子,丹参,天麻
茯神,枣仁,远志,辰砂,紫石英,柏子仁
檀香,枣仁,石灰华,高山辣根菜,紫檀香,诃子
金箔,朱砂,琥珀,天南星,白附子,半夏
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,牛膝,菟丝子,地黄,杜仲
檀香,三,白芷,甘草,桔梗,川芎
