茯神,朱砂,枣仁,远志,琥珀,天冬
茯神,枣仁,远志,巴戟,琥珀,菖蒲
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药
朱砂,珍珠,琥珀,丹参,龙涎香,麝香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,天南星,山药,蜈蚣
茯神,朱砂,金箔,天竺黄,丹参,胆南星
茯神,朱砂,金箔,远志,天竺黄,铁粉
金箔,辰砂,丹参,天麻,麝香,防风
天竺黄,金箔,铁粉,丹参,龙齿,麝香
茯神,朱砂,金箔,远志,铁粉,麦门冬
天竺黄,金箔,辰砂,皂荚仁,生白龙脑,白矾
天竺黄,金箔,辰砂,皂荚仁,生白龙脑,白矾
茯神,金箔,远志,菖蒲,辰砂,丹参
茯神,枣仁,合欢花,丹参,山栀,白芍
明矾,辰砂,天南星,半夏
茯神,朱砂,枣仁,远志,菖蒲,当归
枣仁,远志,麦门冬,丹参,白芍,阿胶
枣仁,远志,麦冬,丹参,泽兰,天冬
朱砂,琥珀,钩藤,丹参,天麻,牵牛
土鳖虫,熟军,钱,2钱,自然铜,当归
朱砂,减半,山栀仁,雄黄,黄芩,黄柏
谷蘖,随风子,石斛,大腹子,枇杷叶,薏仁
川姜,天麻,天南星,白附子,白僵蚕,川乌
茯神,远志,麦冬,菖蒲,钩藤,丹参
枣仁,远志,竹茹,五味子,人参,地黄
茯神,枣仁,远志,菖蒲,柏子仁,人参
朱砂,枣仁,远志,菖蒲,柏子仁,地黄
茯神,远志,茯苓,紫苏,甘草,厚朴
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞
川姜,天麻,天南星,白附子,白僵蚕,川乌
茯神,枣仁,远志,麦冬,白芍,石斛
茯神,远志,麦冬,羚羊角,犀角,当归
茯神,巴戟,肉苁蓉,阳起石,黑附子,牛膝
肉桂心,生川连
琥珀,茯苓,香附
檀香,石灰华,高山辣根菜,洪连,红景天,榜嘎
檀香,石灰华,高山辣根菜,洪连,红景天,榜嘎
珍珠母,太子参,山药,五味子,菟丝子,地骨皮
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,天门冬,龙齿,山药
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香
新莲肉,椒等洗,石斛,磁石,山药,菟丝子
巴戟,葫芦芭,灵砂,金铃子,钟乳,肉蔻
蝎梢,辰砂,真麝香1字,蜈蚣,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,五味子,当归,人参,陈皮
茯神,枣仁,金箔,远志,琥珀,菖蒲
茯神,枣仁,远志,当归,茯苓,黄耆
茯神,天竺黄,钩藤,胆南星,防风,贝母
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,麝香,人参
茯神,朱砂,枣仁,远志,麦门冬,天门冬
茯神,远志,麦冬,菖蒲,丹参,丹参
茯神,肉苁蓉,枸杞,紫石英,韭子,芡实
枣仁,珍珠母,钩藤,合欢皮,丹参,夏枯草
大朱砂,梅花片,真豆粉,丹参,甘草
珍珠母,水牛角,胆酸,猪脱氧胆酸,板蓝根,金银花
枣仁,沉香,枫香脂,牛心粉,丁香,木香
菖蒲,乌梅肉,人参,当归,地黄,芍药
茯神,朱砂,枣仁,远志,牡蛎,人参
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,生地,龙骨,炒柏子仁
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,当归,没药
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,麦冬,菖蒲,钩藤,辰砂
远志,肉苁蓉,巴戟天,山药,五味子,牛膝
枣仁,山药,人参急者用30克,当归,白术,干姜
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,白芍,五味子
朱砂,檀香,琥珀,诃子,天麻,麝香
朱砂,檀香,琥珀,诃子,丹参,天麻
茯神,枣仁,远志,辰砂,柏子仁,紫石英
枣仁,檀香,石灰华,高山辣根菜,诃子,诃子
朱砂,金箔,琥珀,天南星,白附子,枯矾
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,牛膝,菟丝子,地黄,杜仲
檀香,三,白芷,桔梗,甘草,川芎
枣仁,远志,麦门冬,柏子仁,丹参,五味子
茯神,枣仁,远志,菖蒲,麦门冬,柏子仁
朱砂,枣仁,远志,麦冬,菖蒲,柏子仁
枣仁,山药,五味子,破故纸60宽,山萸,茯苓
枣仁,远志,麦门冬,人参,茯苓,萆薢
葱,鸡,乌灵参,酒,盐,姜
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,柏子仁,丹参,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,黄芩
琥珀,辰砂,枸杞,青龙齿,白芍,柴胡
茯神,珍珠母,钩藤,合欢皮,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,脑,胆南星,真珠,人参,茯苓
