茯神,远志,羚羊角,真琥珀,人参,甘草
茯神,朱砂,枣仁,远志,琥珀,沉香
茯神,枣仁,远志,巴戟,琥珀,菖蒲
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药
朱砂,珍珠,琥珀,丹参,龙涎香,麝香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,天南星,山药,麝香
茯神,金箔,朱砂,天竺黄,丹参,胆南星
茯神,金箔,朱砂,远志,天竺黄,铁粉
金箔,辰砂,丹参,天麻,麝香,犀角
金箔,天竺黄,铁粉,龙齿,丹参,麝香
茯神,金箔,朱砂,远志,铁粉,龙齿
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
茯神,金箔,远志,辰砂,菖蒲,丹参
茯神,枣仁,合欢花,丹参,山栀,郁金
辰砂,明矾,天南星,半夏
茯神,朱砂,枣仁,远志,菖蒲,乳香
枣仁,远志,丹参,麦门冬,白芍,阿胶
枣仁,远志,麦冬,丹参,丹皮,熟地
朱砂,琥珀,牵牛,钩藤,丹参,胆南星
土鳖虫,钱,熟军,2钱,自然铜,乳香
朱砂,减半,山栀仁,雄黄,黄芩,黄柏
谷蘖,大腹子,石斛,随风子,枇杷叶,薏仁
川姜,天麻,天南星,白附子,白僵蚕,半夏
茯神,远志,菖蒲,钩藤,麦冬,丹参
枣仁,远志,竹茹,枳实,五味子,地黄
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,地黄
茯神,远志,半夏,厚朴,茯苓,紫苏
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞
川姜,天麻,天南星,白附子,白僵蚕,半夏
茯神,枣仁,远志,麦冬,白芍,石斛
茯神,远志,麦冬,犀角,羚羊角,当归
茯神,巴戟,阳起石,肉苁蓉,黑附子,茱萸
肉桂心,生川连
琥珀,茯苓,香附
檀香,石灰华,洪连,红景天,榜嘎,高山辣根菜
檀香,石灰华,洪连,红景天,榜嘎,高山辣根菜
珍珠母,太子参,山药,五味子,女贞子,地黄
远志,菖蒲,龟甲,龙骨
茯神,远志,龙齿,天门冬,麦门冬,山药
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香
磁石,石斛,山药,醋,菟丝子,缝定
巴戟,阳起石,金铃子,葫芦芭,灵砂,钟乳
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕,半夏
干百合,蜂蜜
茯神,枣仁,五味子,半夏,陈皮,当归
茯神,金箔,枣仁,远志,琥珀,辰砂
茯神,枣仁,远志,黄耆,陈皮,当归
茯神,天竺黄,钩藤,胆南星,贝母,防风
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,麝香,茯苓
茯神,朱砂,枣仁,远志,龙齿,天门冬
茯神,远志,菖蒲,丹参,丹参,麦冬
茯神,肉苁蓉,芡实,枸杞,紫石英,韭子
枣仁,珍珠母,钩藤,合欢皮,丹参,夏枯草
大朱砂,真豆粉,梅花片,丹参,甘草
珍珠母,胆酸,板蓝根,猪脱氧胆酸,水牛角,金银花
枣仁,枫香脂,沉香,牛心粉,丁香,木香
菖蒲,乌梅肉,地黄,当归,人参,芍药
茯神,朱砂,枣仁,远志,牡蛎,益智
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,炒柏子仁,生地
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,当归,木香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,钩藤,麦冬
远志,肉苁蓉,巴戟天,山药,五味子,牛膝
枣仁,山药,白术,干姜,当归,人参急者用30克
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,白芍,五味子
