半夏,胡椒,蝎尾,干姜
半夏,桔梗,僵蚕,活蝎子,麻黄,黄连
杏仁,款冬花,远志,苏子,胡桃肉,五味子
贝母,杏仁,苏子,陈皮,葶苈,僵蚕
半夏,款冬花,杏仁,苏子,黄芩,麻黄
半夏,款冬花,杏仁,苏子,黄芩,麻黄
杏仁,陈皮,石膏,五味子,麻黄,砂仁
桔梗,陈皮,石膏,五味子,木香,麻黄
贝母,半夏,莱菔,白芥子,杏仁,苏子
天竺黄,银箔,远志,生犀角,真珠末,金箔
玄明粉,姜汁,薄荷,煅金礞石,生硼砂,朱砂面
朱砂,薄荷,天麻,川芎,细辛,甘草
半夏,麦芽,陈皮,川丁皮,广荗,荜澄茄
半夏,款冬花,枳实,五味子,苦梗,人参
半夏,天南星,薄荷,寒水石,藿香,白蛤粉
半夏,天南星,薄荷,寒水石,藿香,蛤粉
半夏,杏仁,马兜铃,巴豆
贝母,旋复花,杏仁,陈皮,麦冬,杭菊
天南星,真珠末,龙脑,天麻,白附子,丹参
天竺黄,龙脑,天麻,丹参,人参,铅白霜
贝母,陈皮,菖蒲,麦门冬,丹参,五味子
半夏,白檀香,丁香,姜黄,白术,人参
半夏,紫团参,鳖甲,甘草,阿胶
贝母,半夏,杏仁,陈皮,紫苏,紫苏
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,陈皮,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,苍术,甘草,厚朴
半夏,陈皮,苏梗,茯苓,甘草,厚朴
半夏,陈皮,香附,枳实,当归,茯苓
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,天门冬,知母
半夏,天南星,桔梗,陈皮,僵蚕,菖蒲
天竺黄,百部,竹茹,瓜蒌仁,陈皮,天冬
贝母,麦冬,天门冬,知母
贝母,北沙参,淡天冬,提麦冬,南沙参,知母
竹茹,远志,菖蒲,牡蛎,泽泻,白芍
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,白姜,黑附子,草果子,甘草
贝母,桔梗,陈皮,前胡,元参,黄芩
贝母,桔梗,陈皮,芍药,前胡,黄芩
半夏,天麻,人参,独活,茯苓,芎
贝母,半夏,玉竹,北沙参,天冬,麦冬
半夏,陈皮,茯苓,甘草
山芋,桔梗,陈皮,远志,芍药,五味子
贝母,杏仁,桔梗,陈皮,葶苈,旋覆花
鱼腥草,陈皮,黄芪,铁树叶,党参,白花蛇舌草
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,郁金,菊花炭,麦冬
半夏,粉霜,黑牵牛子,白矾
硼砂,陈皮,薄荷,乌梅,五味子,甘草
片脑,芽茶,白豆蔻末,白檀香末
贝母,半夏,桔梗,陈皮,玄明粉,香附
贝母,半夏,桔梗,陈皮,玄明粉,香附
半夏
半夏,檀香,百药煎,陈皮,薄荷,乌梅肉
半夏,天南星,皂角,白矾,干姜
半夏,天南星,杏仁,陈皮,紫苏,香附
半夏,天南星,莱菔,瓜蒌仁,陈皮,紫苏
竹茹,陈皮,菖蒲,郁金,缩砂,苍术
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,白矾,草豆蔻
半夏,陈皮,薄荷,丁香,枳实,五味子
半夏,硝石,明矾
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,生干蟾,开金锁
蜈蚣,桔梗,僵蚕,知柏,钩藤,全蝎
贝母,半夏,远志,桔梗,陈皮,五味子
四季青,鼠曲草,干日红,平地木
半夏,竹茹,陈皮,枳实,麦门冬,石膏
天竺黄,生川军,钩藤,生石决明,枳实,牡蛎
贝母,桔梗,陈皮,枳实,片芩,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,瓜蒌皮,桂枝,牡蛎,白芍
半夏,远志,合桃肉,熟附块,桂枝,五味子
桔梗,败酱草,炮干姜,栝蒌实,人参,细辛
栝楼,白酒700毫升,薤白
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,陈皮,牡蛎,夏枯草
半夏,陈皮,龙涎香,伽楠香
贝母,香附,郁金,人参,白芍
半夏,陈皮,当归,白术,人参,茯苓
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,陈皮,党参,紫河车,白术,茯苓
半夏,天南星,百药煎,乌梅肉,明矾,五味子
半夏,天南星,香墨,白附子,杜仲,芎
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,白术,泽泻,黄芩
贝母,桔梗,薄荷,薄荷,诃子,胖大海
贝母,半夏,天竺黄,胆南星,白芥子,桔梗
半夏,杏仁,海粉,栝楼,香附,诃子
款冬花,蛤蚧,成炼钟乳,白矾,肉桂,甘草
贝母,半夏,莱菔,白芥子,杏仁,苏子
半夏,陈皮,藿香,人参,苍术,茯苓
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,丁香,藿香,生姜,茯苓
半夏,竹茹,碧玉散,青子芩4,陈广皮,青蒿脑4
桔梗,僵蚕,天麻,全蝎,麻黄,川芎
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,京墨,血竭
胆南星,朱砂,钩藤,薄荷,琥珀,地龙
贝母,半夏,百合,天冬,石膏,血琥珀
天竺黄,天南星,檀香,朱砂,枳实,琥珀
天竺黄,天南星,檀香,金箔,粉草,枳实
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎
天竺黄,天南星,檀香,朱砂,金箔,蜂蜜
贝母,天竺黄,胆南星,僵蚕,琥珀,全蝎
天竺黄,胆南星,辰砂,琥珀,沉香,月石
天竺黄,天南星,辰砂,真麝香,钩藤,僵蚕
贝母,天竺黄,胆南星,朱砂,桔梗,钩藤
天南星,远志,人乳,菖蒲,大辰砂,人参
贝母,天竺黄,青礞石,伽楠香,月石,麝香
贝母,青礞石,沉香,月石,天竹黄,麝香
金箔,远志,桔梗,辰砂,粉草,香附
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,陈皮
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,香附,红花,莪术
透骨草,烧酒,老葱胡,马前子,川羌,三七
半夏,昆布,陈皮,红花,当归,木香
半夏,陈皮,当归,茯苓,地黄,白芍
贝母,桔梗,麦冬,当归,枸杞,白术
天竺黄,朱砂,油松节,梅片,僵蚕,天麻
半夏,枳实,芍药,桂心,防己,旋覆花
杏仁,葶苈,蛤蚧,商陆,防己,麻黄
白芥子,陈皮,上肉桂,全丝瓜,白僵蚕,莪术
天竺黄,天南星,桔梗,陈皮,天麻,僵蚕
半夏,丁香,生姜,甘草,厚朴,枣仁
杏仁,陈皮,紫苏,麻黄,茯苓,甘草
天南星,天麻,粉草,全蝎,人参,川芎
天南星,天麻,粉草,全蝎,人参,川芎
半夏,天南星,白附子,寒水石,皂角,干生姜
天南星,蒌仁,陈皮,陈皮,元芩,清夏
贝母,半夏,昆布,海藻,海带,枳实
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,陈皮,紫苏,皂角
半夏,天南星,白附子,明矾
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,瓜蒌仁,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,葶苈,五味子
半夏,桔梗,硼砂,陈皮,紫苏,葶苈
半夏,天南星,辰砂,陈皮,腻粉,皂
半夏,紫菀,杏仁,桔梗,陈皮,葶苈
