半夏,桔梗,僵蚕,活蝎子,黄连,甘草
杏仁,款冬花,远志,苏子,代赭石,胡桃肉
贝母,杏仁,苏子,葶苈,陈皮,僵蚕
半夏,款冬花,杏仁,苏子,黄芩,白果
半夏,款冬花,杏仁,苏子,黄芩,白果
杏仁,陈皮,石膏,五味子,砂仁,甘草
贝母,半夏,莱菔,白芥子,杏仁,苏子
天竺黄,生犀角,远志,银箔,真珠末,金箔
玄明粉,郁金,姜汁,朱砂面,生硼砂,竹沥膏
半夏,麦芽,陈皮,广荗,川丁皮,荜澄茄
半夏,款冬花,五味子,枳实,苦梗,茯苓
半夏,天南星,薄荷,藿香,寒水石,白蛤粉
半夏,天南星,薄荷,藿香,蛤粉,寒水石
半夏,杏仁,巴豆,马兜铃
贝母,杏仁,陈皮,旋复花,石斛,麦冬
天南星,真珠末,龙脑,白附子,天麻,犀角
天竺黄,龙脑,天麻,铅白霜,茯苓,人参
贝母,陈皮,菖蒲,麦门冬,五味子,当归
半夏,姜黄,白檀香,丁香,白术,甘草
半夏,紫团参,阿胶,甘草,鳖甲
贝母,半夏,杏仁,青礞石,板蓝根,葶苈
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,陈皮,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,甘草,苍术,厚朴
半夏,陈皮,苏梗,茯苓,甘草,厚朴
半夏,陈皮,香附,枳实,当归,茯苓
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,陈皮,僵蚕,菖蒲
天竺黄,竹茹,百部,陈皮,瓜蒌仁,麦冬
贝母,麦冬,知母,天门冬
贝母,北沙参,淡天冬,提麦冬,南沙参,知母
竹茹,远志,菖蒲,泽泻,牡蛎,白芍
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,甘草,厚朴
贝母,桔梗,陈皮,元参,花粉,前胡
贝母,桔梗,陈皮,花粉,前胡,芍药
半夏,天麻,白芷,茯苓,人参,独活
贝母,半夏,玉竹,北沙参,广皮,麦冬
半夏,陈皮,茯苓,甘草
山芋,远志,桔梗,陈皮,麦门冬,五味子
贝母,杏仁,葶苈,桔梗,陈皮,代赭石
