茯神,枣仁,远志,巴戟,琥珀,辰砂
辰砂,琥珀,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药
朱砂,琥珀,珍珠,丹参,麝香,龙涎香
粳米,红糖,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,麝香,僵蚕,蜈蚣
茯神,金箔,朱砂,天竺黄,丹参,胆南星
茯神,金箔,朱砂,远志,天竺黄,铁粉
金箔,辰砂,天麻,丹参,麝香,防风
金箔,天竺黄,铁粉,丹参,龙齿,麝香
茯神,金箔,朱砂,远志,铁粉,龙齿
金箔,天竺黄,辰砂,白矾,生白龙脑,皂荚仁
金箔,天竺黄,辰砂,白矾,生白龙脑,皂荚仁
茯神,金箔,远志,辰砂,菖蒲,丹参
茯神,枣仁,合欢花,丹参,山栀,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,当归
枣仁,远志,麦门冬,阿胶,丹参,白芍
枣仁,远志,麦冬,丹参,丹皮,蝉蜕
朱砂,琥珀,天麻,钩藤,丹参,胆南星
2钱,钱,土鳖虫,熟军,自然铜,乳香
朱砂,减半,雄黄,山栀仁,黄芩,黄柏
大腹子,随风子,谷蘖,枇杷叶,薏仁,沉香
川姜,天麻,天南星,白附子,白僵蚕,川乌
茯神,远志,菖蒲,麦冬,钩藤,丹参
枣仁,远志,五味子,竹茹,地黄,枳实
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,地黄
茯神,远志,半夏,茯苓,紫苏,厚朴
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞
川姜,天麻,天南星,白附子,白僵蚕,川乌
茯神,枣仁,远志,麦冬,白芍,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归
茯神,巴戟,阳起石,黑附子,肉苁蓉,沉香
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,洪连,榜嘎,高山辣根菜,红景天
檀香,石灰华,洪连,榜嘎,高山辣根菜,红景天
珍珠母,太子参,地骨皮,五味子,地黄,山药
远志,菖蒲,龙骨,龟甲
