贝母,紫菀,百部,杏仁,瓜蒌皮,陈皮
半夏,蝎尾,胡椒,干姜
半夏,僵蚕,桔梗,活蝎子,蝉蜕,麻黄
杏仁,款冬花,远志,代赭石,苏子,胡桃肉
贝母,僵蚕,杏仁,陈皮,代赭石,葶苈
半夏,款冬花,杏仁,黄芩,苏子,麻黄
半夏,款冬花,杏仁,黄芩,苏子,麻黄
杏仁,陈皮,石膏,五味子,砂仁,麻黄
桔梗,陈皮,石膏,五味子,麻黄,木香
贝母,半夏,莱菔,杏仁,白芥子,陈皮
天竺黄,远志,银箔,生犀角,金箔,龙脑
玄明粉,郁金,姜汁,薄荷,煅金礞石,竹沥膏
朱砂,天麻,薄荷,白芷,川芎,细辛
半夏,陈皮,麦芽,广荗,川丁皮,荜澄茄
半夏,款冬花,枳实,苦梗,五味子,麻黄
半夏,天南星,薄荷,寒水石,白蛤粉,白矾
半夏,天南星,薄荷,寒水石,白矾,藿香
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,旋复花,陈皮,麦冬,桑叶
天南星,天麻,龙脑,真珠末,白附子,犀角
天竺黄,天麻,龙脑,丹参,丹砂,麝香
贝母,陈皮,菖蒲,当归,白术,麦门冬
半夏,白檀香,姜黄,丁香,白术,生姜
半夏,紫团参,鳖甲,阿胶,甘草
贝母,半夏,杏仁,瓜蒌皮,紫苏,紫苏
半夏,广皮,茯苓,甘草,防风,羌活
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,陈皮,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,苍术,甘草,厚朴
半夏,陈皮,苏梗,茯苓,厚朴,甘草
半夏,陈皮,香附,枳实,当归,川芎
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,天门冬,知母
半夏,天南星,陈皮,僵蚕,桔梗,菖蒲
天竺黄,百部,陈皮,竹茹,麦冬,瓜蒌仁
贝母,麦冬,天门冬,知母
贝母,淡天冬,提麦冬,北沙参,南沙参,知母
竹茹,远志,菖蒲,白芍,泽泻,茯苓
半夏,天南星,白僵蚕,飞过枯矾
