栝楼,川椒,知母,桂心,泽泻,黑附子
巴戟,蛇床子,鹿茸,肉苁蓉,茴香,远志
牛膝,鸡血藤,肉苁蓉,女贞子,淫羊藿,骨碎补
川柏皮,苍术
萆薢,地龙,鹿茸,青盐,茴香,没药
牛膝,鹿角
牛膝,木瓜,肉苁蓉,鹿茸,五味子,杜仲
牛膝,菟丝子,磁石,鹿茸,五味子,沉香
鹿茸,黄耆,侧柏叶,地黄,黑附子,续断
牛膝,鹿茸,巴戟天,远志,杜仲,石斛
牛膝,破故纸,鹿茸,桂,地黄,苁蓉
菟丝子,蛇床子,巴戟,覆盆子,萆薢,鹿茸
牛膝,萆薢,杜仲,续断,故纸,木爪
菟丝子,晚蚕沙半,雄雀儿,天雄,远志,桂心
牛膝,菟丝子,蛇床子,覆盆子,萆薢,枸杞
破故纸,黑豆,骨碎补,青盐,白蒺藜,白蒺藜
牛膝,木鳖子,骨碎补,草乌,芍药,狗脊
牛膝,萆薢,木瓜,苍术,黄耆,薏仁
牛膝,巴戟,萆薢,木瓜,青盐,茴香
牛膝,肉苁蓉,川椒,巴戟天,青盐
威灵仙,独活,寄生,草乌,老鹳草,续断
牛膝,覆盆子,枸杞,锁阳,川椒,破故纸
威灵仙,五灵脂,茴香,草乌,川楝,防风
威灵仙,五灵脂,萆薢,茴香,草乌,川楝
牛膝,菟丝子,破故纸,金樱子,女贞子,地黄
牛膝,木瓜,没药,地黄,全蝎,黑附子
牛膝,菟丝子,枸杞,肉苁蓉,巴戟天,地黄
牛膝,虎骨,木瓜,苁蓉,黑附子,天麻
牛膝,萆薢,枸杞,虎胫骨,干茄根,蚕沙
牛膝,菟丝子,覆盆子,五味子,肉苁蓉,黄耆
牛膝,白术,五加皮,黑附子,续断,丹参
天仙藤,青蒿子,苍术,茴香,芍药,厚朴
菟丝子,白酒,覆盆子,五味子,枸妃子,车前子
蛇床子,覆盆子,川椒,地黄,菖蒲,远志
牛膝,菟丝子,白酒,破故纸,仙灵脾,巴戟天
白酒,仙灵脾
羊骨左右,细盐,生姜葱白,粳米
牛膝,菟丝子,蛇床子,巴戟,木鳖子,破故纸
牛膝,菟丝子,女贞子,杜仲,桑叶,生地
牛膝,菟丝子,覆盆子,枸杞,巴戟天,地黄
白酒,没石子,莲子蕊,地黄,地黄,五加皮
