款冬花,杏仁,远志,苏子,胡桃肉,茯神
贝母,杏仁,葶苈,苏子,陈皮,僵蚕
半夏,杏仁,款冬花,苏子,麻黄,黄芩
半夏,杏仁,款冬花,苏子,麻黄,黄芩
杏仁,陈皮,石膏,五味子,麻黄,甘草
贝母,半夏,莱菔,白芥子,杏仁,陈皮
天竺黄,银箔,生犀角,金箔,远志,真珠末
玄明粉,生硼砂,朱砂面,姜汁,煅金礞石,竹沥膏
半夏,陈皮,麦芽,广荗,川丁皮,茯苓
半夏,款冬花,枳实,麻黄,五味子,苦梗
半夏,天南星,藿香,薄荷,白矾,寒水石
半夏,天南星,藿香,薄荷,白矾,寒水石
半夏,杏仁,巴豆,马兜铃
贝母,杏仁,旋复花,陈皮,麦冬,石斛
天南星,真珠末,天麻,龙脑,丹参,犀角
天竺黄,天麻,龙脑,丹参,茯苓,丹砂
贝母,陈皮,菖蒲,丹参,麦门冬,当归
半夏,白檀香,姜黄,丁香,生姜,白术
半夏,紫团参,甘草,鳖甲,阿胶
贝母,半夏,杏仁,葶苈,紫苏,紫苏
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,昆布,白芥子,海藻,陈皮,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,甘草,苍术,厚朴
半夏,陈皮,茯苓,甘草,厚朴,苏梗
半夏,陈皮,香附,川芎,枳实,当归
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,百合,麦门冬
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,陈皮,僵蚕,川朴
天竺黄,百部,竹茹,瓜蒌仁,陈皮,天冬
贝母,麦冬,知母,天门冬
贝母,北沙参,淡天冬,提麦冬,南沙参,知母
竹茹,远志,牡蛎,菖蒲,白芍,泽泻
半夏,天南星,飞过枯矾,白僵蚕
半夏,陈皮,黑附子,白姜,甘草,草果子
贝母,桔梗,陈皮,花粉,元参,前胡
贝母,桔梗,陈皮,芍药,花粉,前胡
半夏,天麻,独活,茯苓,白芷,芎
贝母,半夏,玉竹,广皮,北沙参,天冬
半夏,陈皮,茯苓,甘草
山芋,远志,桔梗,陈皮,麦门冬,茯神
贝母,杏仁,桔梗,葶苈,陈皮,旋覆花
鱼腥草,白花蛇舌草,党参,黄芪,陈皮,铁树叶
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,石膏,白芍,麦冬
半夏,黑牵牛子,白矾,粉霜
贝母,半夏,玄明粉,桔梗,陈皮,香附
贝母,半夏,玄明粉,桔梗,陈皮,香附
半夏
半夏,檀香,陈皮,百药煎,沉香,薄荷
半夏,天南星,皂角,白矾,干姜
半夏,天南星,杏仁,紫苏,陈皮,皂角
半夏,天南星,莱菔,紫苏,瓜蒌仁,陈皮
竹茹,陈皮,缩砂,菖蒲,郁金,苍术
杏仁,百药煎,乌梅,黑矾,甘草
半夏,白矾,丁香,草豆蔻
半夏,陈皮,沉香,枳实,川芎,薄荷
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
蜈蚣,桔梗,僵蚕,知柏,钩藤,丹参
贝母,半夏,桔梗,远志,陈皮,五味子
半夏,竹茹,陈皮,石膏,枳实,麦门冬
天竺黄,钩藤,生川军,生石决明,牡蛎,枳实
贝母,桔梗,陈皮,片芩,枳实,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,牡蛎,生姜,白芍,桂枝
半夏,远志,五味子,白术,合桃肉,熟附块
桔梗,败酱草,栝蒌实,炮干姜,人参,细辛
杏仁,山芋,栝楼,甘草
半夏,昆布,海藻,陈皮,牡蛎,莪术
半夏,陈皮,龙涎香,伽楠香
贝母,香附,白芍,人参,郁金
半夏,陈皮,当归,白芍,白术,茯苓
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,党参,陈皮,紫河车,白术,茯苓
半夏,天南星,百药煎,明矾,乌梅肉,五味子
半夏,天南星,香墨,白附子,芎,杜仲
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,白矾,白术,黄芩
贝母,桔梗,诃子,川芎,薄荷,薄荷
贝母,天竺黄,半夏,胆南星,白芥子,桔梗
半夏,杏仁,海粉,栝楼,诃子,香附
款冬花,蛤蚧,成炼钟乳,白矾,肉桂,甘草
贝母,半夏,莱菔,白芥子,杏仁,桔梗
半夏,陈皮,藿香,茯苓,甘草,人参
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,丁香,生姜,茯苓
半夏,竹茹,陈广皮,碧玉散,青蒿脑4,青子芩4
桔梗,僵蚕,天麻,全蝎,川芎,麻黄
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,血竭,京墨
胆南星,朱砂,琥珀,钩藤,地龙,薄荷
贝母,半夏,石膏,天冬,百合,茯苓
天竺黄,天南星,檀香,朱砂,琥珀,枳实
天竺黄,天南星,檀香,金箔,粉草,枳实
天竺黄,天南星,朱砂,琥珀,僵蚕,丹参
天竺黄,天南星,檀香,朱砂,金箔,蜂蜜
贝母,天竺黄,胆南星,琥珀,僵蚕,全蝎
天竺黄,胆南星,琥珀,辰砂,沉香,月石
天竺黄,天南星,真麝香,辰砂,琥珀,钩藤
贝母,天竺黄,胆南星,朱砂,桔梗,钩藤
天南星,远志,人乳,菖蒲,茯神,大辰砂
贝母,天竺黄,青礞石,月石,羚羊角,麝香
贝母,青礞石,沉香,月石,羚羊角,天竹黄
远志,金箔,桔梗,辰砂,粉草,丹参
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,陈皮
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,香附,莪术,红花
透骨草,烧酒,马前子,老葱胡,川羌,三七
半夏,昆布,陈皮,川芎,白芍,当归
半夏,陈皮,川芎,当归,白芍,茯苓
贝母,桔梗,麦冬,白芍,当归,白术
天竺黄,朱砂,天麻,梅片,油松节,僵蚕
半夏,旋覆花,桂心,枳实,芍药,麦门冬
杏仁,葶苈,蛤蚧,商陆,麻黄,防己
白芥子,上肉桂,陈皮,白僵蚕,全丝瓜,莪术
天竺黄,天南星,桔梗,陈皮,天麻,僵蚕
半夏,丁香,生姜,甘草,厚朴,枣仁
杏仁,陈皮,紫苏,麻黄,茯苓,甘草
天南星,粉草,天麻,全蝎,川芎,荆芥
天南星,粉草,天麻,全蝎,川芎,荆芥
半夏,天南星,皂角,寒水石,白矾,白附子
天南星,陈皮,陈皮,蒌仁,清夏,沉香
贝母,半夏,昆布,海藻,海带,枳实
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,紫苏,陈皮,皂角
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,紫苏,瓜蒌仁,陈皮
半夏,杏仁,桔梗,葶苈,陈皮,旋覆花
半夏,桔梗,葶苈,紫苏,硼砂,陈皮
半夏,天南星,陈皮,辰砂,腻粉,皂
半夏,紫菀,杏仁,桔梗,葶苈,陈皮
贝母,紫菀,杏仁,款冬花,桔梗,葶苈
半夏,杏仁,款冬花,桔梗,葶苈,陈皮
檀香,紫苏,硼砂,柿霜,白葛粉,白冰糖
半夏,紫菀,杏仁,葶苈,桔梗,远志
天南星,真麝香,直僵蚕,明天麻,节白附,梅冰片
半夏,陈皮,京三棱,黑牵牛,槟榔,木香
天南星,朱砂,蝉壳,蜈蚣,僵蚕,全蝎
天竺黄,胆南星,朱砂,金箔,真麝香,片脑
半夏,天南星,金箔,天麻,龙脑,白矾
半夏,旋覆花,芍药,前胡,麻黄,荆芥
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,葶苈,桔梗,瓜蒌仁
半夏,天南星,皂角,白矾
白芥子,透骨草,僵蚕,片姜黄,鸡血藤膏,菖蒲
半夏,天麻,牡蛎,杭白菊,白芍,秦艽
海粉,桔梗,陈皮,瓜蒌仁,丹参,香附
天南星,陈皮,天麻,川芎,当归,白芷
天南星,远志,天麻,僵蚕,全蝎,菖蒲
贝母,半夏,杏仁,桔梗,紫苏,陈皮
贝母,杏仁,桔梗,紫苏,陈皮,石膏
贝母,半夏,杏仁,桔梗,紫苏,陈皮
贝母,紫菀,白芍,小蓟,甘草,桃仁
海藻,黄芪,党参,大青叶,板蓝根,丹参
贝母,陈皮,香附,薄荷,柴胡,麦门冬
贝母,桔梗,远志,广皮,柴胡,玄参
