柿霜饼,真辽人参,防风,麝香,僵蚕,石膏,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,三棱,莪术,甘草,茯苓,白术
白酒,赤芍,红花,天南星,羌活,樟脑,草乌
赤芍,蒲公英,红花,薄荷,蝉蜕,白蒺藜,酒军
蜈蚣,党参,白芍,当归,羌活,川芎,黄芪
鸡血藤,白酒,木瓜,五加皮,寄生,海风藤,络石藤
黄芪,当归,牛膝,防风
赤芍,大豆,防己,干地龙,牛膝,黄柏,秦艽
威灵仙,桂枝,元胡,桃仁,红花,防己,天南星
赤芍,红花,当归,川芎,牛膝,熟地,香附
桃仁,红花,丹参,没药,延胡索,乳香,连翘
五灵脂,丹参,三七,九香虫,延胡索,香附,木香
橘络,蒲公英,全瓜蒌,橘叶,丝瓜络,通草,郁金
木瓜,透骨草,红花,续断,当归,羌活,没药
鸡血藤,白芍,丹参,当归,牛膝,没药,延胡索
蝎梢,黄耆,天麻,藁本,当归,川芎,防风
天麻,当归,羌活,牛膝,萆薢,独活,地黄
赤芍,金铃子,丹参,砂仁,延胡索,炒九香虫,炙刺猬皮
地龙,鸡血藤,蜈蚣,赤芍,丹参,当归,牛膝
鸡血藤,乌梢蛇,防己,眼镜蛇,豨草,钻地风,闹羊花
乌梢蛇,酒
桃仁,赤芍,红花,丝瓜络,当归,川芎,牛膝
威灵仙,地龙,刘寄奴,丹参,川芎,紫草,琥珀
桃仁,生地,淡竹沥60毫升,生赤芍,丹皮,生姜汁2滴,犀角汁20毫升
桂枝,丹参,川芎,三七,山楂,黄芪,冰片
蚯蚓,天南星,川芎,当归,羌活,苍术,荆芥
桂枝,木瓜,赤芍,甲珠,没药,秦艽,乳香
九头狮子草,老君髯,二郎箭,白花草
晚蚕沙,赤小豆,防己,薏仁,山栀,杏仁,连翘
地龙,桂枝,五灵脂,赤芍,当归,川芎,续断
鸡血藤,党参,赤芍,当归,牛膝,没药,黄芪
鹿角霜,水蛭,锁阳,甲珠,片子姜黄,熟地,香附
党参,桃仁,阿胶,栀子,地鳖虫,玉米须,炮山甲粉
桂枝,益母草,丹参,川芎,五味子,生地,南沙参
川芎,当归,芍药,桔梗,枳壳,人参,甘草
夜交藤,白糖,粳米,枣仁
木瓜,白芍,当归,熟地,防风,阿胶,秦艽
地龙,天南星,天麻,羌活,川芎,没药,荆芥
赤芍,山楂,五味子,佛手,黄精,淮山,金樱子
5条,30克,30克,30克,30克,当归,于术
没药,当归,乳香,厚朴,陈皮,白术
桃仁,赤芍,红花,黄耆,山甲,皂刺
地龙,威灵仙,片姜黄,赤芍,寄生,三七,丹参
威灵仙,地龙,鸡血藤,蜈蚣,木瓜,伸筋草,桃仁
