半夏,款冬花,枳实,五味子,苦梗
半夏,天南星,薄荷,干姜,寒水石
半夏,天南星,蛤粉,薄荷,干姜
半夏,杏仁,马兜铃,巴豆
贝母,杏仁,旋复花,陈皮,麦冬
天南星,白附子,龙脑,真珠末,干蝎
天竺黄,龙脑,天麻,丹砂,铅白霜
真珠,瑇瑁,龙脑,犀角,麝香
贝母,陈皮,五味子,菖蒲,当归
半夏,白檀香,姜黄,丁香,白术
鹅梨,皂荚,威灵仙,天麻,薄荷
半夏,紫团参,鳖甲,阿胶,甘草
贝母,半夏,葶苈,杏仁,瓜蒌皮
半夏,羌活,广皮,茯苓,防风
杏仁,桔梗,麻黄
半夏,海藻,白芥子,昆布,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,广皮,茯苓
半夏,陈皮,厚朴,苏梗,茯苓
半夏,枳实,陈皮,当归,香附
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,罂粟壳
贝母,半夏,陈皮,知母,茯苓
贝母,麦门冬,天门冬,知母
半夏,天南星,川朴,僵蚕,桔梗
天竺黄,竹茹,百部,瓜蒌仁,陈皮
贝母,麦冬,天门冬,知母
贝母,北沙参,淡天冬,提麦冬,南沙参
竹茹,远志,泽泻,菖蒲,龙骨
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,陈皮,白姜,厚朴
贝母,桔梗,陈皮,元参,前胡
贝母,芍药,桔梗,陈皮,苍术
半夏,独活,天麻,芎,茯苓
杏仁,木香,防己
贝母,半夏,玉竹,北沙参,天冬
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
贝母,葶苈,杏仁,桔梗,陈皮
鱼腥草,铁树叶,白花蛇舌草,黄芪,党参
贝母,贝母,半夏,半夏,白芥子
贝母,竹茹,蒌仁,麦冬,饴糖
半夏,黑牵牛子,粉霜,白矾
片脑,白檀香末,白豆蔻末,芽茶
贝母,半夏,玄明粉,桔梗,陈皮
贝母,半夏,玄明粉,桔梗,陈皮
半夏
半夏,檀香,百药煎,陈皮,五味子
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,紫苏,陈皮
半夏,天南星,莱菔,瓜蒌仁,枳实
竹茹,陈皮,郁金,苍术,菖蒲
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,枳实,陈皮,丁香,五味子
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
蜈蚣,僵蚕,知柏,桔梗,生耆
贝母,半夏,远志,桔梗,陈皮
四季青,鼠曲草,平地木,干日红
半夏,竹茹,枳实,陈皮,石膏
天竺黄,枳实,生石决明,钩藤,生川军
贝母,枳实,桔梗,片芩,陈皮
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,杏仁,瓜蒌皮,桂枝,牡蛎
半夏,远志,五味子,白术,桂枝
栝蒌实,炮干姜,败酱草,桔梗,厚朴
薤白,白酒700毫升,栝楼
山芋,杏仁,栝楼,甘草
半夏,海藻,昆布,陈皮,夏枯草
半夏,陈皮,龙涎香,伽楠香
贝母,香附,郁金,白芍,人参
半夏,陈皮,当归,白术,白芍
海藻,鸡血藤,黄芪,黄精,丹参
半夏,党参,陈皮,白术,破故纸
半夏,天南星,百药煎,明矾,五味子
半夏,天南星,香墨,白附子,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,泽泻,白术
贝母,诃子,桔梗,薄荷,薄荷
贝母,天竺黄,半夏,胆南星,白芥子
半夏,海粉,杏仁,诃子,栝楼
蛤蚧,款冬花,成炼钟乳,肉桂,白矾
贝母,半夏,莱菔,白芥子,杏仁
远志,虎睛,犀角屑,栀子,大黄
半夏,陈皮,苍术,藿香,厚朴
半夏,陈皮,藿香,厚朴,甘草
半夏,陈皮,藿香,厚朴,甘草
半夏,陈皮,丁香,藿香,生姜
半夏,竹茹,碧玉散,陈广皮,青子芩4
僵蚕,桔梗,全蝎,天麻,苏木
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,京墨,血竭
胆南星,朱砂,制军,苏珠,地龙
贝母,半夏,天冬,石膏,百合
天竺黄,天南星,檀香,朱砂,枳实
天竺黄,天南星,檀香,金箔,枳实
天竺黄,天南星,僵蚕,朱砂,全蝎
天竺黄,天南星,檀香,蜂蜜,朱砂
贝母,天竺黄,胆南星,僵蚕,全蝎
天竺黄,胆南星,辰砂,腰黄,琥珀
天竺黄,天南星,僵蚕,钩藤,辰砂
贝母,天竺黄,胆南星,僵蚕,朱砂
天南星,远志,菖蒲,大辰砂,人乳
贝母,天竺黄,青礞石,伽楠香,月石
贝母,青礞石,天竹黄,沉香,月石
远志,金箔,麝香3厘,桔梗,辰砂
海粉,青黛,神曲,黄芩
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,红花
透骨草,马前子,烧酒,老葱胡,牛膝
半夏,昆布,陈皮,当归,青皮
半夏,陈皮,当归,地黄,白芍
贝母,桔梗,麦冬,枸杞,当归
天竺黄,僵蚕,朱砂,草蔻,地龙
蛤蚧,杏仁,葶苈,商陆,防己
槐实,皂荚,牵牛子,木香,菊花
黄酒,山慈菇,核桃肉
白芥子,上肉桂,全丝瓜,白僵蚕,陈皮
天竺黄,天南星,僵蚕,桔梗,柴胡
半夏,丁香,厚朴,生姜,枣仁
杏仁,紫苏,陈皮,桑白皮,茯苓
天南星,独活,粉草,全蝎,天麻
天南星,独活,粉草,全蝎,天麻
半夏,天南星,皂角,白附子,寒水石
天南星,陈皮,陈皮,蒌仁,元芩
五倍子
明矾,白僵蚕
贝母,半夏,昆布,海藻,海带
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,麦蘖,紫苏
半夏,天南星,明矾,白附子
半夏,天南星,皂角,生姜,白矾
半夏,天南星,巴豆,干姜,枯矾
半夏,天南星,杏仁,瓜蒌仁,紫苏
半夏,葶苈,杏仁,桔梗,陈皮
半夏,葶苈,桔梗,麦蘖,硼砂
半夏,天南星,陈皮,辰砂,皂
半夏,紫菀,葶苈,杏仁,桔梗
贝母,紫菀,款冬花,葶苈,杏仁
半夏,款冬花,葶苈,杏仁,桔梗
檀香,柿霜,硼砂,紫苏,白冰糖
半夏,紫菀,葶苈,杏仁,远志
天南星,乳香,代赭石,赤金箔,节白附
半夏,陈皮,京三棱,黑牵牛,青皮
天南星,蝉壳,蜈蚣,僵蚕,朱砂
天竺黄,胆南星,片脑,僵蚕,朱砂
半夏,天南星,金箔,龙脑,丁香
半夏,芍药,旋覆花,前胡,荆芥
半夏,陈皮,当归,熟地,茯苓
川甜消,干葛,大黄,甘草
贝母,半夏,天南星,葶苈,瓜蒌仁
半夏,天南星,皂角,白矾
白芥子,透骨草,芍药,僵蚕,鸡血藤膏
半夏,夏枯草,秦艽,葛根,杭白菊
海粉,桔梗,瓜蒌仁,陈皮,青黛
天南星,陈皮,当归,天麻,肉桂
天南星,远志,僵蚕,白附子,全蝎
贝母,半夏,杏仁,桔梗,紫苏
贝母,杏仁,桔梗,紫苏,陈皮
贝母,半夏,杏仁,桔梗,紫苏
贝母,紫菀,小蓟,白芍,桃仁
海藻,板蓝根,大青叶,黄芪,柴胡
贝母,柴胡,陈皮,薄荷,香附
贝母,远志,桔梗,柴胡,赤苓
贝母,半夏,紫菀,款冬花,远志
贝母,半夏,紫菀,款冬花,杏仁
贝母,半夏,紫菀,杏仁,马兜铃
贝母,杏仁,陈皮,五味子,净金灯
贝母,半夏,紫菀,款冬花,杏仁
贝母,半夏,紫菀,杏仁,瓜蒌皮
半夏,莱菔,陈皮,白术,神曲
半夏,枳实,陈皮,白术
半夏,桔梗,陈皮,黑山栀,黄芩
紫菀,鱼腥草,四季青,金荞麦,前胡
天竺黄,胆南星,僵蚕,朱砂,钩藤
杏仁,五味子,米仁,百合,麦门冬
半夏,天南星,白芥子,杏仁,瓜蒌仁
贝母,杏仁,桔梗,片芩,石膏
半夏,杏仁,1,栝楼,广皮红
半夏,杏仁,桔梗,陈皮,五味子
半夏,草果,青皮,生姜,广皮
半夏,桔梗,黄柏,黄芩,黄连
半夏,柴胡,桔梗,陈皮,当归
半夏,陈皮,粉草,香附,益智
半夏,党参,枳实,三七,白术
贝母,党参,五味子,麦冬,山药
紫菀,旋复花,桔梗,嫩苏梗,陈皮
半夏,陈皮,干姜,白术,五味子
半夏,竹茹,柴胡,桔梗,枳实
半夏,竹茹,枳实,陈皮,钩藤
杏仁,远志,琥珀粉,羚羊粉,佩兰
半夏,紫苏,陈皮,白术,北梗
远志,郁金,菖蒲,琥珀,茯苓
半夏,远志,紫苏,厚朴,茯神
半夏,天南星,益智仁,枳实,陈皮
半夏,紫苏,菖蒲,厚朴,木香
杏仁,生瓦楞,刀豆子,玫瑰花,藕节
半夏,海藻,党参,陈皮,夏枯草
半夏,桔梗,枳实,白术,香附
杏仁,款冬花,桔梗,麦冬,枇杷叶
半夏,海藻,昆布,白僵蚕,陈皮
半夏,竹茹,桔梗,陈皮,当归
半夏,茅术,陈皮,生姜,茯苓
玄明粉,柿霜,硼砂,白粉,薄荷
胆南星,蒌子,陈皮,苏叶子,羚羊
竹茹,焦三仙,干青果,陈皮
三仙饮,炙桑白皮
焦三仙,陈皮
胆南星,僵蚕,黑附子,钩蘑,苏合油3毫升
贝母,海藻,漏芦,柴胡,元参
半夏,干姜,桂枝,黄芩,白芍
半夏,天南星,桔梗,枳实,栝楼
贝母,半夏,柴胡,陈皮,白术
贝母,半夏,天南星,芍药,枳实
百部,穿心莲,玉竹,葎草,黄精
倭硫,朱砂
半夏,半夏,桔梗,紫苏,陈皮
杏仁,陈皮,桂枝,薄荷,苏叶
杏仁,葶苈,天冬,百合,石膏
半夏,醋2500毫升
钟乳粉,款冬花,川姜,白术,甘草
杏仁,款冬花,麻黄,甘草
生芍,川朴,榔片,灵脂,陈皮
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛
半夏,京三棱,大腹子,青皮,木香
生龙脑,生犀角,朱砂,石膏,麦门冬
生龙脑,生犀角,朱砂,石膏,麦门冬
鸡苏叶,桔梗,龙脑,紫苏,黍粘子
半夏,天南星,草龙脑,白矾
半夏,白术,附片,牡蛎,龙骨
白芥子,杏仁,紫苏,瓜蒌皮,蛤壳
白芥子,杏仁,紫苏,瓜蒌皮,蛤壳
白芥子,杏仁,紫苏,蛤壳,青黛
万年干,青礞石,硼砂,石膏
淡条芩,上广皮,京元参,细川连,桔梗
紫菀,杏仁,款冬花,桔梗,紫苏
新鲜萝卜约,粳米
新鲜白萝卜
贝母,莱菔,冰糖,白糖,豆腐皮
莱菔,粳米
莱菔
