荸荠,白萝卜,雪梨,生地,生藕,白茅根,麦冬
胆南星,独活,淡全蝎,芥穗,薄荷,天麻,羌活
半夏,胆南星,独活,党参,全蝎,橘络,黄芩
贝母,天竺黄,天南星,犀角,羚羊角,羌活,僵蚕
贝母,半夏,连翘,胆南星,黄芩,焦三仙,僵蚕
贝母,黄连,胆南星,梅片,蝉蜕,僵蚕,朱砂
天南星,蝉退,僵蚕,辰砂,全蝎,琥珀,天麻
半夏,天南星,生姜,皂角,白矾
贝母,地黄,地黄,地骨皮,五味子,琥珀,薏仁
半夏,豆,杏仁
半夏,独活,干蝎,甘菊,川芎,防风
半夏,槟榔,京三棱,大黄,黑牵牛,陈皮,青皮
半夏,天南星,黑牵牛,猪牙皂角,白矾
天南星,木香
半夏,天南星,干姜
贝母,桑白皮,阿胶,百部,紫菀,瓜蒌皮,柿霜
半夏,干姜,蝎尾,胡椒
半夏,黄连,僵蚕,桔梗,蝉蜕,活蝎子,大黄
杏仁,远志,代赭石,款冬花,人参,苏子,仙灵脾
贝母,黛蛤散,葶苈,射干,杏仁,僵蚕,旋覆花
半夏,黄芩,款冬花,杏仁,白果,苏子,桑白皮
半夏,黄芩,款冬花,杏仁,白果,苏子,桑白皮
杏仁,砂仁,陈皮,五味子,石膏,麻黄,甘草
贝母,半夏,白桑白皮2,莱菔,豆豉,白芥子,南沙参
天竺黄,桂,生犀角,金箔,蛇蜕皮,远志,银箔
玄明粉,姜汁,郁金,生硼砂,煅金礞石,竹沥膏,朱砂面
朱砂,薄荷,天麻,白芷,细辛,川芎,防风
半夏,荜澄茄,麦芽,川丁皮,广荗,陈皮,厚朴
半夏,苦梗,款冬花,五味子,枳实,阿胶,桑白皮
半夏,天南星,干姜,薄荷,藿香,白蛤粉,寒水石
半夏,天南星,干姜,蛤粉,薄荷,藿香,寒水石
半夏,巴豆,杏仁,马兜铃
贝母,白蒺藜,白蒺藜,旋复花,杏仁,陈皮,石斛
天南星,干蝎,龙脑,真珠末,犀角,天麻,白附子
天竺黄,丹砂,人参,铅白霜,龙脑,丹参,茯苓
瑇瑁,真珠,龙脑,犀角,阿胶,丹砂,麝香
贝母,黄连,当归,五味子,陈皮,菖蒲,白术
半夏,白术,丁香,生姜,白檀香,姜黄,人参
鹅梨,皂荚,薄荷,威灵仙,白蒺藜,天麻,甘草
半夏,鳖甲,紫团参,甘草,阿胶
贝母,半夏,黄芩,桑白皮,葶苈,瓜蒌皮,杏仁
半夏,羌活,茯苓,防风,广皮,甘草
杏仁,桔梗,麻黄
半夏,白芥子,海藻,昆布,茯苓,胆草,陈皮
半夏,茯苓,陈皮,甘草
半夏,茯苓,陈皮,甘草
半夏,苍术,厚朴,茯苓,广皮,甘草
半夏,茯苓,陈皮,厚朴,苏梗,甘草
半夏,滑石,当归,陈皮,枳实,香附,茯苓
半夏,茯苓,陈皮,甘草
贝母,知母,石膏
贝母,玄参,罂粟壳,款冬花,紫菀,杏仁,麦门冬
贝母,半夏,茯苓,陈皮,知母,甘草
贝母,天门冬,麦门冬,知母
半夏,天南星,玄参,沙参,川朴,僵蚕,桔梗
天竺黄,竹茹,瓜蒌仁,百部,陈皮,麦冬,天冬
贝母,天门冬,麦冬,知母
贝母,淡天冬,提麦冬,北沙参,南沙参,知母
竹茹,远志,泽泻,龙骨,菖蒲,白芍,丹皮
半夏,天南星,飞过枯矾,白僵蚕
半夏,黑附子,陈皮,白姜,厚朴,草果子,甘草
贝母,黄芩,桔梗,陈皮,元参,花粉,前胡
贝母,芍药,桔梗,陈皮,花粉,前胡,玄参
半夏,独活,天麻,芎,茯苓,白芷,人参
杏仁,防己,木香
贝母,半夏,黄连,玉竹,北沙参,麦冬,天冬
白皮大萝卜,蜂蜜
半夏,茯苓,陈皮,甘草
山芋,芍药,远志,桔梗,陈皮,五味子,白术
贝母,金银花,葶苈,杏仁,桔梗,陈皮,薏仁
鱼腥草,党参,白术,铁树叶,白花蛇舌草,黄芪,猪苓
贝母,贝母,半夏,半夏,浮海石,白芥子,梨膏
贝母,丹皮,竹茹,饴糖,郁金,麦冬,黄芩
半夏,粉霜,黑牵牛子,白矾
片脑,白檀香末,白豆蔻末,芽茶
贝母,半夏,黄芩,白术,桔梗,玄明粉,枳壳
贝母,半夏,黄芩,白术,桔梗,玄明粉,枳壳
半夏
半夏,檀香,人参,百药煎,白硼砂,细茶,沉香
半夏,天南星,干姜,皂角,白矾
半夏,天南星,干姜,杏仁,葛根,紫苏,皂角
半夏,天南星,莱菔,黄连,瓜蒌仁,紫苏,陈皮
竹茹,苍术,菖蒲,陈皮,郁金,缩砂,厚朴
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,砂仁,木香,枳壳,五味子,陈皮
半夏,硝石,明矾
贝母,白酒,海藻,黄药子
鱼腥草,百部,穿心莲,开金锁,生干蟾
僵蚕,蜈蚣,桔梗,知柏,当归,菊花,生耆
贝母,半夏,麻黄浸膏,远志,桔梗,五味子,陈皮
四季青,鼠曲草,干日红,平地木
半夏,竹茹,人参,麦门冬,龙眼肉,陈皮,枳实
天竺黄,丹皮,槐花,生川军,枳实,生石决明,黄芩
贝母,当归,瓜蒌,桔梗,片芩,陈皮,枳实
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,龙骨,杏仁,瓜蒌皮,桂枝,白芍,黄连
半夏,熟地,远志,五味子,桂枝,破故纸,云苓
炮干姜,栝蒌实,桔梗,败酱草,人参,细辛,厚朴
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,玄参,陈皮,夏枯草,莪术
半夏,龙涎香,陈皮,伽楠香
贝母,人参,郁金,白芍,香附
半夏,当归,陈皮,白术,白芍,茯苓,人参
海藻,鸡血藤,黄芪,丹参,黄精,玄参
半夏,黄耆,党参,陈皮,破故纸,白术,紫河车
半夏,天南星,猪牙皂角,百药煎,明矾,乌梅肉,池矾
半夏,天南星,杜仲,香墨,续断,白附子,芎
贝母,半夏,皂荚,杏仁,知母
半夏,天南星,泽泻,陈皮,白术,黄芩,黄芩
贝母,蝉蜕,大黄,桔梗,连翘,薄荷,薄荷
贝母,天竺黄,半夏,大黄,槟榔,胆南星,浮海石
半夏,海粉,诃子,杏仁,青黛,栝楼,香附
蛤蚧,成炼钟乳,款冬花,肉桂,白矾,甘草
贝母,云苓,半夏,莱菔,白芥子,扁豆,党参
远志,虎睛,大黄,犀角屑,栀子
半夏,藿香,苍术,陈皮,厚朴,茯苓,人参
半夏,藿香,陈皮,厚朴,甘草
半夏,藿香,陈皮,厚朴,甘草
半夏,藿香,丁香,陈皮,生姜,茯苓
半夏,竹茹,青子芩4,青蒿脑4,碧玉散,陈广皮,枳壳
僵蚕,桔梗,苏木,全蝎,天麻,麻黄,川芎
半夏,雄黄,朱砂,白矾
天南星,海藻,海带,五灵脂,京墨,琥珀,血竭
胆南星,朱砂,地龙,雄黄,琥珀,犀角,苏珠
贝母,半夏,京知母,血琥珀,天冬,茯苓,百合
天竺黄,天南星,檀香,枳壳,山药,朱砂,红参
天竺黄,天南星,檀香,人参,枳壳,山药,金箔
天竺黄,天南星,赤苓,僵蚕,朱砂,全蝎,琥珀
天竺黄,天南星,黄蜡,檀香,人参,金箔,蜂蜜
贝母,天竺黄,飞朱砂,胆南星,飞腰黄,茯苓,僵蚕
天竺黄,胆南星,枳壳,山药,沉香,腰黄,辰砂
天竺黄,天南星,雄黄,人参,僵蚕,辰砂,茯苓
贝母,天竺黄,蝉退,胆南星,僵蚕,人参,雄黄
天南星,远志,菖蒲,人参,茯神,大辰砂,人乳
贝母,天竺黄,羚羊角,枣仁,青礞石,伽楠香,麝香
贝母,沉香,天竹黄,青礞石,羚羊角,枣仁,麝香
远志,金箔,桔梗,黄耆,麝香3厘,辰砂,粉草
海粉,青黛,黄芩,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,独活,海藻,昆布,海带,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,红花,莪术,香附,桃仁
透骨草,老葱胡,烧酒,牛膝,马前子,川羌,三七
半夏,昆布,丹皮,熟地,当归,陈皮,红花
半夏,地黄,陈皮,当归,白芍,茯苓,甘草
贝母,丹皮,当归,桔梗,麦冬,黄芩,山栀
天竺黄,牛膝,杜仲,梅片,僵蚕,草蔻,黄连
半夏,桂心,芍药,枳实,旋覆花,白术,防己
杏仁,葶苈,蛤蚧,防己,商陆,茯苓,桑白皮
黄酒,山慈菇,核桃肉
白芥子,干姜,上肉桂,白僵蚕,全丝瓜,陈皮,熟地
天竺黄,天南星,滑石,葛根,黄连,僵蚕,柴胡
半夏,生姜,丁香,厚朴,枣仁,甘草
杏仁,紫苏,陈皮,桑白皮,茯苓,麻黄,甘草
天南星,独活,粉草,全蝎,天麻,羌活,荆芥
