白术,党参,地骨皮,砂仁,薄荷,白芍
白术,党参,黄芩,砂仁,黄连,当归
蓍草,七叶一枝花,木香,枯矾,高良姜,肉桂
党参,麦芽,黄耆,胎盘粉,陈皮
黄芪,红参,扶芳藤
山药,扁豆,白术,赤芍,猪苓,泽泻
山药,扁豆,白术,猪苓,泽泻,苍术
党参,太子参,车前子,猪苓,泽泻,茯苓
佛手柑
白术,当归,谷芽,枳壳,木香,青皮
神曲,砂仁,鸡肫皮,山楂,莲肉,锅焦
神曲,人参,麦芽,枳壳,青皮,缩砂
白术,神曲,人参,木香,砂仁,猪苓
白术,神曲,人参,木香,猪苓,泽泻
山药,细辛,防风,甘草,生地,菊花
苍术,枳壳,佩兰,木香,厚朴,茵陈
真芦荟,芜荑,厚朴,甘草,陈皮,百草霜
白术,甘草,砂仁,草豆蔻,诃子,高良姜
白术,党参,当归,车前子,丹参,猪苓
白术,甘草,人参,炒干姜,黑附子,肉桂
白术,党参,甘草,干姜,附片,肉桂
苍术,肉豆蔻,甘草,桂心,厚朴,阿魏
白术,泽泻,半夏,红皮,干生姜,拣桂
白术,甘草,人参,干姜,缩砂仁,桂枝
白术,当归,甘草,生地,苍术,黄芪
白术,党参,当归,甘草,木香,黄芪
白术,甘草,人参,木香,黄耆,茯神
白术,当归,甘草,人参,木香,远志
白术,党参,当归,甘草,木香,远志
山药,白术,当归,甘草,人参,黄耆
白术,神曲,黄连,甘草,连翘,槟榔
白术,甘草,白芷,何首乌,白芍,岗稔根
白术,甘草,柴胡,白芍,熟地,茯苓
红糖,大蒜,黑豆
马料豆,白蒺藜
苍术,地黄,夏,川姜冬,春
炒白芥子,黑丑,甘草,陈皮,木香,茯苓
芫荽,黄豆
赤小豆,黄芪,薏仁,糯米,金橘饼
生姜皮,冬瓜皮,黄芪,茯苓皮,白糖,枣仁
赤小豆,黄耆,昆布
白术,地黄,黄芩,甘草,灶中黄土,阿胶
白术,地黄,黄芩,甘草,灶中黄土,阿胶
马钱子,穿山甲,黑附子
麦芽,厚朴,甘草,陈皮,木香,藿香
薏仁,白蔻,厚朴,杏仁,藿香,半夏
冬瓜皮,葫芦壳,西瓜皮,枣仁
粳米,新鲜胡萝卜
玉米渣,胡萝卜
山药,扁豆,白术,芍药,人参,甘草
粳米,白糖,新鲜红薯
山药,甘草,砂仁,人参,木香,远志
神曲,黄芩,海粉,青黛
山药,车前子,丹参,茯苓皮,黄芪,泽泻
白术,神曲,当归,甘草,人参,巴戟天
白于术,槐角米
板蓝根,猪胆粉,绿豆,柴胡,五味子,茵陈
白术,黄芩,地黄,地黄,防风,芍药
神曲,甘草,郁金,片姜黄,全瓜蒌
白术,芍药,甘草,草果仁,陈皮,粟壳
干生姜,甘草,木瓜,陈皮,人参
扁豆,神曲,神曲,黄连,生地,甘草
神曲,白矾,青皮,天南星,杏仁,干葛
神曲,甘草,麦芽,枳壳,青皮,厚朴
白术,神曲,甘草,枳壳,桔梗,连翘
粳米,食盐,鲜韭菜
山药,白术,麝香,甘草,雄黄,青皮
白术,神曲,防风,当归,大黄,甘草
砂仁,川芎,木香,青皮,槟榔,莲肉
白术,神曲,人参,木香,槟榔,藿香
白术,当归,栀子,砂仁,人参,枳壳
白术,黄连,玄参,薏仁,柞木枝,茯苓
山药,白术,黄连,黄柏,木香,苍术
白术,泽泻,茯苓
白术,黄芩,黄连,当归,甘草,栀子
白术,黄芩,甘草,槟榔,柴胡,陈皮
山药,白术,甘草,青皮,神曲,党参
白术,当归,甘草,地骨皮,贝母,知母
山药,白术,肉桂,茯苓,茵陈,薏仁
诃子,草豆蔻,肉豆蔻,木香,石灰华,翼首草
诃子,草豆蔻,肉豆蔻,木香,石灰华,翼首草
巴戟,盐花,丹参,白蒺藜,黑附子,川椒
神曲,甘草,诃子,木香,干姜,缩砂仁
汉椒,青盐,厚朴,茴香
扁豆,防风,苍术,车前,滑石,猪苓
白术,神曲,人参,木香,干姜,厚朴
韭菜,牛奶,生姜
