连翘,茵陈,贝母,大黄,木通
粳米,陈葫芦粉
冬瓜皮,葫芦壳,西瓜皮,枣仁
橘核,乳香,昆布,荔枝核,穿山甲
金银花,木瓜,茯苓,薏仁,红花
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,蜈蚣
赤芍,红花,白及,防风,当归
冰片,枯矾,硼砂,滑石,鸡内金
冰片,枯矾面,棉胭脂
冰片,西瓜霜,元明粉,月石,石膏
血竭,海藻,琥珀,五灵脂,天南星
白芷,郁金,大黄,天南星
油,木鳖子,黄丹,桂心,白芷
儿茶,梅片,血琥珀,珍珠,熊胆
没药,乳香,黑丑,琥珀,槟榔
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,雄黄,菖蒲,蜈蚣
冰片,香油,没药,血竭,乳香
冰片,三七,乳香,自然铜,土鳖虫
乳香,三七,自然铜,土鳖虫,当归
冰片,没药,血竭,儿茶,乳香
胶布固定,用纱布蘸透此液,活蚯蚓数条,外盖纱布,贴敷患处
车前子,茯苓皮,泽兰,炮甲,金钱草
金银花,没药,连翘,乳香,穿山甲
姜黄,花粉,白芷,芍药
赤芍,花粉,白芷,郁金
槐角,地榆,防风,当归,黄芩
没药,乳香,苏木,忍冬,栝楼
五倍子
冰片,西瓜霜,人指甲,雄黄,玄明粉
没药,乳香,赤芍,贝母,花粉
葶苈,红芽大戟,三棱,甘遂,芫花
葶苈,大戟,三棱,甘遂,牙皂
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
枯矾,五倍子,桃仁,雄黄,蛇床子
鸡蛋
鲫鱼,冬瓜
野菊花,贝母,白茅根,薄荷
蒲公英,厚朴,红藤,大黄
淮地,薄荷,川乌
冰片,硼砂,硇砂,火消,雄黄
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,全蝎,山甲,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,黄连,大黄,郁金,麝香
金刚莲,三七,马钱子霜,接骨木,红花
金刚莲,三七,马钱子霜,18厘米,见血清
冰片,牙皂,枪消,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,大青叶,青黛,人中黄
冰片,松香,连翘,薄荷,白芷
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,薄荷
银花,赤芍,连翘,白芷,薏仁
蒲公英,金银花,赤芍,赤小豆,川军
白菊花
花椒,陈酒糟,广胶,生葱,艾叶
香油,章丹
金银花,连翘,丹皮,山栀,黄连
车前子,茱萸,肉桂,黑附子,地黄
橘核,川军,干姜,玄胡,乌药
血竭,没药,乳香,自然铜,土鳖虫
花椒,黄丹,槐枝,大蒜头,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,羊胫骨灰,茯苓
小黄米面,皂角末,发灰
冰片,没药,乳香,黄柏,朴消
鸡内金,薄荷,升麻,黄连,栀子
葱,乳香,没药,木鳖子,清油
乌药,穿山甲,茯苓,红花,川芎
蒲公英,赤芍,元参,瓜蒌,薄荷
车前子,官桂,茱萸,黑附子,牛膝
西瓜霜,珠粉,西黄,琥珀
地肤子,白果,白茅根,桑白皮,阿胶
昆布,海藻,木通,白僵蚕,黄连
没药,乳香,紫苏,薄荷,黄柏
黄柏,薄荷,苏叶,防风,杏仁
没药,乳香,薄荷,黄柏,苏叶
冰片,月石,贝母,滑石,龙骨
没药,乳香,马钱子粉,麻黄
没药,乳香,自然铜,土鳖虫,麻黄
醋2500毫升,半夏
大独活,西秦艽,广地龙,骨碎补,狗脊
或,9克,9克,3克,厚朴
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,青黛,麝香
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,蛇蜕皮,乱发,杏仁
冰片,硼砂,没药,血竭,儿茶
银花,红藤,丹皮,桃仁,炙山甲
蒲公英,金银花,连翘,贝母,红藤
银花,赤芍,连翘,薄荷,白芷
金银花,赤芍,连翘,白芷,薄荷
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,人参,贝母,桑白皮,紫菀
蟾酥,乳香,朱砂,硇砂,雄黄
蟾酥,血竭,没药,朱砂,金脚信
血竭,蟾酥,胆矾,朱砂,京墨
血竭,蟾酥,胆矾,朱砂,京墨
昆布,贝母,天葵子,海石,牡蛎
赤芍,炒桃仁,刘寄奴,大黄,生地
没药,乳香,木鳖子,白僵蚕,黄丹
葱,赤芍,紫苏,玄胡,黄柏
冬瓜皮,车前子,官桂,急性子,蝼蛄虫
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂
冰片,蟾酥,雄黄,珍珠,丁香
芙蓉叶,天南星,野芋头,草乌,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,蜀漆,栝楼
冰片,葶苈,硼砂,蟾酥,没药
生姜皮,车前子,川萆解,三棱,砂仁
蒲公英,粳米
紫草茸,白芷,地黄,川芎,藿香
银花,赤芍,连翘,薄荷,牛蒡
金银花,青果,北豆根,麦冬,桔梗
地肤子,紫苏,葫芦巴,茴香,猪苓
冰片,白糖,大蚯蚓
