丹参,赤芍,莲子心,川芎,薄荷,甘草,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,当归,栀子,桔梗,黄连,木香
白酒,羌活,鲜仙人掌,杏仁
乳香,黄柏,黄连,黄芩,地龙,大黄
椒目,艾曲,细辛,干姜,桂,黑附子
油,葱,苎麻根,盐,活鲤鱼,糯米,姜
香油,白蜡,冰片面,当归,黄柏,铜绿面,青黛面
没药,葶苈,大戟,槟榔,芍药,乳香,甘遂
辅料,白花败酱草,丛枝蓼
青粱米,车前子
粳米,车前子
葱,赤小豆,陈皮,辣椒,活鲤鱼1尾,鸡汤,姜
大腹子,人参,紫苏,桑白皮,五味子,陈皮,甘草
没药,枯矾,蟾酥,血竭,铜绿,硼砂,灯草灰
没药,枯矾,蟾酥,蜗牛,铜绿,寒水石,乳香
花椒,铜绿,当归,青盐,李仁,蕤仁,菊花
粳米,白糖,茶叶
冰片,甘草,没药,川军,白芷,赤芍,乳香
葶苈,紫苏,茯苓,琥珀,郁李仁,防己,沉香
续随子,黑牵牛,甘遂,槟榔,全蝎,白牵牛,丁香
板蓝根,连翘,葛根,贝母,白花蛇舌草,荆芥,射干
白胶香,蓖麻子仁
橘核,甘草,酒炒破故纸,煨三棱,煨莪术,青盐,荔枝核
冰片,陈皮,枯矾,龙衣,麝香5厘,胭脂
西丹参,西瓜霜,西月石,濂珠,老式大泥冰,飞青黛
大梅片,瓜制枪消,真熊胆,枣仁,关犀黄,珍珠
西月石,玄明粉,炒僵蚕,梅冰,飞辰砂
冰片,皮硝,硼砂,青黛,明矾丹参,山豆根
硼砂,青鱼胆,人中白,人指甲,丹参,琥珀,贝母
大梅片,瓜制枪消,真熊胆,明硼砂,直僵蚕,白玄明粉,明雄精
紫荆皮,白芷,赤豆,独活,菖蒲
川紫荆皮,木蜡,白芷,芍药,独活
液状石腊,辛夷,白芷,麻油,冰片粉,薄荷,苍耳子
蒲公英,土鳖虫,甘草,三七,赤芍,透骨草,薄荷
没药,五倍子,当归,自然铜,赤芍,乳香,苏木
乳香,甘草,北细辛,苍术
鲜败酱草
蓖麻子
