山药,糯米,胡椒末,白糖
山药,白术,益智,茯苓,熟地
白术,紫苏,冬葵子,人参,大腹皮
白术,续断,杜仲,条芩,地黄
神曲,香附,三棱,青皮,麦曲
白术,干葛,茯苓,甘草
苍术,藿香,厚朴,半夏,陈皮
砂仁,肉豆蔻,丁香,全蝎,术香
扁豆,归身,枸杞,何首乌,芡实
巴戟,韭子,楮实子,锁阳,鹿茄茸
山药,杜仲,枸杞,山萸,熟地
赤小豆,葱,胡椒,草果,鸡汤
白术,地黄,黄芩,芍药,当归
赤小豆
白术,草豆蔻,甘草,陈皮,人参
苍术,川芎,白芷,芍药,枳壳
苍术,地榆
苍术,芍药,茴香,川椒,破故纸
苍术,茯芩
苍术,茯苓
苍术
精羊肉,肉苁蓉,粳米2茎,生姜
精羊肉,肉苁蓉
白术,党参,肉桂,禹余粮,甘草
山药,扁豆,厚朴,茯苓,党参
白术,五味子,生姜,茯苓,甘草
使君子
山药,神曲,苍术,萝卜子,三棱
仙灵脾,葫芦巴,韭子,蛇床子,麝香
白术,泽泻,黄芩,茯苓,柴胡
白术,茯苓,白豆蔻,石斛,甘草
山楂,薏仁,淡竹叶,知母,柴胡
白术,茱萸,大黄,蓬莪术,乌药
大麦芽,陈曲,钟乳,桂心,人参
肉豆蔻,斑猫,川苦楝子,延胡素,荆三棱
山药,白术,白芍,五味子,杜仲
山药,白术,白芍,木香,莲肉
白术,续断,白芍,茯苓,乌贼骨
党参,杜仲,寄生,白芍,熟地
白术,党参,续断,杜仲,枸杞
白术,枸杞,茯苓,人参,陈皮
白术,枸杞,茯苓,人参,陈皮
山药,白术,茴香,白豆蔻,肉苁蓉
大黑豆,青盐,何首乌,甘草,茯苓
山药,白术,神曲,党参,木香
白术,党参,茯苓,桔梗,当归
白术,木瓜,紫苏,苍术,白芍
山药,神曲,茯苓,陈皮,苍术
小白菜,苡米
山药,白术,茯苓,白豆蔻,薏仁
干柿不拘多少
上好片术
白术,绵白糖
白术,生姜,槟榔
白术,茯苓,荆芥,甘草,橘络
白术,茯苓,甘草,人参
白术,川椒,芎藭,牡蛎
白术,茯苓,木香,甘草,人参
白术,生姜,茯苓,陈皮,大腹皮
白术,厚朴,人参,干姜
扁豆,粳米
扁豆,粳米,人参
白术,归尾,砂仁,川芎,苍术
苍术,广皮,茯苓,厚朴,半夏
草豆蔻,红豆蔻,黑附子,陈皮,陈皮
白术,远志,枳实,防风,宿姜
白术,天麻,半夏
白术,贝母,茯苓,人参,白附子
山药,扁豆,茯苓,莲肉,薏仁
山药,扁豆,茯苓,党参,莲心
山药,扁豆,茯苓,生米仁,建莲
山药,扁豆,茯苓,粳米,米仁
山药,扁豆,莲肉,薏仁,芡实
山药,扁豆,白术,茯苓,莲肉
玫瑰花,韭子,杜仲,破故纸,胡桃仁
白术,神曲,萝卜子,枳实,黄芩
肉豆蔻,1两半,1两半,7钱半,川白姜
白盐,削术,椒子,甘草
红糖,肉豆蔻,生姜,面粉
白术,草豆蔻,丁香,茯苓,白豆蔻
白术,枳实,厚朴,茯苓,木香
白术,神曲,白芍,砂仁,厚朴
蜂王浆
橘子,盐,甘草,生姜
山药,五味子,芡实,人参,麦冬
白术,泽泻,川芎,茯苓,芍药
白术,泽泻,茯苓,芍药,当归
白术,黄芩,芍药,当归,芎藭
白术,茯苓,木香,陈皮,桑白皮
苍术,厚朴,甘草,陈皮
苍术,厚朴,桑白皮,甘草,陈皮
苍术,厚朴,甘草,陈皮
羊肉1脚子,良姜,草果
白术,川芎,糯米,芍药,茯苓
白术,茱萸,远志,茯神,地黄
白术,枳实,豆蔻,茯苓,当归
白术,神曲,肉桂,胡椒,厚朴
山药,扁豆,白术,茯苓,神曲
白术,枳实,茯苓,白豆蔻,青皮
白术,枳实,茯苓,广青皮,人参
扁豆,赤苓皮,干姜皮,白鲜皮,槿皮
扁豆,茯苓,干姜皮,槿皮,冬瓜皮
白术,防风,狗脊,甘草,羌活
粳米,冬麻子,薏仁
党参,熟地,生地,黄耆,紫河车
白术,麦门冬
党参,于潜术,绵黄耆,桂园肉
白术,生姜,栀子,白芍,茯苓
山药,白术,党参,茯苓,何首乌
白术,薏仁,牛膝,金银花,苍术
白术,神曲,茱萸,厚朴,苍术
酒白芍,旱莲草,人参,当归,麦门冬
凤尾草,匾蓄,飞廉草,茯苓,熟地
白术,党参,甘草,黑附子,干姜
柿饼,栗子,胡桃,枣仁
白术,防风,麻黄,苍术
白术,甘草,黄耆,防己
茯苓细粉,米粉,白糖等份
粳米,车前子,白糖,茯苓粉
