瑇瑁,真珠,龙脑,犀角,麝香
贝母,当归,五味子,陈皮,白术
半夏,丁香,白术,白檀香,姜黄
半夏,鳖甲,紫团参,阿胶,甘草
贝母,半夏,葶苈,杏仁,青礞石
半夏,羌活,茯苓,广皮,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,茯苓,广皮
半夏,陈皮,厚朴,茯苓,苏梗
半夏,当归,枳实,陈皮,香附
半夏,陈皮,茯苓,甘草
贝母,知母,石膏
贝母,紫菀,杏仁,款冬花,罂粟壳
贝母,半夏,陈皮,知母,茯苓
贝母,知母,麦门冬,天门冬
半夏,天南星,川朴,僵蚕,桔梗
天竺黄,竹茹,百部,陈皮,天冬
贝母,麦冬,知母,天门冬
贝母,北沙参,淡天冬,提麦冬,南沙参
竹茹,远志,泽泻,菖蒲,龙骨
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,陈皮,白姜,厚朴
贝母,桔梗,陈皮,花粉,元参
贝母,芍药,桔梗,陈皮,花粉
半夏,独活,天麻,芎,茯苓
杏仁,防己,木香
贝母,半夏,玉竹,北沙参,天冬
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
山芋,远志,芍药,桔梗,陈皮
贝母,葶苈,杏仁,桔梗,旋覆花
鱼腥草,党参,黄芪,铁树叶,白花蛇舌草
贝母,贝母,半夏,半夏,白芥子
贝母,竹茹,郁金,蒌仁,菊花炭
半夏,黑牵牛子,粉霜,白矾
片脑,芽茶,白豆蔻末,白檀香末
贝母,半夏,玄明粉,桔梗,陈皮
贝母,半夏,玄明粉,桔梗,陈皮
半夏
半夏,檀香,百药煎,陈皮,五味子
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,紫苏,皂角
半夏,天南星,莱菔,紫苏,枳实
竹茹,陈皮,郁金,缩砂,菖蒲
百药煎,杏仁,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,枳实,陈皮,五味子
半夏,明矾,硝石
贝母,海藻,黄药子,白酒
鱼腥草,百部,穿心莲,开金锁,生干蟾
蜈蚣,僵蚕,知柏,桔梗,全蝎
贝母,半夏,远志,桔梗,五味子
四季青,鼠曲草,平地木,干日红
半夏,竹茹,枳实,陈皮,龙眼肉
天竺黄,枳实,生石决明,生川军,牡蛎
贝母,桔梗,枳实,当归,陈皮
杏仁,瓜蒌仁,黄连
萝卜,橄榄
半夏,杏仁,桂枝,瓜蒌皮,龙骨
半夏,远志,桂枝,五味子,破故纸
败酱草,栝蒌实,炮干姜,桔梗,厚朴
薤白,白酒700毫升,栝楼
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,陈皮,夏枯草
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,白芍,人参
半夏,当归,陈皮,白术,白芍
海藻,鸡血藤,黄芪,黄精,丹参
半夏,党参,陈皮,破故纸,白术
半夏,天南星,百药煎,明矾,五味子
半夏,天南星,香墨,续断,白附子
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,泽泻,陈皮,白术
贝母,桔梗,胖大海,诃子,蝉蜕
贝母,天竺黄,半夏,胆南星,白芥子
半夏,海粉,杏仁,栝楼,青黛
蛤蚧,款冬花,成炼钟乳,肉桂,白矾
贝母,半夏,白芥子,莱菔,蛤蚧
远志,虎睛,犀角屑,大黄,栀子
半夏,陈皮,苍术,藿香,厚朴
半夏,陈皮,藿香,厚朴,甘草
半夏,陈皮,藿香,厚朴,甘草
半夏,丁香,陈皮,藿香,茯苓
半夏,竹茹,陈广皮,青子芩4,青蒿脑4
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,琥珀,血竭
胆南星,朱砂,地龙,薄荷,制军
贝母,半夏,天冬,血琥珀,京知母
天竺黄,檀香,天南星,朱砂,枳实
天竺黄,檀香,天南星,枳实,金箔
天竺黄,天南星,僵蚕,朱砂,琥珀
天竺黄,檀香,天南星,蜂蜜,朱砂
贝母,天竺黄,胆南星,僵蚕,琥珀
天竺黄,胆南星,辰砂,琥珀,月石
天竺黄,天南星,僵蚕,辰砂,琥珀
贝母,天竺黄,胆南星,朱砂,僵蚕
天南星,远志,大辰砂,人乳,菖蒲
贝母,天竺黄,青礞石,麝香,月石
贝母,青礞石,天竹黄,麝香,月石
远志,金箔,桔梗,辰砂,甘松
海粉,青黛,神曲,黄芩
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,红花
透骨草,马前子,老葱胡,烧酒,三七
半夏,昆布,当归,陈皮,红花
半夏,当归,陈皮,地黄,白芍
贝母,桔梗,当归,白术,麦冬
天竺黄,僵蚕,朱砂,梅片,地龙
半夏,桂心,芍药,旋覆花,枳实
葶苈,杏仁,蛤蚧,商陆,茯苓
黄酒,山慈菇,核桃肉
白芥子,全丝瓜,上肉桂,白僵蚕,陈皮
天竺黄,天南星,柴胡,僵蚕,桔梗
半夏,丁香,厚朴,枣仁,生姜
杏仁,紫苏,陈皮,茯苓,桑白皮
天南星,独活,天麻,全蝎,粉草
天南星,独活,天麻,全蝎,粉草
半夏,天南星,皂角,寒水石,白附子
天南星,清夏,陈皮,陈皮,元芩
五倍子
贝母,半夏,昆布,海藻,海带
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,麦蘖,紫苏
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
半夏,天南星,枯矾,巴豆,干姜
