铜绿,新针,甘石,胆矾,归尾,苦参
金银花,赤芍,龙胆草,木通,吴萸,皂刺
冰片,草乌,硇砂,乳没,肉桂,天南星
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,牛蒡,黄柏,栀子,大黄
赤小豆,青盐,黄柏,马牙消,大黄,杏仁
金银花,赤芍,连翘,羌活,归尾,桔梗
银花,赤芍,连翘,黄柏,薄荷,花粉
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,白糖,黄芪,枣仁
清油,零陵香,黄蜡,地黄,芎,天麻
大戟,甘遂,麦蘖,陈曲,陈皮,陈皮
五倍子,枯矾,白芷,黄丹,陈米醋,白凤仙花
冰片,儿茶,甘石,轻粉,元连,红粉
马钱子,穿山甲,黑附子
连翘,茵陈,贝母,木通,藿香,大黄
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,荔枝核,昆布,穿山甲,桃仁
金银花,木通,薏仁,木瓜,归尾,红花
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,潮脑,银朱
赤芍,红花,白及,防风,当归
冰片,枯矾,硼砂,鸡内金,朱砂,滑石
冰片,棉胭脂,枯矾面
冰片,西瓜霜,元明粉,月石,朱砂,乌贼骨
血竭,海藻,琥珀,京墨,海带,天南星
油,木鳖子,白芷,黄丹,桂心,琥珀
梅片,儿茶,熊胆,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,沉香
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,菖蒲,蜈蚣,雄黄,黄米
冰片,没药,香油,血竭,乳香,黄丹
冰片,三七,土鳖虫,乳香,自然铜,当归
三七,土鳖虫,乳香,自然铜,当归
冰片,没药,血竭,土鳖虫,儿茶,自然铜
活蚯蚓数条,贴敷患处,用纱布蘸透此液,外盖纱布,6次,胶布固定
茯苓皮,泽兰,车前子,炮甲,金钱草,黄芪
金银花,没药,乳香,连翘,花粉,白芷
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,枳壳,防风,当归,黄芩
没药,乳香,苏木,栝楼,忍冬,甘草
五倍子
冰片,西瓜霜,人指甲,熊胆,玄明粉,朱砂
没药,乳香,赤芍,花粉,贝母,木通
葶苈,甘遂,红芽大戟,芫花,神曲,灵脂
大戟,葶苈,甘遂,芫花,灵脂,牙皂
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,桃仁,蛇床子,川椒,雄黄
鸡蛋
鲫鱼,冬瓜
薄荷,贝母,白茅根,野菊花
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,火消,雄黄,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,山甲,全蝎,朱砂,蜈蚣
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,大黄,黄连,槟榔
三七,金刚莲,马钱子霜,接骨木,红花,五加皮
三七,金刚莲,马钱子霜,捆仙绳,18厘米,见血清
冰片,牙皂,枪消,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,松香,白芷,连翘,薄荷,天南星
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,薄荷,花粉
银花,赤芍,连翘,白芷,花粉,薏仁
蒲公英,金银花,川军,赤芍,赤小豆,贝母
白菊花
花椒,生葱,广胶,陈酒糟,葱白,艾叶
香油,章丹
金银花,连翘,山栀,黄连,丹皮,甘草
橘核,川军,乌药,胡芦巴,玄胡,金铃子
没药,血竭,土鳖虫,发灰,乳香,自然铜
花椒,黄丹,大蒜头,槐枝,葱白,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,自然铜,木鳖子,骨碎补,羊胫骨灰,故纸
发灰,小黄米面,皂角末
冰片,没药,乳香,熊胆,黄柏,青鱼胆
鸡内金,薄荷,栀子,升麻,黄连
没药,葱,乳香,白胶香,清油,木鳖子
乌药,穿山甲,红花,川芎,独活,甘草
蒲公英,赤芍,元参,瓜蒌,薄荷,马勃
车前子,官桂,茱萸,地黄,山药,丹皮
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,黄芪,白茅根,桑白皮,肉桂
昆布,海藻,木通,白僵蚕,黄连,甘草
没药,乳香,紫苏,薄荷,黄柏,轻粉
没药,乳香,薄荷,黄柏,苏叶,轻粉
冰片,月石,贝母,滑石,朱砂,龙骨
没药,乳香,麻黄,马钱子粉
没药,土鳖虫,乳香,自然铜,麻黄,马前子
醋2500毫升,半夏
广地龙,大独活,西秦艽,骨碎补,威灵仙,海桐皮
3克,9克,9克,或,萝卜子,厚朴
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,青黛,蒲黄
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,黄蜡,蛇蜕皮,杏仁
冰片,没药,血竭,硼砂,儿茶,熊胆
银花,红藤,炙山甲,桃仁,川楝,皂角刺
蒲公英,金银花,夏枯草,贝母,连翘,红藤
银花,赤芍,连翘,白芷,黄柏,薄荷
金银花,赤芍,连翘,花粉,白芷,薄荷
连翘,桑白皮,荠苨,人参,前胡,桔梗
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,桑白皮,人参,紫菀,杏仁
蟾酥,乳香,硇砂,雄黄,麝香,朱砂
蟾酥,没药,血竭,龙脑,朱砂,轻粉
血竭,蟾酥,胆矾,京墨,朱砂,麝香
血竭,蟾酥,胆矾,京墨,朱砂,麝香
贝母,昆布,天葵子,海石,牡蛎
赤芍,刘寄奴,炒桃仁,大黄,生地,枳壳
没药,乳香,木鳖子,自然铜,草乌,蓖麻子
葱,赤芍,紫苏,黄柏,玄胡,荆芥
冬瓜皮,车前子,官桂,蝼蛄虫,建泽泻,制茅术
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂,麝香
冰片,蟾酥,珍珠,雄黄,丁香,丹参
芙蓉叶,天南星,草乌,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆,牡蛎
冰片,没药,蟾酥,葶苈,血竭,硼砂
生姜皮,车前子,砂仁,木通,川萆解,莪术
蒲公英,粳米
紫草茸,白芷,藿香,地黄,川芎,甘草
