金银花,木通,薏仁,大黄,白鲜皮
白酒,红蓝花
酒精,75,红花
冰片,贝母,松香,白芷,轻粉
赤芍,白及,红花,防风,当归
冰片,枯矾,滑石,硼砂,麝香
冰片,棉胭脂,枯矾面
冰片,西瓜霜,朱砂,月石,元明粉
血竭,麝香,海藻,琥珀,木香
油,木鳖子,桂心,黄丹,白芷
儿茶,梅片,熊胆,血琥珀,珍珠
没药,乳香,黑丑,琥珀,槟榔
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,雄黄,菖蒲,蜈蚣
冰片,香油,血竭,没药,乳香
冰片,三七,乳香,土鳖虫,自然铜
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,儿茶
胶布固定,贴敷患处,用纱布蘸透此液,活蚯蚓数条,外盖纱布
茯苓皮,车前子,泽兰,泽泻,大腹皮
金银花,没药,乳香,花粉,连翘
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,防风,枳壳,黄芩
没药,乳香,苏木,忍冬,甘草
五倍子
冰片,西瓜霜,玄明粉,熊胆,雄黄
没药,乳香,赤芍,花粉,贝母
葶苈,甘遂,红芽大戟,神曲,芫花
葶苈,大戟,甘遂,大黄,芫花
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,桃仁,蛇床子
鸡蛋
冬瓜,鲫鱼
野菊花,薄荷,贝母,白茅根
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,雄黄,火消,硇砂
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,朱砂,全蝎,山甲
山菊花,黄柏,黄连,栀子,黄芩
叶子雌黄,麝香,郁金,槟榔,黄连
三七,马钱子霜,金刚莲,陈皮,接骨木
三七,马钱子霜,金刚莲,捆仙绳,18厘米
冰片,牙皂,枪消,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,连翘,松香,白芷,薄荷
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,薄荷
银花,赤芍,连翘,白芷,花粉
蒲公英,金银花,赤小豆,赤芍,连翘
白菊花
花椒,广胶,陈酒糟,生葱,葱白
香油,章丹
金银花,连翘,芍药,山栀,黄连
车前子,茱萸,地黄,黑附子,山药
橘核,乌药,川军,干姜,玄胡
血竭,没药,乳香,土鳖虫,发灰
花椒,黄丹,葱白,槐枝,大蒜头
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,芍药,虎骨随多少,自然铜
皂角末,小黄米面,发灰
冰片,没药,熊胆,乳香,朴消
没药,乳香,葱,木鳖子,清油
乌药,穿山甲,红花,泽泻,甘草
蒲公英,马勃,赤芍,元参,瓜蒌
车前子,官桂,茱萸,地黄,黑附子
西瓜霜,珠粉,琥珀,西黄
白果,地肤子,白茅根,桑白皮,阿胶
昆布,木通,海藻,白僵蚕,茯苓
没药,乳香,紫苏,红粉,黄柏
没药,乳香,黄柏,红粉,薄荷
冰片,滑石,贝母,月石,朱砂
没药,乳香,麻黄,马钱子粉
没药,乳香,土鳖虫,麻黄,自然铜
醋2500毫升,半夏
大独活,西秦艽,广地龙,骨碎补,威灵仙
或,3克,9克,9克,厚朴
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,麝香,马勃,僵蚕
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
黄丹,蛇床人,乱发,露蜂房,黄耆
冰片,血竭,没药,儿茶,硼砂
银花,炙山甲,桃仁,红藤,丹皮
蒲公英,金银花,连翘,夏枯草,贝母
银花,赤芍,连翘,白芷,花粉
金银花,赤芍,连翘,花粉,白芷
荠苨,连翘,人参,桑白皮,前胡
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,人参,桑白皮,贝母,五味子
蟾酥,乳香,硇砂,麝香,雄黄
蟾酥,血竭,没药,轻粉,朱砂
血竭,蟾酥,胆矾,麝香,朱砂
血竭,蟾酥,胆矾,麝香,朱砂
昆布,海石,天葵子,贝母,牡蛎
赤芍,刘寄奴,炒桃仁,生地,大黄
没药,乳香,木鳖子,黄丹,蓖麻子
葱,赤芍,紫苏,黄柏,玄胡
冬瓜皮,车前子,大腹皮,官桂,制茅术
蟾酥,西丹参,珠粉,麝香,飞腰黄
冰片,蟾酥,雄黄,丹参,珍珠
芙蓉叶,川乌,草乌,野芋头,天南星
大麻子仁,大黄
大米,白茅根
葶苈,泽泻,海藻,商陆根,蜀漆
冰片,葶苈,血竭,蟾酥,没药
生姜皮,车前子,木通,大腹皮,木香
蒲公英,粳米
紫草茸,白芷,何首乌,芍药,地黄
银花,赤芍,连翘,牛蒡,薄荷
金银花,桔梗,麦冬,北豆根,青果
紫苏,葫芦巴,地肤子,猪苓,泽泻
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
连翘,白芷,柴胡,射干,荆芥
冰片,血竭,没药,儿茶,赤小豆
闹羊花
芙蓉叶,滑石,花粉,大黄,生川柏
生清油,茶叶末
赤芍,连翘,花粉,黄柏,栀子
赤芍,连翘,花粉,黄柏,栀子
金银花,薏仁,麦冬,地榆,玄参
蒲公英,金银花,连翘,瓜蒌,黄芩
蒲公英,金银花,车前子,赤芍,连翘
金银花,连翘,芍药,地黄,黄连
连翘,牛蒡,薄荷,栀子,前胡
金银花,玄明粉,连翘,薄荷,鼠粘子
芙蓉叶,赤小豆,白芷,黄柏,雄黄
冰片,血竭,没药,儿茶,乳香
金银花,甘菊花,生地,熟地,麦冬
姜黄,白芷,花粉,黄柏,厚朴
白酒,如意草
赤芍,昆布,鸡血藤,海藻,柴胡
元参,连翘,花粉,葛根,鼠粘子
冰片,三七,血竭,麝香,薄荷
冰片,血竭,没药,儿茶,乳香
白酒,苏木
没药,人参,甘草,栝楼,当归
续随子,红芽大戟,麝香,山慈菇,文蛤
金银花,没药,乳香,花粉,白芷
甜石榴,酸石榴,苍耳子,清酒,丹参
车前子,生枳,薏仁,车前草,荆芥
冰片,虎杖,黄柏
白芷,黄柏,郁金,白及,绿豆粉
紫苏,官桂,人参,五灵脂,砂仁
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,菊花
大腹子,干姜,黑附子,木香,草果仁
芙蓉叶,黄连,黄柏,大黄,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
硼砂,西丹参,马勃,大梅片,贝母
马钱子,枳壳
连翘,白芷,黄柏,薄荷,栀子
白菊花,北防风,白蒺藜,骨碎补,黄柏
芙蓉叶,赤小豆,五倍子,草乌,白及
芙蓉叶,薄荷,大黄,牛膝,金桐叶
没药,桂心,琥珀,麝香,细辛
葶苈,木通,泽泻,滑石,猪苓
葶苈,人参,桑白皮,贝母,五味子
没药,乳香,白芷,骨碎补,透骨草
连翘,夏枯草,僵蛹,薄荷,莱菔
粳米,桃花瓣
没药,乳香,硇砂,丁香,糯米
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯苓
赤小豆,白樟柳根,木香,陈皮
没药,乳香,黄柏,骨碎补,生地
蚕蜕,穿山甲,猪蹄蜕,荆芥,粉草
白芷,穿山甲,生地,黄耆,当归
赤芍,连翘,牛蒡,水牛角浓缩粉,地黄
生姜皮,茯苓皮,大腹皮,桑白皮,陈皮
蒲公英,银花,地丁,紫背天葵子,野菊花
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,玄参,大黄,犀角,甘草
芙蓉叶,何首乌,紫荆皮,芍药,白芷
葶苈,生姜皮,车前子,木通,泽泻
芙蓉叶,五倍子,草乌,陈小粉,天南星
乳香,上冰片,白及,丹皮
姜黄,散血草,黄柏,透骨草,香附
通脱木,木通,瞿麦,黑牵牛,滑石
蒲公英,没药,乳香,大黄,栀子
冰片,硼砂,熊胆,寒水石,赤石脂
芙蓉叶,蒲公英,金银花,牛蒡,花粉
蓖麻仁,连翘,夏枯草
银花,白芷,柴胡,花粉,贝母
元参,连翘,花粉,茯苓,陈皮
蚯蚓,雄黄,细辛,麻黄,荆芥
金银花,没药,乳香,瓜蒌,连翘
葶苈,大戟,甘遂,泽泻,芫花
乳香,硼砂,麝香,1,芍药
癞虾蟆草,枳壳
没药,乳香,木鳖子,麝香,草乌
冰片,没药,乳香,赤芍,花粉
粳米,青头雄鸭,葱白
没药,乳香,樟冰,麝香,牙皂
冰片,姜黄,铜绿,胆矾,麝香
没药,乳香,赤芍,麝香,白芷
金银花,没药,乳香,赤芍,花粉
葶苈,桂心,海藻,松萝,郁李核仁
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,丹皮,白芍
黑牵牛头末,茴香
石苇,制萸肉,山楂,黄芪,山药
乌药,乳没,黄芪,莪术,丹参
瓜蒌,白芨,麻黄蓍,白芷,零香
血竭,轻粉,白芷,麻油,白占
苍耳子,白芷,杭菊,辛荑花,北芪
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,细辛,独活
没药,乳香,硇砂,麝香,雄黄
五倍子,山慈姑,麝香,雄黄,千金子霜
没药,乳香,五倍子,肥皂肉
金银花,芍药,地丁,黄耆,大黄
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,木香,茯苓,丹皮
土鳖虫,樟脑,薄荷,虎杖,香樟
血竭,没药,乳香,儿茶,螵蛸
