贝母,杏仁,旋复花,麦冬,石斛
天南星,干蝎,龙脑,犀角,真珠末
天竺黄,龙脑,铅白霜,天麻,丹参
瑇瑁,真珠,龙脑,犀角,麝香
贝母,白术,五味子,当归,丹参
半夏,白术,丁香,白檀香,姜黄
半夏,鳖甲,紫团参,阿胶,甘草
贝母,半夏,葶苈,杏仁,板蓝根
半夏,广皮,羌活,茯苓,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,胆草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,厚朴,苍术,广皮,茯苓
半夏,厚朴,陈皮,苏梗,茯苓
半夏,当归,枳实,陈皮,滑石
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,杏仁,罂粟壳,款冬花
贝母,半夏,陈皮,茯苓,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,川朴,僵蚕,桔梗
天竺黄,麦冬,竹茹,百部,天冬
贝母,麦冬,知母,天门冬
贝母,北沙参,淡天冬,提麦冬,南沙参
竹茹,远志,龙骨,泽泻,菖蒲
半夏,天南星,白僵蚕,飞过枯矾
半夏,黑附子,厚朴,陈皮,白姜
贝母,桔梗,元参,赤芍,前胡
贝母,芍药,桔梗,苍术,陈皮
半夏,独活,芎,天麻,茯苓
杏仁,木香,防己
贝母,半夏,玉竹,北沙参,麦冬
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
贝母,葶苈,薏仁,杏仁,金银花
鱼腥草,铁树叶,白术,白花蛇舌草,党参
贝母,贝母,半夏,半夏,白芥子
贝母,竹茹,饴糖,麦冬,石斛
半夏,粉霜,黑牵牛子,白矾
片脑,白豆蔻末,芽茶,白檀香末
贝母,半夏,神曲,玄明粉,桔梗
贝母,半夏,神曲,玄明粉,桔梗
半夏
半夏,檀香,山楂,百药煎,沉香
半夏,天南星,干姜,皂角,白矾
半夏,天南星,杏仁,葛根,山楂
半夏,天南星,莱菔,白术,枳实
竹茹,厚朴,菖蒲,郁金,缩砂
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,沉香,白豆蔻,枳实
半夏,明矾,硝石
贝母,海藻,黄药子,白酒
百部,鱼腥草,穿心莲,生干蟾,开金锁
僵蚕,蜈蚣,知柏,桔梗,当归
贝母,半夏,远志,桔梗,麻黄浸膏
四季青,平地木,鼠曲草,干日红
半夏,竹茹,枳实,龙眼肉,陈皮
天竺黄,枳实,生石决明,黄芩,丹皮
贝母,片芩,枳实,桔梗,当归
杏仁,黄连,瓜蒌仁
橄榄,萝卜
半夏,杏仁,龙骨,桂枝,瓜蒌皮
半夏,远志,白术,破故纸,桂枝
败酱草,炮干姜,栝蒌实,桔梗,厚朴
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,海藻,昆布,夏枯草,青皮
半夏,龙涎香,伽楠香,陈皮
贝母,郁金,人参,香附,白芍
半夏,白术,当归,陈皮,茯苓
海藻,鸡血藤,黄芪,黄精,丹参
半夏,白术,破故纸,紫河车,党参
半夏,天南星,明矾,百药煎,乌梅肉
半夏,天南星,香墨,芎,杜仲
贝母,半夏,皂荚,杏仁,知母
半夏,天南星,白术,泽泻,黄芩
贝母,桔梗,薄荷,薄荷,诃子
贝母,天竺黄,半夏,葶苈,白芥子
半夏,海粉,杏仁,诃子,栝楼
成炼钟乳,款冬花,蛤蚧,白矾,肉桂
贝母,半夏,莱菔,白芥子,薏仁
远志,虎睛,犀角屑,栀子,大黄
半夏,厚朴,苍术,藿香,陈皮
半夏,厚朴,藿香,陈皮,甘草
半夏,厚朴,藿香,陈皮,甘草
半夏,丁香,藿香,陈皮,茯苓
半夏,竹茹,青蒿脑4,青子芩4,陈广皮
僵蚕,桔梗,全蝎,天麻,苏木
半夏,朱砂,雄黄,白矾
海藻,天南星,海带,京墨,血竭
胆南星,地龙,朱砂,薄荷,制军
贝母,半夏,京知母,血琥珀,石膏
天竺黄,天南星,檀香,枳实,朱砂
天竺黄,天南星,檀香,枳实,真琥珀
天竺黄,天南星,朱砂,僵蚕,赤苓
天竺黄,天南星,檀香,枳实,朱砂
贝母,天竺黄,胆南星,琥珀,僵蚕
天竺黄,胆南星,辰砂,腰黄,沉香
天竺黄,天南星,僵蚕,辰砂,真正丹参
贝母,天竺黄,胆南星,桔梗,朱砂
天南星,远志,菖蒲,真琥珀,大辰砂
贝母,天竺黄,青礞石,伽楠香,月石
贝母,青礞石,天竹黄,沉香,月石
远志,金箔,麝香3厘,桔梗,辰砂
海粉,黄芩,青黛,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,海藻,昆布,海带
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,红花,莪术
透骨草,烧酒,牛膝,马前子,老葱胡
半夏,昆布,当归,丹皮,青皮
半夏,当归,地黄,陈皮,川芎
贝母,桔梗,麦冬,当归,白术
天竺黄,牛膝,白术,葛根,何首乌
半夏,桂心,芍药,白术,旋覆花
葶苈,杏仁,蛤蚧,商陆,茯苓
黄酒,山慈菇,核桃肉
白芥子,全丝瓜,白僵蚕,上肉桂,干姜
天竺黄,天南星,柴胡,僵蚕,桔梗
半夏,厚朴,丁香,枣仁,生姜
杏仁,紫苏,陈皮,茯苓,麻黄
天南星,独活,全蝎,羌活,天麻
天南星,独活,全蝎,羌活,天麻
半夏,天南星,寒水石,皂角,轻粉
天南星,沉香,青皮,蒌仁,陈皮
五倍子
贝母,半夏,海藻,昆布,神曲
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,神曲,萝卜子
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,干姜,枯矾
半夏,天南星,杏仁,萝卜子,紫苏
半夏,葶苈,杏仁,炙草,桔梗
半夏,葶苈,白术,鳖甲,茴香
半夏,天南星,辰砂,腻粉,皂
半夏,紫菀,葶苈,杏仁,桔梗
贝母,紫菀,葶苈,杏仁,桔梗
半夏,葶苈,杏仁,旋覆花,桔梗
檀香,柿霜,硼砂,白葛粉,白冰糖
半夏,紫菀,远志,葶苈,杏仁
天南星,乳香,直僵蚕,代赭石,节白附
半夏,京三棱,青皮,黑牵牛,陈皮
天南星,僵蚕,蜈蚣,蝉壳,朱砂
天竺黄,片脑,胆南星,白附,朱砂
半夏,天南星,丁香,金箔,龙脑
半夏,芍药,旋覆花,前胡,麻黄
半夏,当归,陈皮,茯苓,熟地
贝母,半夏,柴胡,天南星,白术
半夏,天南星,皂角,白矾
白芥子,芍药,透骨草,僵蚕,鸡血藤膏
半夏,秦艽,葛根,夏枯草,羌活
海粉,桔梗,连翘,黄芩,竹沥
天南星,当归,羌活,陈皮,枣仁
天南星,远志,僵蚕,菖蒲,羌活
贝母,半夏,桔梗,杏仁,葛根
贝母,杏仁,桔梗,石膏,麻黄
贝母,半夏,桔梗,杏仁,葛根
贝母,紫菀,小蓟,丹皮,滑石
海藻,柴胡,党参,大青叶,板蓝根
贝母,柴胡,当归,白术,薄荷
贝母,柴胡,远志,桔梗,赤苓
贝母,半夏,紫菀,远志,杏仁
贝母,半夏,紫菀,杏仁,桔梗
贝母,半夏,紫菀,杏仁,五味子
贝母,杏仁,五味子,净金灯,米壳
贝母,半夏,紫菀,杏仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗
半夏,莱菔,白术,山楂,神曲
半夏,白术,枳实,陈皮
半夏,桔梗,黄芩,陈皮,黑山栀
紫菀,鱼腥草,四季青,前胡,金荞麦
天竺黄,胆南星,朱砂,僵蚕,羚羊
杏仁,五味子,米仁,知母,百合
半夏,天南星,白芥子,白术,杏仁
贝母,片芩,杏仁,桔梗,石膏
半夏,杏仁,1,栝楼,小枳实
半夏,杏仁,当归,桔梗,干姜
半夏,草果,广皮,青皮,生姜
半夏,黄柏,桔梗,黄芩,黄连
半夏,柴胡,当归,白术,桔梗
半夏,益智,陈皮,粉草,香附
半夏,白术,枳实,党参,桂枝
贝母,麦冬,党参,五味子,沙参
紫菀,旋复花,桔梗,嫩苏梗,陈皮
半夏,白术,干姜,陈皮,五味子
半夏,柴胡,竹茹,桔梗,枳实
半夏,竹茹,葛根,枳实,云苓
远志,杏仁,琥珀粉,当归,羚羊粉
半夏,白术,紫苏,陈皮,五灵脂
远志,郁金,菖蒲,琥珀,茯苓
半夏,远志,厚朴,紫苏,茯神
半夏,天南星,厚朴,益智仁,枳实
半夏,厚朴,菖蒲,紫苏,木香
杏仁,玫瑰花,当归,刀豆子,藕节
半夏,海藻,白术,当归,黄药子
半夏,白术,桔梗,枳实,前胡
杏仁,款冬花,桔梗,黄芩,前胡
半夏,昆布,海藻,白术,当归
半夏,竹茹,当归,地黄,桔梗
半夏,茅术,陈皮,茯苓,生姜
玄明粉,柿霜,白粉,硼砂,薄荷
胆南星,蒌子,苏叶子,羚羊,川连
竹茹,焦三仙,干青果,陈皮
三仙饮,炙桑白皮
焦三仙,陈皮
胆南星,僵蚕,黑附子,钩蘑,苏合油3毫升
贝母,柴胡,海藻,漏芦,元参
半夏,黄芩,干姜,桂枝,麻黄
半夏,天南星,桔梗,枳实,辰砂
贝母,柴胡,半夏,白术,当归
贝母,半夏,芍药,天南星,枳实
百部,穿心莲,葎草,玉竹,黄精
倭硫,朱砂
半夏,半夏,厚朴,厚朴,桔梗
杏仁,薄荷,陈皮,桂枝,茯苓
葶苈,杏仁,木通,天冬,大黄
半夏,醋2500毫升
杏仁,款冬花,麻黄,甘草
川朴,灵脂,榔片,生芍,玄胡
半夏,桔梗,桂,枳壳
半夏,天南星,白术,葶苈,枳实
半夏,大腹子,京三棱,青皮,木香
生龙脑,生犀角,朱砂,栀子,麦门冬
生龙脑,生犀角,朱砂,栀子,麦门冬
鸡苏叶,桔梗,龙脑,黍粘子,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,白术,龙骨,附片,牡蛎
白芥子,杏仁,蛤壳,瓜蒌皮,紫苏
白芥子,杏仁,蛤壳,瓜蒌皮,紫苏
白芥子,杏仁,蛤壳,紫苏,射干
青礞石,万年干,硼砂,石膏
京元参,细川连,淡条芩,上广皮,桔梗
紫菀,杏仁,款冬花,桔梗,紫苏
新鲜萝卜约,粳米
新鲜白萝卜
贝母,莱菔,冰糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,鹅管石,款冬花,肉桂,甘草
缩砂仁,丁香,巴豆,胡椒,乌梅
醋,绿茶
葶苈,杏仁,桔梗,马兜铃,陈皮
半夏,葛根,桔梗,前胡,黄芩
半夏,白术,干姜,苏子,茯苓
半夏,白术,干姜,茯苓,人参
贝母,萝卜,麦冬,鲜姜,鲜藕
半夏,茴香,草乌,香附,茯苓
莱菔,麦芽,桔梗,厚朴,果仁
贝母,桔梗,元参,山栀,薄荷
半夏,紫菀,胆南星,杏仁,川椒
半夏,杏仁,陈皮,茯苓,甘草
半夏,白术,陈皮,茯苓,人参
半夏,杏仁,厚朴,黄芩,款冬花
半夏,广红皮,清炙草,钩藤钩,茯神
贝母,杏仁,牛蒡,石膏,麻黄
半夏,杏仁,麻黄,豆腐1小块,甘草
半夏,莱菔,白芥子,杏仁,茶叶
半夏,杏仁,巴豆,马兜铃
白萝卜,蜂蜜
远志,罗参,当归,莲肉,陈皮
贝母,天竺黄,桔梗,胆南星,薄荷
半夏,当归,桔梗,陈皮,重楼
梅花脑,五,牙硝,硼砂,麝香
梅花脑,牙消,硼砂,麝香,寒水石
贝母,麦冬,枇杷叶,莲子,天冬
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,白术,麦芽,厚朴
半夏,天南星,枳实,黄芩,法制消
远志,黄芩,黄连,菖蒲,麦冬
半夏,竹茹,胆草,旋复花,黄芩
贝母,半夏,桔梗,杏仁,石膏
贝母,半夏,紫菀,桔梗,杏仁
紫菀,白芥子,百部,牛蒡,东白薇
贝母,桔梗,瓜蒌仁,麦门冬,陈皮
半夏,苍术,干姜,神曲,陈皮
半夏,苍术,神曲,陈皮,黄连
贝母,海石,胆南星,陈皮,木通
半夏,草果,良姜,厚朴,乌梅
葶苈,杏仁,地龙,牛蒡,羚羊角
贝母,桔梗,黄柏,前胡,黄芩
贝母,天竺黄,紫菀,鱼腥草,杏仁
贝母,薏仁,鱼腥草,败酱草,杏仁
昆布,海粉,当归,黄连,牙皂
贝母,柴胡,海藻,僵蚕,夏枯草
半夏,柴胡,白芥子,蝉衣,桔梗
檀香,羌活,薄荷,石膏,防风
檀香,一了,四,羌活,薄荷
檀香,羌活,薄荷,石膏,防风
半夏,苍术,黄芩,瓜蒌仁,黄连
贝母,半夏,天南星,白芥子,神曲
半夏,天南星,杏仁,枳实,黄芩
半夏,天南星,莱菔,海粉,白术
半夏,天南星,杏仁,枳实,黄芩
贝母,贝母,紫菀,草河车,白花蛇舌草
半夏,射干,五味子,麻黄,石膏
贝母,半夏,枳实,杏仁,桔梗
半夏,昆布,海藻,白芥子,玄明粉
贝母,郁金,杵头糠,砂仁壳,荷叶蒂
僵蚕,全虫,炙穿山甲,蜈蚣,蝉衣
贝母,桔梗,地黄,麦门冬,陈皮
五倍子,五味子,诃子,甘草
百药煎,桔梗,紫河车,粉草,香附
半夏,天南星,黄芩,黄连,陈皮
半夏,天南星,黄芩,黄连,陈皮
半夏,天南星,干姜,天麻,川乌
半夏,天南星,干姜,天麻,川乌
天竺黄,蕲蛇,山甲,萆薢,寄生
天南星,黑附子,乌头,木香
天南星,辰砂,蛇含,麝香,白附子
蛇胆汁,陈皮
半夏,柴胡,茱萸,黑附子,当归
竹茹,桔梗,苏子,陈皮,甘草
文蛤,红芽大戟,山慈菇,续随子,麝香
远志,金箔,铁粉,菖蒲,丹砂
贝母,半夏,桔梗,杏仁,干葛
半夏,柴胡,白术,肉桂,白芍
贝母,胆南星,远志,麦冬,辰砂
半夏,陈皮,茯苓,生姜,甘草
贝母,半夏,杏仁,山栀,苏子
半夏,僵蚕,辰砂,槐角子,天麻
天南星,朱砂,琥珀
胆南星,远志,白术,朱砂,当归
半夏,芍药,远志,玫瑰花,佛手花
海藻,昆布,海带,螵蛸,木香
半夏,厚朴,肉豆蔻,山药
半夏,吴萸,陈皮,黄连,桃仁
半夏,白术,草果,陈皮,乌梅肉
半夏,厚朴,紫苏,茯苓
半夏,昆布,升麻,桔梗,黄芩
檀香,僵蚕,朱砂,乳香,苏合香
