丹参,赤芍,莲子心,川芎,薄荷,甘草
冰片,甘草,雄黄,滑石,朱砂面
铜绿,新针,甘石,胆矾,乌梅,归尾
金银花,赤芍,当归,龙胆草,木通,柴胡
冰片,丁香,半夏,乳没,草乌,硇砂
五倍子,朴消,小麦,白矾,葱白
银花,升麻,赤芍,黄柏,当归,牛蒡
赤小豆,青盐,黄柏,黄连,杏仁,马牙消
金银花,赤芍,升麻,连翘,羌活,柴胡
银花,当归,赤芍,连翘,薄荷,黄柏
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,枣仁,白糖,黄芪
清油,零陵香,地黄,黄蜡,天麻,芎
大戟,黄耆,甘遂,陈曲,麦蘖,陈皮
黄柏,栀子,当归,大黄,黄芩
枯矾,五倍子,白芷,黄丹,丹参,白附子
冰片,龙骨,甘石,儿茶,轻粉,元连
马钱子,黑附子,穿山甲
连翘,茵陈,贝母,当归,木通,山栀仁
粳米,陈葫芦粉
冬瓜皮,枣仁,西瓜皮,葫芦壳
橘核,乳香,昆布,香附,穿山甲,木香
金银花,茯苓,薏仁,木瓜,木通,皂角
白酒,红蓝花
75,酒精,红花
冰片,松香,银朱,白芷,潮脑,贝母
赤芍,当归,红花,白及,防风
冰片,枯矾,青黛,硼砂,鸡内金,滑石
冰片,枯矾面,棉胭脂
冰片,石膏,西瓜霜,月石,元明粉,朱砂
血竭,木香,海藻,京墨,琥珀,五灵脂
白芷,天南星,大黄,郁金
油,木鳖子,桂心,黄丹,白芷,琥珀
梅片,熊胆,丹参,血琥珀,儿茶,珍珠
没药,黑丑,乳香,木香,琥珀,槟榔
獾油,冰片面
獾油,石膏,地榆,大黄
没药,乳香,菖蒲,雄黄,黄米,蜈蚣
冰片,头发,香油,没药,血竭,黄丹
冰片,土鳖虫,当归,三七,自然铜,乳香
三七,土鳖虫,乳香,当归,自然铜
冰片,当归,土鳖虫,没药,血竭,自然铜
外盖纱布,用纱布蘸透此液,胶布固定,活蚯蚓数条,贴敷患处,6次
茯苓皮,泽兰,山药,金钱草,炮甲,车前子
没药,金银花,当归,乳香,白芷,连翘
白芷,姜黄,芍药,花粉
赤芍,白芷,郁金,花粉
槐角,地榆,当归,防风,枳壳,黄芩
没药,乳香,甘草,苏木,栝楼,忍冬
五倍子
冰片,黄连,西瓜霜,人指甲,熊胆,玄明粉
没药,赤芍,当归,乳香,贝母,木通
葶苈,红芽大戟,神曲,甘遂,芫花,豆豉
葶苈,大戟,杏仁,甘遂,大黄,芫花
祛湿药膏,化毒散
没药,乳香,巴豆,草乌,浮石
枯矾,五倍子,川椒,蛇床子,雄黄,乌梅
鸡蛋
冬瓜,鲫鱼
野菊花,白茅根,薄荷,贝母
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,僵蚕,硼砂,硇砂,火消,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,全蝎,山甲,朱砂,僵蚕
山菊花,黄柏,黄芩,栀子,黄连
叶子雌黄,麝香,槟榔,郁金,黄连,大黄
三七,金刚莲,马钱子霜,陈皮,接骨木,红花
三七,金刚莲,马钱子霜,五加皮,18厘米,见血清
冰片,僵蚕,牙皂,枪消,蒲黄
京红粉,元明粉,轻粉
芙蓉叶,青黛,大青叶,人中黄
冰片,黄芩,松香,白芷,薄荷,连翘
蟾酥,雄黄,丁香,朱砂
蒲公英,银花,黄芩,赤芍,薄荷,连翘
银花,甘草,赤芍,白芷,连翘,薏仁
蒲公英,金银花,甘草,川军,赤小豆,赤芍
白菊花
花椒,艾叶,生葱,陈酒糟,广胶,葱白
香油,章丹
金银花,连翘,甘草,山栀,芍药,黄连
车前子,地黄,泽泻,茱萸,肉桂,牛膝
橘核,川军,干姜,乌药,胡芦巴,金铃子
没药,土鳖虫,血竭,杏仁,自然铜,乳香
花椒,黄丹,生姜,槐枝,大蒜头,葱白
马钱子,枳壳,草乌
没药,乳香,好麻,苏木
没药,木鳖子,茯苓,自然铜,川乌,虎骨随多少
皂角末,小黄米面,发灰
冰片,没药,赤石脂,青鱼胆,熊胆,朴消
鸡内金,薄荷,升麻,栀子,黄连
没药,葱,木鳖子,当归,白胶香,清油
乌药,穿山甲,泽泻,茯苓,红花,独活
蒲公英,瓜蒌,赤芍,桔梗,生地,薄荷
车前子,官桂,地黄,泽泻,茱萸,牛膝
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,当归,桑白皮,黄芪
昆布,海藻,木通,茯苓,白僵蚕,当归
没药,紫苏,苍术,乳香,薄荷,黄柏
没药,乳香,苍术,薄荷,黄柏,轻粉
冰片,龙骨,月石,贝母,滑石,朱砂
没药,麻黄,乳香,马钱子粉
没药,土鳖虫,麻黄,自然铜,乳香,马前子
醋2500毫升,半夏
西秦艽,大独活,广地龙,当归,威灵仙,牛膝
9克,9克,3克,或,厚朴,枳壳
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,甘草,西瓜霜,麝香,马勃,青黛
粳米,高良姜,香子,蔓荆子,鹿头肉
冬瓜,鲤鱼头
黄丹,蛇床人,黄耆,黄蜡,玄参,乱发
冰片,丹参,没药,血竭,熊胆,硼砂
银花,川楝,红藤,炙山甲,桃仁,丹皮
蒲公英,金银花,夏枯草,红藤,连翘,贝母
银花,当归,赤芍,白芷,连翘,薄荷
金银花,赤芍,白芷,当归,连翘,黄柏
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,人参,贝母,桑白皮,紫菀,五味子
蟾酥,乳香,丁香,硇砂,雄黄,麝香
没药,蟾酥,血竭,龙脑,轻粉,金脚信
血竭,蟾酥,麝香,京墨,胆矾,朱砂
血竭,蟾酥,麝香,京墨,胆矾,朱砂
海石,昆布,天葵子,牡蛎,贝母
赤芍,炒桃仁,枳壳,刘寄奴,生地,大黄
没药,木鳖子,当归,自然铜,黄丹,乳香
葱,赤芍,柴胡,紫苏,黄柏,玄胡
冬瓜皮,大腹皮,官桂,车前子,带皮苓,急性子
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂,麝香
冰片,丁香,蟾酥,雄黄,丹参,珍珠
芙蓉叶,川乌,草乌,野芋头,天南星
大麻子仁,大黄
大米,白茅根
葶苈,牡蛎,海藻,商陆根,栝楼,蜀漆
冰片,葶苈,没药,丹参,血竭,沉香
