白术,砂仁,诃子,草豆蔻,甘草
白术,党参,当归,黑附子,茯苓
白术,黑附子,人参,甘草,炒干姜
白术,党参,甘草,干姜,附片
苍术,肉豆蔻,桂心,阿魏,厚朴
白术,干生姜,半夏,茯苓,拣桂
白术,肉豆蔻,人参,缩砂仁,甘草
白术,黄芪,当归,苍术,柴胡
白术,党参,当归,黄芪,甘草
白术,人参,黄耆,甘草,枣仁
白术,当归,人参,枣仁,茯苓
白术,党参,当归,黄芪,甘草
山药,白术,当归,芡实,人参
白术,神曲,黄连,山楂,厚朴
白术,白芷,何首乌,菟丝子,岗稔根
白术,柴胡,归身,甘草,茯苓
红糖,大蒜,黑豆
马料豆,白蒺藜
苍术,地黄,夏,川姜冬,春
炒白芥子,黑丑,甘草,半夏,陈皮
芫荽,黄豆
黄芪,薏仁,赤小豆,金橘饼,糯米
黄芪,冬瓜皮,生姜皮,白糖,茯苓皮
赤小豆,昆布,黄耆
白术,黄芩,地黄,灶中黄土,阿胶
白术,黄芩,地黄,灶中黄土,阿胶
马钱子,黑附子,穿山甲
麦芽,甘草,厚朴,半夏,陈皮
薏仁,白蔻,厚朴,半夏,茯苓
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,新鲜胡萝卜
玉米渣,胡萝卜
扁豆,山药,芍药,白术,人参
粳米,白糖,新鲜红薯
山药,桔梗,砂仁,人参,黄耆
神曲,黄芩,青黛,海粉
山药,黄芪,泽兰,大腹皮,茯苓皮
白术,神曲,当归,山楂,柴胡
白于术,槐角米
板蓝根,猪胆粉,绿豆,柴胡,茵陈
白术,黄芩,防风,地黄,地黄
神曲,甘草,片姜黄,郁金,全瓜蒌
白术,芍药,茯苓,陈皮,草果仁
扁豆,黄连,神曲,神曲,山楂
神曲,白矾,天南星,萝卜子,半夏
神曲,麦芽,甘草,枳壳,厚朴
白术,神曲,桔梗,连翘,厚朴
粳米,鲜韭菜,食盐
山药,白术,麝香,山楂,朱砂
白术,神曲,防风,麦芽,苍术
砂仁,川芎,莲肉,陈皮,白豆蔻
白术,神曲,人参,肉豆蔻,半夏
白术,砂仁,当归,栀子,薄荷
白术,黄连,薏仁,柞木枝,茯苓
山药,白术,黄连,苍术,茯苓
白术,茯苓,泽泻
山楂,菊花
白术,黄芩,黄连,川芎,栀子
白术,黄芩,枣仁,茯苓,陈皮
山药,白术,神曲,党参,麦芽
白术,当归,薄荷,柴胡,茯苓
山药,白术,芡实,薏仁,茯苓
草豆蔻,诃子,肉豆蔻,石灰华,五灵脂膏
草豆蔻,诃子,肉豆蔻,石灰华,五灵脂膏
巴戟,盐花,黑附子,白蒺藜,丹参
神曲,黑附子,诃子,肉豆蔻,缩砂仁
汉椒,青盐,厚朴,茴香
扁豆,防风,苍术,厚朴,车前
白术,神曲,茱萸,肉豆蔻,人参
韭菜,牛奶,生姜
神曲,食糖,生姜
白术,神曲,人参,半夏,缩砂仁
白术,芍药,当归,人参,枣仁
白术,柴胡,人参,甘草,茯苓
白术,芍药,当归,柴胡,茯苓
白术,当归,薄荷,柴胡,茯苓
山药,白术,党参,当归,黄芪
山药,白术,党参,当归,砂仁
白术,人参,天南星,枣仁,茯神
白术,黄芩,苍术,茯苓,当归
白术,黄芩,苍术,茯苓,川归
白术,党参,甘草,半夏,牡蛎
白术,黄芩,防风,白藓皮,茯苓
白术,黄芩,防风,云苓,丹皮
山药,川芎,当归,甘草,干姜
山药,白术,当归,黑附子,茱萸
芡实,莲须,菖蒲,萆,益智仁
白术,缩砂仁,人参,甘草,陈皮
白术,甘草,半夏,辣桂,茯苓
白术,神曲,麦芽,连翘,山楂
白术,神曲,麦芽,山楂,半夏
白术,神曲,黄连,苍术,半夏
建莲肉,大梨,枇杷叶50,蜜半杯,枣仁
白术,肉豆蔻,黑附子,甘草,木香
白术,川芎,升麻,生地
白术,黄芪,当归,柴胡,人参
白术,砂仁,山楂,人参,甘草
白术,党参,甘草,续断,茯苓
神曲,麦芽,生料平胃散
白术,香薷,石莲肉,茯苓,麦冬
黄芪,白果,当归,地肤子,阿胶
扁豆,山药,川芎,地黄,当归
白术,党参,牛膝,甘草,莪术
白术,川芎,当归,陈皮,黄柏
白术,党参,甘草,莲须,茯苓
白术,神曲,黄连,川芎,山楂
白术,川芎,苍术,山楂
白术,党参,黄耆,甘草,蔓荆子
白术,苍术,甘草,厚朴,黄柏
白术,黑附子,厚朴,茯苓,干姜
白术,龙骨,罂粟壳,五倍子,竹叶
白术,黄芩,黄连,茯苓,灯草
白术,黄芩,砂仁,黄连,人参
白术,川芎,当归,薏仁,枣仁
苍术,地黄,芍药,当归,茯苓
苍术,地黄,芍药,当归,茯苓
扁豆,党参,砂仁,白芍,于术
山药,党参,于术,砂仁,丹皮
苍术,人参,厚朴,甘草,陈皮
白术,山药,党参,白芷,苍术
白术,黄芩,砂仁,白芷,地黄
扁豆,白术,甘草,砂仁,茯神
白术,神曲,麦芽,人参,山楂
白术,党参,川芎,当归,茯苓
山药,白术,川芎,地黄,当归
白术,川芎,当归,人参,枣仁
党参,苍术,于术,桔梗,草豆蔻
诃子,肉豆蔻,良姜,人参,厚朴
扁豆,山药,白术,花粉,黄柏
白术,黄芩,茯苓皮,灯心,竹叶
扁豆,山药,白术,黄柏,枳壳
扁豆,山药,白术,黄柏,枳壳
扁豆,山药,神曲,黄连,党参
白术,芍药,山楂,陈皮,贝母
白术,党参,当归,厚朴,续断
山药,白术,神曲,党参,黄连
山药,神曲,麦芽,山楂,百合
扁豆,山药,神曲,黄连,白术
苍术,防风,茯苓,枣仁,陈皮
白术,党参,柴胡,鸡内金,郁金
白术,生黄耆,生姜皮,茯苓皮,大腹皮
白术,党参,当归,茯苓,陈皮
白术,党参,黄连,茱萸,茯苓
白术,芡实,建莲,饭党,贝母
神曲,麦芽,苍术,甘草,山楂
白术,川芎,当归,人参,陈皮
白术,黄芩,人参,茯苓,陈皮
白术,神曲,黄芩,苍术,山楂
山药,白术,党参,黄芩,鸡内金
扁豆,山药,党参,白术,麦冬
白术,党参,麦芽,山楂,枳实
山药,白术,神曲,黄连,麦芽
白术,麦芽,山楂,人参,陈皮
白术,神曲,川芎,山楂,芍药
白术,神曲,黄连,山楂,人参
山药,白术,神曲,麦芽,山楂
山药,白术,黄连,山楂,砂仁
扁豆,山药,白术,桔梗,苍术
白术,神曲,黄连,人参,茯苓
扁豆,山药,大麦芽,芡实,薏仁
白术,党参,黄连,当归,厚朴
蒸饼
神曲,黄芩,苍术,砂仁,川芎
白术,神曲,川芎,当归,山楂
白术,山楂,柴胡,人参,甘草
扁豆,山药,麦芽,枳壳,砂仁
白术,厚朴,陈皮,枳实
白术,神曲,人参,草豆蔻,半夏
白术,黄连,苍术,山楂,草豆蔻
粳米,枣仁,龙眼肉
白术,龙骨,茯苓,半夏,牡蛎
山药,白术,党参,龙骨,黄芪
粳米,高良姜,鹿头肉,香子,蔓荆子
粳米,冰糖,落花生
扁豆,神曲,山药,白芷,白术
粳米,嫩莲实
扁豆,山药,神曲,麦芽,麝香
苍术,肉豆蔻,山楂,木通,厚朴
或加肉桂,当归,熟地,甘草,干姜
山药,白术,神曲,当归,桔梗
山药,白术,神曲,黄连,当归
白术,人参,甘草,半夏,茯苓
白术,人参,甘草,干姜
白术,人参,甘草,半夏,茯苓
白术,人参,甘草,干姜
神曲,麦芽,大黄,山楂,厚朴
仙灵脾,黑豆皮,黄酒,陈皮,槟榔
柿饼,栗子肉
白术,黄芪,白矾,柴胡,菟丝子
肉豆蔻,片子姜黄,荜澄茄,巴豆,乳香
肉豆蔻,片子姜黄,荜澄茄,巴豆,乳香
诃子,山柰,碱花,大黄,木香
诃子,山柰,碱花,大黄,木香
白术,人参,甘草,半夏,茯苓
白术,党参,半夏,炙草,乌梅
白术,人参,甘草,半夏,茯苓
香茹,檀香,厚朴,羌活,柴胡
白术,人参,麦门冬,甘草,半夏
白术,麦芽,陈皮,神曲60克米粉,白糖
山药,白术,人参,甘草,芡实
白术,人参,黄耆,茯苓,牡蛎
白术,黑附子,肉豆蔻,桂,厚朴
白术,甘草,萆薢,茯苓,黄皮树叶
白术,防风,肉豆蔻,当归,人参
白术,防风,白芷,诃子,厚朴
神曲,山楂,川芎,当归,牛膝
白术,神曲,麦芽,砂仁,山楂
扁豆,猪腰,谷芽,车前,白芍
神曲,莪术,三棱,延胡索,陈皮
粳米,鲜荠菜
白术,黄芪,甘草,薏仁,茯苓
白术,党参,当归,黄芪,薏仁
黄芪,甘松,白芨,甘草,螵蛸
山药,芡实,糯米粉,白糖
山药,白术,党参,百合,芡实
白术,黄芩,使君子,石膏,黄连
白术,黄芩,桔梗,薏仁,茯苓
白术,防风,苍术,菟丝子,羌活
扁豆,白术,人参,半夏,甘草
白术,黑附子,厚朴,人参,草果仁
山药,白术,神曲,麦芽,人参
山药,白术,人参,山楂,甘草
3O克,丁香3O克,当归,人参,茯苓
山药,白术,当归,黄芪,砂仁
白术,当归,人参,枣仁,陈皮
肉豆蔻,草果子,缩砂仁,背皮,蒜
白术,苍术,草果,甘草,良姜
白术,芍药,陈皮,枳实
砂仁,厚朴,枳壳,陈皮,片姜黄
砂仁,大米
扁豆,赤芍等份,甘草,枳壳,丹皮
山药,白术,茱萸,牛膝,熟地
白术,柴胡,茯苓,半夏,枳壳
白术,黑附子,人参,茯苓,陈皮
扁豆,山药,白术,黄柏,紫河车
山药,白术,川芎,地黄,芍药
芡实米,金樱子
神曲,赤小豆,车前草,大麦须,茯苓
山药,白术,人参,肉豆蔻,芡实
山药,白术,人参,肉豆蔻,芡实
白术,鲜生姜,白面粉,白糖,益智仁
山药,枣仁,紫荆皮
粳米,山楂,砂糖
白术,陈皮,干姜,肉桂
白术,茯苓,泽泻,猪苓
山药,半夏,肉豆蔻,厚朴
白术,党参,牛膝,甘草,莪术
白术,党参,甘草,茯苓
白术,地黄,川芎,芍药,当归
苍术,薏仁,茯苓,苍耳子,元参
白术,山药,党参,当归,龙骨
扁豆,白术,人参,黄耆,甘草
白术,砂仁,人参,甘草,半夏
苍术,茴香,乌头
白术,木通,茯苓,泽泻,猪苓
白术,川芎,当归,独活,天麻
白术,白芷,川芎,白藓皮,当归
山药,黄芪,赤芍,续断,鹿茸
赤小豆,白樟柳根,陈皮,木香
肉豆蔻,陈米,30屯,甘草,陈皮
山药,白术,神曲,柴胡,人参
鲜土豆
猪脊骨,茯苓
白术,党参,甘草,良姜,丹参
白术,黄连,茯苓,苏叶,泽泻
山药,白术,党参,甘草,破故纸
白术,当归,草豆蔻,厚朴,人参
白术,神曲,党参,防风,山楂
山药,白术,柴胡,苍术,人参
苍术,白花蛇舌草,鹿衔草,麻黄,益母草
白术,黄精,枸杞,糯米,天冬
生姜皮,茯苓皮,陈皮,桑白皮,大腹皮
葱,鸡,酒,乌灵参,盐
党参,木香,生冬术,清炙草,黑干姜
扁豆,厚朴,香薷
砂仁,藕粉白糖,木香
砂仁,白砂糖,香橼
白术,砂仁,枳实,木香
白术,砂仁,枳实,木香
白术,党参,甘草,半夏,茯苓
白术,芍药,当归,柴胡,茯苓
白术,当归,薄荷,柴胡,茯苓
白术,当归,薄荷,柴胡,茯苓
白术,黄芩,苍术,防风,龙骨
干莲肉,茯苓,菟丝子,五味子
白术,良姜,缩砂仁,甘草,红豆
白术,茯苓,枳实,干姜
神曲,麦芽,苍术,黄连,川芎
山楂,谷芽,积壳等份,槟榔
白术,神曲,川芎,砂仁,人参
神曲,麦芽,干姜,炒乌梅肉
白术,大黄,黑附子,萝卜子,人参
白术,萝卜子,葶苈,茯苓,苏子
白术,黑附子,鳖甲,厚朴,萝卜子
白术,神曲,人参,半夏,白云苓
生黄耆,莪术,三棱,玄参,乳香
白术,黄芩,曲,缩砂仁,干生姜
神曲,黄芩,苍术,厚朴,桔梗
神曲,甘草,草果,丁皮,半夏
神曲,甘草,半夏,缩砂仁,陈皮
白术,人参,知母,生地,花粉
山药,小米白糖
白胡椒,茱萸,肉桂,丁香
白术,神曲,白芷,苍术,砂仁
苍术,陈皮,炒麦芽,茯苓,泽泻
扁豆,白术,人参,甘草,茯苓
薏仁
粳米,羊骨左右,生姜葱白,细盐
嫩肥羊肉,曲,糯米,杏仁,木香
山药,苍术,甘草,丁皮,良姜
诃子,甘草,陈皮,青皮,丁香
白术,当归,人参,枣仁,陈皮
山药,甘草,诃子,陈皮,青皮
山药,白术,党参,甘草,黄芪
党参,栀子,大黄,玉米须,地鳖虫
白术,党参,当归,苍术,山楂
白术,党参,山楂,甘草,半夏
白术,苍术,升麻,诃子,人参
白术,防风,黄芪,枣仁,蝉衣
苍术,地黄,何首乌,茯苓,天门冬
砂仁,甘草,甘草,地榆
白术,川芎,当归,茯苓,柴胡
白术,当归,姜炭L,丹皮,甘草
白术,人参,甘草,茯苓,陈皮
党参,桂圆肉,猫肉
檀香,缩砂仁,甘草,白豆蔻,木香
砂仁,檀香,甘草,白果仁,藿香
扁豆,山药,白术,川芎,地黄
白术,当归,厚朴,枣仁,陈皮
白术,神曲,苍术,人参,甘草
山药,当归,建莲肉,薏仁,枣仁
山药,芡实,薏仁,川椒,茯苓
仙灵脾,白花蛇舌草,当归,方1黄芪,半枝莲
扁豆,神曲,山药,黄连,白术
扁豆,山药,人参,甘草,茯神
白术3巴豆,缩砂仁,半夏,陈皮,白豆蔻
