丹参,菊花,赤芍,川芎,甘草,当归
铜绿,新针,胆矾,甘石,乌梅,苦参
金银花,赤芍,柴胡,木通,龙胆草,吴萸
冰片,半夏,乳没,草乌,天南星,川乌
五倍子,白矾,小麦,朴消,葱白
银花,当归,赤芍,黄柏,升麻,栀子
赤小豆,黄柏,青盐,黄连,大黄,马牙消
金银花,赤芍,柴胡,连翘,羌活,桔梗
银花,川芎,赤芍,当归,连翘,黄柏
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,枣仁,白糖,黄芪
清油,零陵香,地黄,黄蜡,天麻,芎
大戟,陈曲,麦蘖,甘遂,陈皮,陈皮
五倍子,枯矾,黄丹,白附子,白芷,丹参
冰片,龙骨,儿茶,甘石,元连,轻粉
马钱子,黑附子,穿山甲
连翘,茵陈,木通,当归,贝母,山栀仁
粳米,陈葫芦粉
冬瓜皮,枣仁,葫芦壳,西瓜皮
橘核,乳香,香附,荔枝核,昆布,穿山甲
金银花,木通,皂角,茯苓,大黄,薏仁
白酒,红蓝花
酒精,75,红花
冰片,银朱,松香,白芷,潮脑,贝母
赤芍,当归,红花,白及,防风
冰片,滑石,枯矾,硼砂,鸡内金,朱砂
冰片,枯矾面,棉胭脂
冰片,石膏,西瓜霜,元明粉,月石,朱砂
血竭,木香,五灵脂,海藻,琥珀,天南星
白芷,大黄,天南星,郁金
油,木鳖子,桂心,黄丹,白芷,木通
梅片,儿茶,熊胆,丹参,血琥珀,珍珠
没药,乳香,黑丑,沉香,琥珀,白丑
獾油,冰片面
獾油,大黄,地榆,石膏
没药,乳香,菖蒲,黄米,雄黄,蜈蚣
冰片,头发,香油,血竭,没药,乳香
冰片,当归,乳香,三七,自然铜,土鳖虫
乳香,三七,土鳖虫,当归,自然铜
冰片,血竭,没药,川芎,儿茶,当归
用纱布蘸透此液,6次,外盖纱布,胶布固定,活蚯蚓数条,贴敷患处
茯苓皮,泽兰,车前子,金钱草,泽泻,山药
金银花,没药,乳香,沉香,连翘,白芷
姜黄,白芷,芍药,花粉
赤芍,白芷,郁金,花粉
槐角,当归,地榆,枳壳,防风,黄芩
没药,乳香,栝楼,苏木,甘草,忍冬
五倍子
冰片,黄连,西瓜霜,熊胆,玄明粉,人指甲
没药,乳香,赤芍,当归,木通,贝母
葶苈,陈皮,红芽大戟,甘遂,神曲,灵脂
葶苈,大戟,大黄,甘遂,灵脂,芫花
祛湿药膏,化毒散
没药,乳香,巴豆,草乌,浮石
五倍子,枯矾,乌梅,雄黄,桃仁,川椒
鸡蛋
鲫鱼,冬瓜
野菊花,薄荷,白茅根,贝母
蒲公英,厚朴,大黄,红藤
淮地,薄荷,川乌
冰片,僵蚕,硼砂,火消,硇砂,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,山甲,全蝎,僵蚕,朱砂
山菊花,黄柏,黄连,栀子,黄芩
叶子雌黄,黄连,麝香,郁金,大黄,槟榔
金刚莲,马钱子霜,三七,陈皮,接骨木,红花
金刚莲,马钱子霜,三七,五加皮,捆仙绳,见血清
冰片,蒲黄,枪消,牙皂,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,青黛,大青叶,人中黄
冰片,黄芩,松香,连翘,白芷,薄荷
蟾酥,朱砂,丁香,雄黄
蒲公英,银花,黄芩,赤芍,连翘,薄荷
银花,甘草,赤芍,连翘,白芷,薏仁
蒲公英,金银花,甘草,川军,赤芍,连翘
白菊花
花椒,艾叶,陈酒糟,广胶,生葱,葱白
香油,章丹
金银花,连翘,黄连,山栀,丹皮,甘草
橘核,乌药,川军,干姜,胡芦巴,玄胡
乳香,血竭,没药,土鳖虫,胡椒,发灰
花椒,黄丹,生姜,葱白,大蒜头,槐枝
马钱子,枳壳,草乌
没药,乳香,好麻,苏木
没药,木鳖子,自然铜,茯苓,芍药,骨碎补
发灰,小黄米面,皂角末
冰片,赤石脂,没药,乳香,黄柏,熊胆
鸡内金,薄荷,黄连,升麻,栀子
没药,葱,乳香,木鳖子,当归,白胶香
乌药,陈皮,穿山甲,红花,独活,川芎
蒲公英,生地,瓜蒌,赤芍,蜂房,桔梗
车前子,官桂,地黄,茱萸,黑附子,丹皮
西瓜霜,西黄,珠粉,琥珀
白果,地肤子,桑白皮,白茅根,阿胶,当归
昆布,木通,海藻,白术,白僵蚕,半夏
没药,乳香,紫苏,苍术,黄柏,薄荷
没药,乳香,苍术,黄柏,薄荷,杏仁
冰片,龙骨,月石,贝母,朱砂,滑石
没药,乳香,马钱子粉,麻黄
没药,乳香,土鳖虫,麻黄,自然铜,马前子
醋2500毫升,半夏
西秦艽,大独活,广地龙,骨碎补,当归,威灵仙
或,3克,9克,9克,厚朴,萝卜子
鸡蛋,细盐,龙衣
冰片,蝙蝠
