珍珠母,丹皮,钩藤,五味子,磁石,仙茅酒,麦冬,浮小麦
远志,枣仁,枣仁,龙眼肉,党参,当归,黄芪,白术
獖猪心,颗块朱砂,灯心
茯神,金箔,枣仁,远志,龙齿,罗参,深红琥珀,颗块大朱砂
茯神,远志,五味子,山萸,莲须,山药,黄柏
远志,菖蒲,五味子,当归,龟版,人参,五倍子,茱萸
远志,菖蒲,丹参,琥珀末,茜草,陈皮,干地龙,薤白
朱砂,琥珀,当归,百草霜,血苗灰,黑衣,京墨,白僵蚕
茯神,枣仁,枸杞,麦门冬,芍药,地黄,枳壳,黄耆
牡丹,覆盆子,黑附子,黄耆,肉苁蓉,五味子,天门冬,鹿角胶
乌犀角,拣人参,枸杞,白蒺藜,防风,枳壳,麦门冬,肉苁蓉
黄精,甘桑椹,枸杞,麦门冬,天门冬,地黄,地黄,牛膝
远志,巴戟,菖蒲,枸杞,肉苁蓉,五味子,茴香,山药
朱砂,枳壳,芍药,黄芩,蓝叶,苏枋,栀子,槟榔
远志,朱砂,琥珀,菖蒲,白芍,丹参,人参,煅磁石
茯神,枣仁,远志,琥珀,菖蒲,朱砂,人参,乳香
檀香,朱砂,天竺黄,琥珀,枳壳,天南星,枳实,山药
朱砂,天竺黄,琥珀,赤苓,天南星,丹参,僵蚕,全蝎
朱砂,珍珠,天竺黄,琥珀,防风,天麻,贝母,钩藤
茯神,远志,菖蒲,天南星,大辰砂,人乳,真琥珀,人参
茯神,枣仁,远志,辰砂,琥珀,地黄,犀角,当归
茯神,远志,真琥珀,人参,羚羊角,甘草
茯神,枣仁,远志,琥珀,朱砂,生地,寸冬,节蒲
茯神,枣仁,远志,辰砂,琥珀,菖蒲,巴戟,柏子仁
辰砂,琥珀,麝香,乳香,没药
茯神,远志,金箔,辰砂,丹参,山药,黄耆,麝香3厘
朱砂,珍珠,琥珀,丹参,薄荷,麝香,龙涎香,犀角粉
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
