茯神,枣仁,远志,辰砂,琥珀,巴戟
辰砂,琥珀,乳香,没药,麝香
茯神,金箔,远志,辰砂,黄耆,山药
朱砂,琥珀,珍珠,丹参,羚羊角,犀角粉
红糖,合欢花,粳米
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,山药,蜈蚣,人参
茯神,金箔,天竺黄,朱砂,防风,蝉蜕
茯神,远志,金箔,天竺黄,朱砂,铁粉
金箔,辰砂,防风,犀角,天麻,丹参
金箔,铁粉,天竺黄,龙齿,虎睛,龙脑
茯神,远志,金箔,朱砂,铁粉,犀角屑
金箔,辰砂,天竺黄,白矾,二,皂荚仁
金箔,辰砂,天竺黄,白矾,皂荚仁,生白龙脑
茯神,远志,金箔,辰砂,菖蒲,乌梅肉
茯神,枣仁,合欢花,郁金,白芍,丹参
辰砂,明矾,天南星,半夏
茯神,枣仁,远志,朱砂,菖蒲,芍药
枣仁,远志,麦门冬,枳壳,生地,白芍
枣仁,远志,枳壳,生地,丹皮,厚朴
朱砂,琥珀,大黄,钩藤,天麻,胆南星
钱,2钱,土鳖虫,熟军,当归,自然铜
朱砂,黄芩,山栀仁,黄柏,减半,雄黄
随风子,大腹子,谷蘖,石斛,薏仁,槟榔
川姜,天麻,白附子,干蝎,天南星,白僵蚕
茯神,远志,菖蒲,贝母,麦冬,钩藤
枣仁,远志,人参,五味子,地黄,竹茹
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,人参
茯神,远志,厚朴,半夏,紫苏,茯苓
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞
川姜,天麻,白附子,干蝎,天南星,白僵蚕
茯神,枣仁,远志,白芍,麦冬,石斛
茯神,远志,麦冬,犀角,羚羊角,知母
茯神,巴戟,阳起石,肉苁蓉,黑附子,菟丝子
生川连,肉桂心
琥珀,茯苓,香附
檀香,石灰华,高山辣根菜,红景天,榜嘎,洪连
檀香,石灰华,高山辣根菜,红景天,榜嘎,洪连
珍珠母,太子参,菟丝子,女贞子,山药,五味子
远志,菖蒲,龟甲,龙骨
茯神,远志,龙齿,麦门冬,山药,桂心
枣仁,远志,琥珀,菖蒲,牡蛎,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参,灯心100厘米
面,椒等洗,洗去蜜酒令尽,搜下项药,蜜,再用酒调成膏
巴戟,阳起石,葫芦芭,钟乳,肉蔻,灵砂
辰砂,蝎梢,真麝香1字,人参,蜈蚣,白僵蚕
干百合,蜂蜜
茯神,枣仁,人参,赤芍,五味子,陈皮
茯神,枣仁,远志,金箔,辰砂,琥珀
茯神,枣仁,远志,黄耆,莲肉,罗参
茯神,天竺黄,贝母,钩藤,防风,胆南星
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,人参,黄蓍
茯神,枣仁,远志,朱砂,龙齿,麦门冬
茯神,远志,菖蒲,麦冬,黄芩,丹参
茯神,肉苁蓉,芡实,枸杞,韭子,紫石英
珍珠母,枣仁,合欢皮,钩藤,丹参,夏枯草
大朱砂,梅花片,真豆粉,丹参,甘草
珍珠母,水牛角,板蓝根,胆酸,猪脱氧胆酸,黄芩
枣仁,沉香,枫香脂,牛心粉,木香,丁香
菖蒲,芍药,当归,乌梅肉,人参,地黄
茯神,枣仁,远志,朱砂,牡蛎,人参
枣仁,知母,芎藭,茯苓,甘草
枣仁,粳米
枣仁,生地,丹参,龙骨,夜交藤,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,没药,麝香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母,麦冬
远志,肉苁蓉,巴戟天,菟丝子,山萸,山药
枣仁,山药,干姜,莲肉,当归,人参急者用30克
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,白芍,生地
檀香,朱砂,琥珀,降香,天麻,诃子
檀香,朱砂,琥珀,降香,郁金,天麻
茯神,枣仁,远志,辰砂,柏子仁,龙齿
檀香,枣仁,石灰华,高山辣根菜,紫檀香,诃子
朱砂,金箔,琥珀,白僵蚕,羌活,天南星
茯神,远志,金箔,铁粉,白僵蚕,丹参
远志,巴戟,菟丝子,牛膝,地黄,苁蓉
檀香,三,白芷,川芎,桔梗,甘草
枣仁,远志,柏子仁,麦门冬,人参,丹参
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬
枣仁,朱砂,远志,菖蒲,柏子仁,麦冬
枣仁,山萸,山药,五味子,益智仁,破故纸60宽
枣仁,远志,麦门冬,黄芩,人参,桂心
葱,酒,鸡,乌灵参,姜,盐
朱砂,郁金,黄芩,丹参,栀子,黄连
枣仁,柏子仁,丹皮,丹参,莲子心,玄参
茯神,犀角屑,龙齿,麦门冬,人参,黄芩
辰砂,琥珀,白芍,枸杞,青龙齿,赤芍
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,人参,胆南星,麝,真珠,脑
天竺黄,菖蒲,贝母,飞朱砂,胆南星,西丹参
远志,辰砂,肉苁蓉,牡蛎,干姜,人参
茯神,枣仁,远志,柏子仁,白芍,黄耆
朱砂,人参,钩藤,白术,茯苓,甘草
枣仁,远志,麦门冬,黄耆,人参,胆南星
葱,白糖,猪心,玉竹,味精,香油
枣仁,合欢皮,女贞子,浮小麦,灵芝,何首乌
枣仁,白糖,粳米,夜交藤
远志,茯苓X克,黄耆,芍药,人参,桂心
枣仁,薏仁,麦冬,山药,川断,甘杞子
茯神,枣仁,柏子仁,丹皮,生地,枳壳
茯神,枣仁,远志,柏子仁,龙齿,黄耆
寒水石,丁子香,黄金,磁石,犀角,滑石
朱砂,柏子仁,肉苁蓉,人参,紫石英,龙骨
茯神,枣仁,远志,人参,地黄,羚羊角
