珍珠母,酒曲,磁石,赭石,半夏,酒曲,牛膝
乌犀角,拣人参,白蒺藜,枸杞,麦门冬,肉苁蓉,防风
黄精,甘桑椹,枸杞,麦门冬,茯苓,牛膝,天门冬
远志,巴戟,菖蒲,枸杞,茴香,肉苁蓉,茯苓
朱砂,芍药,枳壳,黄芩,木香,槟榔,蓝叶
远志,朱砂,琥珀,菖蒲,白芍,人参,丹参
茯神,远志,枣仁,菖蒲,朱砂,琥珀,乳香
檀香,天竺黄,朱砂,琥珀,枳壳,茯苓,枳实
天竺黄,朱砂,琥珀,雄黄,全蝎,麝香,赤苓
天竺黄,朱砂,琥珀,珍珠,羌活,天麻,防风
茯神,远志,菖蒲,茯苓,人参,天南星,真琥珀
茯神,远志,枣仁,辰砂,琥珀,当归,甘草
茯神,远志,甘草,人参,羚羊角,真琥珀
茯神,远志,生地,枣仁,朱砂,琥珀,当归
茯神,黑附子,远志,枣仁,巴戟,菖蒲,辰砂
辰砂,琥珀,麝香,乳香,没药
茯神,金箔,黄耆,远志,辰砂,木香,桔梗
朱砂,琥珀,珍珠,麝香,薄荷,羚羊角,冰片
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,羌活,蜈蚣,茯苓,雄黄
茯神,金箔,天竺黄,蝉蜕,朱砂,防风,雄黄
茯神,金箔,生地,天竺黄,远志,朱砂,铁粉
金箔,辰砂,天麻,羌活,防风,茯苓,丹参
金箔,天竺黄,铁粉,黄连,麝香,龙齿,丹砂
茯神,金箔,远志,朱砂,铁粉,防风,地骨皮
金箔,天竺黄,辰砂,铅白霜,半夏,白矾,二
金箔,天竺黄,辰砂,铅白霜,半夏,白矾,生白龙脑
茯神,金箔,皮硝,远志,菖蒲,辰砂,雄黄
茯神,枣仁,合欢花,郁金,柴胡,当归,白芍
辰砂,明矾,天南星,半夏
茯神,远志,芍药,菖蒲,枣仁,朱砂,茯苓
远志,枣仁,丹皮,熟地,生地,阿胶,麦门冬
远志,枣仁,蝉蜕,丹皮,厚朴,熟地,生地
朱砂,琥珀,天麻,大黄,全蝎,钩藤,胆南星
土鳖虫,钱,2钱,熟军,当归,乳香,没药
朱砂,黄柏,黄芩,减半,雄黄,山栀仁,黄连
大腹子,谷蘖,随风子,薏仁,白术,陈皮,石斛
川姜,天麻,白附子,白僵蚕,半夏,天南星,川乌
茯神,远志,陈皮,菖蒲,贝母,玄参,麦冬
远志,枣仁,陈皮,五味子,枳实,茯苓,甘草
茯神,远志,枣仁,菖蒲,柏子仁,人参
远志,枣仁,朱砂,菖蒲,柏子仁,木香,茯苓
茯神,远志,厚朴,茯苓,甘草,紫苏,半夏
茯神,熟地,枣仁,菖蒲,琥珀,枸杞,肉苁蓉
川姜,天麻,白附子,白僵蚕,半夏,天南星,川乌
茯神,远志,丹皮,枣仁,生地,白芍,石斛
茯神,远志,当归,羚羊角,麦冬,知母,犀角
茯神,黑附子,干姜,巴戟,阳起石,厚朴,肉苁蓉
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,甘草,洪连,红花,榜嘎,红景天
檀香,石灰华,甘草,洪连,红花,榜嘎,红景天
珍珠母,地骨皮,太子参,当归,菟丝子,五味子,女贞子
远志,菖蒲,龙骨,龟甲
茯神,桂心,远志,麦门冬,天门冬,龙齿,地骨皮
远志,枣仁,琥珀,芍药,菖蒲,牡蛎,桂枝
