黄精,甘桑椹,枸杞,麦门冬,牛膝,地黄,地黄
远志,巴戟,菖蒲,肉苁蓉,枸杞,茴香,牛膝
朱砂,芍药,枳壳,麝香,黄芩,人参,苏枋
朱砂,远志,琥珀,菖蒲,白芍,丹参,人参
茯神,远志,枣仁,朱砂,琥珀,菖蒲,人参
檀香,朱砂,天竺黄,琥珀,枳壳,山药,枳实
朱砂,天竺黄,琥珀,赤苓,丹参,麝香,雄黄
朱砂,天竺黄,琥珀,珍珠,防风,贝母,天麻
茯神,远志,菖蒲,人参,天南星,大辰砂,人乳
茯神,远志,枣仁,琥珀,辰砂,地黄,犀角
茯神,远志,人参,真琥珀,羚羊角,甘草
茯神,远志,枣仁,朱砂,琥珀,生地,龙牙
茯神,远志,枣仁,琥珀,辰砂,菖蒲,柏子仁
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,黄耆,人参,山药
朱砂,琥珀,珍珠,丹参,麝香,龙涎香,犀角粉
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,羌活,山药,麝香,蜈蚣
茯神,金箔,天竺黄,朱砂,防风,丹参,山药
茯神,金箔,天竺黄,远志,朱砂,铁粉,西丹参
金箔,辰砂,防风,天麻,羌活,丹参,麝香
金箔,天竺黄,铁粉,龙齿,丹参,铅霜,麝香
茯神,金箔,远志,朱砂,铁粉,犀角屑,龙齿
金箔,天竺黄,生白龙脑,辰砂,皂荚仁,白矾,二
金箔,天竺黄,生白龙脑,辰砂,皂荚仁,白矾,铅白霜
茯神,金箔,远志,辰砂,菖蒲,乌梅肉,丹参
茯神,枣仁,合欢花,郁金,白芍,丹参,沉香
辰砂,明矾,天南星,半夏
茯神,远志,枣仁,朱砂,菖蒲,芍药,人参
枣仁,远志,熟地,丹皮,麦门冬,白芍,生地
枣仁,远志,熟地,丹皮,生地,厚朴,枳壳
朱砂,琥珀,天麻,牵牛,丹参,钩藤,胆南星
钱,土鳖虫,熟军,2钱,自然铜,乳香,血竭
朱砂,雄黄,黄芩,山栀仁,减半,黄柏,黄连
谷蘖,随风子,大腹子,石斛,薏仁,人参,五味子
川姜,天麻,干蝎,天南星,白僵蚕,白附子,川乌
茯神,远志,菖蒲,贝母,丹参,麦冬,钩藤
枣仁,远志,地黄,人参,五味子,枳实,竹茹
茯神,远志,枣仁,菖蒲,柏子仁,人参
朱砂,枣仁,远志,菖蒲,柏子仁,地黄,人参
茯神,远志,厚朴,紫苏,半夏,茯苓,甘草
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞,熟地
川姜,天麻,干蝎,天南星,白僵蚕,白附子,川乌
茯神,远志,枣仁,白芍,石斛,丹皮,麦冬
茯神,远志,知母,麦冬,犀角,当归,羚羊角
茯神,阳起石,黑附子,巴戟,肉苁蓉,干姜,菟丝子
生川连,肉桂心
琥珀,茯苓,香附
檀香,石灰华,洪连,榜嘎,红景天,高山辣根菜,丹参
檀香,石灰华,洪连,榜嘎,红景天,高山辣根菜,丹参
珍珠母,太子参,菟丝子,女贞子,地黄,山药,五味子
远志,菖蒲,龟甲,龙骨
茯神,远志,龙齿,麦门冬,桂心,地黄,山药
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎,芍药
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参,沉香,广皮
缝定,先将猪肚净洗,石斛,菟丝子,大猪肚,复以葱,研为膏
巴戟,肉蔻,阳起石,钟乳,灵砂,金铃子,葫芦芭
辰砂,蝎梢,真麝香1字,人参,白僵蚕,蜈蚣,半夏
干百合,蜂蜜
茯神,枣仁,人参,五味子,当归,赤芍,陈皮
茯神,金箔,远志,枣仁,琥珀,辰砂,菖蒲
茯神,远志,枣仁,黄耆,莲肉,罗参,当归
茯神,天竺黄,贝母,防风,枳壳,胆南星,钩藤
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,人参,山药,麝香,黄蓍
茯神,远志,枣仁,朱砂,龙齿,麦门冬,地黄
茯神,远志,菖蒲,丹参,丹参,麦冬,黄芩
茯神,肉苁蓉,枸杞,芡实,紫石英,地黄,韭子
珍珠母,枣仁,合欢皮,丹参,钩藤,夏枯草,甘草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,猪脱氧胆酸,胆酸,板蓝根,水牛角,黄芩,金银花
枣仁,沉香,枫香脂,丁香,牛心粉,木香,肉豆蔻
菖蒲,芍药,乌梅肉,地黄,人参,当归,川芎
茯神,远志,枣仁,朱砂,牡蛎,人参,益智
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨,炒柏子仁
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,当归,没药,木香
蛇黄,铁粉,使君子仁,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母,丹参,麦冬
远志,肉苁蓉,山萸,巴戟天,菟丝子,牛膝,山药
枣仁,干姜,山药,莲肉,当归,人参急者用30克,白术
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,白芍,生地,人参
檀香,朱砂,琥珀,降香,天麻,麝香,诃子
檀香,朱砂,琥珀,郁金,降香,天麻,丹参
茯神,远志,枣仁,辰砂,柏子仁,龙齿,黄耆
檀香,枣仁,石灰华,高山辣根菜,诃子,诃子,沉香
朱砂,金箔,琥珀,羌活,白僵蚕,天南星,白附子
茯神,金箔,远志,铁粉,丹参,丹参,麝香
远志,巴戟,牛膝,菟丝子,地黄,杜仲,苁蓉
檀香,三,白芷,甘草,川芎,桔梗
枣仁,远志,柏子仁,麦门冬,地黄,人参,丹参
茯神,远志,枣仁,柏子仁,菖蒲,麦门冬,地黄
朱砂,远志,枣仁,柏子仁,菖蒲,地黄,丹参
枣仁,山萸,山药,五味子,益智仁,破故纸60宽,党参
枣仁,远志,麦门冬,桂心,人参,黄芩,萆薢
葱,鸡,酒,乌灵参,姜,盐
朱砂,郁金,丹参,黄芩,栀子,黄连
枣仁,柏子仁,丹皮,丹参,莲子心,玄参
茯神,犀角屑,龙齿,麦门冬,人参,黄芩,甘草
琥珀,辰砂,青龙齿,枸杞,白芍,桃仁,柴胡
