丹参,川芎,甘草,莲子心,当归
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,昆布,荔枝核,穿山甲
金银花,薏仁,归尾,红花,木瓜
白酒,红蓝花
75,酒精,红花
冰片,松香,白芷,贝母,轻粉
赤芍,白及,红花,当归,防风
冰片,枯矾,硼砂,鸡内金,麝香
冰片,枯矾面,棉胭脂
冰片,西瓜霜,月石,元明粉,石膏
血竭,海藻,天南星,京墨,琥珀
白芷,天南星,郁金,大黄
油,木鳖子,桂心,黄丹,朱砂
熊胆,梅片,儿茶,血琥珀,珍珠
没药,黑丑,乳香,琥珀,沉香
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,菖蒲,黄米
冰片,没药,香油,血竭,黄丹
冰片,三七,土鳖虫,自然铜,乳香
三七,土鳖虫,乳香,自然铜,当归
冰片,没药,血竭,土鳖虫,自然铜
外盖纱布,活蚯蚓数条,贴敷患处,6次,胶布固定
茯苓皮,车前子,炮甲,泽兰,金钱草
没药,金银花,乳香,连翘,白芷
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,当归,防风,枳壳
没药,乳香,栝楼,苏木,忍冬
五倍子
冰片,熊胆,西瓜霜,玄明粉,人指甲
没药,赤芍,乳香,木通,花粉
葶苈,红芽大戟,甘遂,神曲,芫花
大戟,葶苈,甘遂,芫花,淡豆豉
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,雄黄,川椒
鸡蛋
冬瓜,鲫鱼
野菊花,白茅根,薄荷,贝母
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,火消,硇砂,雄黄
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,山甲,朱砂,全蝎
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,郁金,麝香,槟榔,黄连
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,18厘米,见血清
冰片,蒲黄,枪消,牙皂,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,松香,连翘,白芷,薄荷
