党参,枣仁,干姜,茱萸,甘草,半夏,陈皮
威灵仙,鸡血藤,桂枝,橘络,蜈蚣,赤芍,白芍,当归
威灵仙,五灵脂,木瓜,天麻,牛膝,松节,当归,防风
川芎,当归,乌药,羌活,防风,香附,麻黄,细辛
桃仁,红花,白芍,川芎,当归,黄连,柴胡,枳壳
桂枝,桃仁,赤芍,郁金,穿山甲,百部,路路通,皂角刺
桃仁,红花,赤芍,白芍,当归,川芎,熟地,柴胡
桃仁,红花,牛膝,穿山甲,乌药,柴胡,杜仲,玄胡素
桃仁,白芥子,牛子,红花,赤芍,白芍,天麻,当归
木瓜,蜈蚣,赤芍,川芎,全蝎,乌蛇,黑木耳,葛根
真辽人参,柿霜饼,防风,僵蚕,麝香,石膏,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,三棱,莪术,甘草,茯苓,白术
白酒,红花,赤芍,天南星,羌活,樟脑,草乌,独活
红花,蒲公英,赤芍,薄荷,酒军,银花,蝉蜕,白蒺藜
蜈蚣,党参,白芍,黄芪,羌活,当归,川芎,防风
鸡血藤,木瓜,白酒,海风藤,寄生,五加皮,络石藤
黄芪,当归,牛膝,防风
大豆,赤芍,防己,牛膝,干地龙,白茄根,归须,秦艽
威灵仙,桂枝,桃仁,红花,元胡,天南星,防己,羌活
红花,赤芍,牛膝,川芎,当归,熟地,独活,枳壳
桃仁,红花,丹参,没药,延胡索,乳香,银花,连翘
五灵脂,三七,九香虫,丹参,延胡索,香附,木香
橘络,蒲公英,全瓜蒌,橘叶,丝瓜络,通草,郁金,白蒺藜
透骨草,木瓜,红花,羌活,没药,当归,续断,防风
鸡血藤,白芍,牛膝,丹参,当归,没药,延胡索,申姜
蝎梢,藁本,天麻,黄耆,川芎,当归,防风,山药
天麻,当归,羌活,牛膝,萆薢,独活,杜仲,地黄
金铃子,赤芍,丹参,炙刺猬皮,砂仁,炒九香虫,延胡索,炒五灵脂
地龙,鸡血藤,蜈蚣,赤芍,牛膝,当归,丹参,干姜
鸡血藤,乌梢蛇,防己,眼镜蛇,石南藤,钻地风,银环蛇,金环蛇
乌梢蛇,酒
桃仁,红花,赤芍,丝瓜络,牛膝,当归,川芎,生地
地龙,威灵仙,刘寄奴,丹参,川芎,紫草,琥珀,草河车
桃仁,生地,生赤芍,犀角汁20毫升,生姜汁2滴,淡竹沥60毫升,青连翘,丹皮
桂枝,山楂,三七,丹参,黄芪,川芎,冰片,郁金
蚯蚓,天南星,荆芥,川芎,羌活,当归,苍术,防风
桂枝,木瓜,甲珠,赤芍,没药,秦艽,乳香,丝瓜
二郎箭,九头狮子草,白花草,老君髯
