党参,枣仁,干姜,茱萸,半夏,甘草,陈皮
威灵仙,鸡血藤,桂枝,橘络,蜈蚣,赤芍,白芍,当归
威灵仙,五灵脂,木瓜,天麻,牛膝,当归,松节,续断
乌药,当归,川芎,羌活,防风,麻黄,香附,白芷
桃仁,红花,白芍,当归,黄连,川芎,柴胡,青皮
桃仁,桂枝,赤芍,路路通,穿山甲,郁金,麦冬,百部
桃仁,赤芍,红花,白芍,当归,川芎,何首乌,熟地
桃仁,红花,穿山甲,牛膝,乌药,柴胡,生姜,杜仲
桃仁,牛子,白芥子,赤芍,红花,白芍,天麻,当归
木瓜,蜈蚣,赤芍,全蝎,川芎,葛根,黑木耳,乌蛇
真辽人参,柿霜饼,麝香,防风,僵蚕,石膏,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,莪术,三棱,白术,甘草,茯苓
赤芍,白酒,路路通,红花,天南星,羌活,樟脑,草乌
蒲公英,赤芍,红花,薄荷,蝉蜕,酒军,白蒺藜,银花
蜈蚣,党参,白芍,当归,黄芪,羌活,川芎,秦艽
鸡血藤,木瓜,白酒,寄生,五加皮,海风藤,络石藤
黄芪,当归,牛膝,防风
赤芍,大豆,防己,干地龙,牛膝,秦艽,白茄根,黄柏
威灵仙,桂枝,桃仁,红花,元胡,防己,天南星,羌活
赤芍,红花,当归,牛膝,川芎,熟地,独活,丹皮
桃仁,红花,丹参,没药,延胡索,丹皮,乳香,生姜
五灵脂,丹参,三七,九香虫,延胡索,香附,木香
橘络,蒲公英,橘叶,全瓜蒌,丝瓜络,通草,郁金,青皮
木瓜,透骨草,红花,续断,当归,羌活,没药,防风
鸡血藤,白芍,丹参,牛膝,当归,没药,延胡索,乌蛇
蝎梢,天麻,藁本,当归,黄耆,川芎,防风,山药
天麻,当归,羌活,牛膝,独活,萆薢,杜仲,地黄
赤芍,金铃子,丹参,砂仁,延胡索,炒五灵脂,炙刺猬皮,炒九香虫
地龙,鸡血藤,蜈蚣,赤芍,丹参,牛膝,当归,干姜
鸡血藤,乌梢蛇,防己,75度纯粮酒,七叶莲,石南藤,金环蛇,豨草
乌梢蛇,酒
桃仁,赤芍,红花,路路通,丝瓜络,当归,牛膝,川芎
地龙,威灵仙,刘寄奴,丹参,丹皮,川芎,琥珀,紫草
桃仁,生地,淡竹沥60毫升,青连翘,生姜汁2滴,生赤芍,犀角汁20毫升,丹皮
桂枝,山楂,丹参,三七,黄芪,冰片,川芎,郁金
蚯蚓,天南星,当归,苍术,羌活,川芎,荆芥,防风
木瓜,桂枝,赤芍,甲珠,没药,秦艽,乳香,丝瓜
老君髯,二郎箭,白花草,九头狮子草
赤小豆,晚蚕沙,防己,山栀,薏仁,滑石,杏仁,连翘
地龙,五灵脂,桂枝,赤芍,当归,官桂,草乌,川芎
鸡血藤,党参,赤芍,牛膝,当归,没药,黄芪,秦艽
鹿角霜,甲珠,水蛭,锁阳,片子姜黄,熟地,骨碎补,黄明胶
桃仁,党参,玉米须,地鳖虫,炮山甲粉,栀子,龙胆草,阿胶
桂枝,益母草,丹参,五味子,川芎,麦冬,南沙参,生地
当归,川芎,桔梗,枳壳,芍药,人参,甘草,茯苓
白糖,夜交藤,粳米,枣仁
木瓜,白芍,当归,防风,熟地,秦艽,蜜黄耆,肉桂
地龙,天麻,天南星,羌活,没药,全蝎,草乌,荆芥
赤芍,黄精,山楂,佛手,五味子,何首乌,淮山,金樱子
5条,30克,30克,30克,30克,当归,于术,人参
没药,当归,乳香,厚朴,白术,陈皮
桃仁,赤芍,红花,山甲,黄耆,皂刺
地龙,威灵仙,三七,片姜黄,寄生,赤芍,丹参,龟甲
地龙,威灵仙,鸡血藤,木瓜,桃仁,蜈蚣,伸筋草,红花
