茯神,远志,枣仁,朱砂,琥珀,生地
茯神,远志,枣仁,辰砂,菖蒲,琥珀
辰砂,琥珀,乳香,麝香,没药
茯神,金箔,远志,辰砂,黄耆,山药
朱砂,珍珠,琥珀,丹参,龙涎香,薄荷
红糖,合欢花,粳米
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,羌活,山药,乳香
茯神,金箔,朱砂,天竺黄,胆南星,防风
茯神,金箔,远志,朱砂,天竺黄,铁粉
金箔,辰砂,天麻,防风,羌活,犀角
金箔,天竺黄,铁粉,龙齿,丹参,银箔
茯神,金箔,远志,朱砂,铁粉,犀角屑
金箔,天竺黄,辰砂,皂荚仁,白矾,二
金箔,天竺黄,辰砂,皂荚仁,白矾,铅白霜
茯神,金箔,远志,辰砂,菖蒲,五味子
茯神,枣仁,合欢花,郁金,白芍,丹参
辰砂,明矾,天南星,半夏
茯神,远志,枣仁,朱砂,菖蒲,芍药
枣仁,远志,丹皮,熟地,麦门冬,枳壳
枣仁,远志,丹皮,熟地,厚朴,枳壳
朱砂,琥珀,天麻,牵牛,钩藤,大黄
土鳖虫,钱,熟军,2钱,自然铜,乳香
朱砂,雄黄,黄芩,减半,山栀仁,黄柏
谷蘖,大腹子,随风子,薏仁,石斛,槟榔
川姜,天麻,白僵蚕,干蝎,天南星,白附子
茯神,远志,菖蒲,贝母,钩藤,胆南星
枣仁,远志,枳实,五味子,陈皮,竹茹
茯神,远志,枣仁,菖蒲,柏子仁,人参
远志,枣仁,朱砂,菖蒲,柏子仁,地黄
茯神,远志,厚朴,半夏,紫苏,茯苓
茯神,枣仁,菖蒲,琥珀,枸杞,肉苁蓉
川姜,天麻,白僵蚕,干蝎,天南星,白附子
茯神,远志,枣仁,白芍,丹皮,石斛
茯神,远志,犀角,知母,麦冬,当归
茯神,黑附子,阳起石,巴戟,肉苁蓉,破故纸
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,榜嘎,洪连,红景天,高山辣根菜
檀香,石灰华,榜嘎,洪连,红景天,高山辣根菜
珍珠母,太子参,地骨皮,菟丝子,女贞子,五味子
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,地骨皮,龙齿,天门冬
枣仁,远志,菖蒲,琥珀,牡蛎,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参,姜皮
再用酒调成膏,用药同水酒入银石器内煮半日,研为细末,先将猪肚净洗,入银石器内水熬烂,锉
巴戟,灵砂,肉蔻,金铃子,葫芦芭,钟乳
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,五味子,陈皮,当归,赤芍
茯神,金箔,远志,枣仁,辰砂,菖蒲
茯神,远志,枣仁,黄耆,莲肉,陈皮
茯神,天竺黄,钩藤,贝母,胆南星,防风
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,麝香,黄蓍
茯神,远志,枣仁,朱砂,麦门冬,龙齿
茯神,远志,菖蒲,丹参,丹参,麦冬
茯神,枸杞,芡实,肉苁蓉,韭子,五味子
珍珠母,枣仁,合欢皮,钩藤,丹参,夏枯草
真豆粉,大朱砂,梅花片,丹参,甘草
珍珠母,水牛角,胆酸,猪脱氧胆酸,板蓝根,黄芩
枣仁,牛心粉,枫香脂,沉香,丁香,肉豆蔻
菖蒲,芍药,当归,地黄,人参,乌梅肉
茯神,远志,枣仁,朱砂,牡蛎,人参
枣仁,知母,芎藭,甘草,茯苓
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,麝香,当归,滴乳,没药
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母,钩藤
远志,肉苁蓉,巴戟天,牛膝,菟丝子,山萸
枣仁,干姜,山药,莲肉,当归,白术
朱砂,琥珀,天南星
远志,朱砂,琥珀,黄耆,白芍,生地
檀香,朱砂,琥珀,天麻,降香,乳香
檀香,朱砂,琥珀,天麻,郁金,降香
茯神,远志,枣仁,辰砂,柏子仁,黄耆
檀香,枣仁,石灰华,高山辣根菜,红花,野姜
金箔,朱砂,琥珀,羌活,白僵蚕,天南星
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,菟丝子,牛膝,杜仲,地黄
檀香,三,白芷,川芎,甘草,桔梗
枣仁,远志,柏子仁,麦门冬,五味子,丹参
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬
枣仁,远志,朱砂,菖蒲,柏子仁,丹参
枣仁,五味子,山萸,山药,党参,破故纸60宽
枣仁,远志,麦门冬,黄芩,桂心,萆薢
葱,鸡,乌灵参,酒,姜,盐
朱砂,郁金,黄芩,丹参,栀子,黄连
枣仁,丹皮,柏子仁,丹参,莲子心,玄参
茯神,犀角屑,麦门冬,龙齿,黄芩,人参
辰砂,琥珀,青龙齿,枸杞,白芍,赤芍
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,脑,人参,麝
天竺黄,菖蒲,西丹参,煅青礞石,珠粉,贝母
远志,辰砂,牡蛎,肉苁蓉,干姜,人参
茯神,远志,枣仁,柏子仁,白芍,黄耆
朱砂,钩藤,白术,人参,甘草,茯苓
枣仁,远志,黄耆,麦门冬,胆南星,地黄
葱,白糖,味精,玉竹,猪心,香油
枣仁,合欢皮,女贞子,何首乌,灵芝,浮小麦
枣仁,白糖,夜交藤,粳米
远志,黄耆,芍药,五味子,陈皮,桂心
枣仁,薏仁,山药,当归,麦冬,川断
茯神,枣仁,柏子仁,丹皮,丹参,枳壳
茯神,远志,枣仁,柏子仁,熟地,龙齿
寒水石,丁子香,黄金,磁石,犀角,滑石
朱砂,柏子仁,肉苁蓉,紫石英,麝香,龙骨
茯神,远志,枣仁,当归,地黄,羚羊角
