枣仁,远志,厚朴,熟地,丹皮
朱砂,琥珀,天麻,牵牛,钩藤
2钱,土鳖虫,熟军,钱,当归
朱砂,雄黄,黄芩,减半,黄柏
谷蘖,大腹子,随风子,五味子,薏仁
川姜,天麻,天南星,白僵蚕,白附子
茯神,远志,菖蒲,贝母,钩藤
枣仁,远志,枳实,陈皮,人参
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
茯神,远志,厚朴,茯苓,紫苏
茯神,枣仁,菖蒲,琥珀,肉苁蓉
川姜,天麻,天南星,白僵蚕,白附子
茯神,枣仁,远志,白芍,石斛
茯神,远志,当归,麦冬,犀角
茯神,黑附子,阳起石,肉苁蓉,巴戟
生川连,肉桂心
琥珀,香附,茯苓
檀香,石灰华,洪连,榜嘎,高山辣根菜
檀香,石灰华,洪连,榜嘎,高山辣根菜
珍珠母,太子参,地骨皮,菟丝子,当归
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,地骨皮,桂心
枣仁,远志,菖蒲,琥珀,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,灯心100厘米
菟丝子,再用酒调成膏,醋,面,新莲肉
金铃子,葫芦芭,肉蔻,巴戟,钟乳
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕
干百合,蜂蜜
茯神,枣仁,当归,陈皮,人参
茯神,金箔,枣仁,远志,辰砂
茯神,枣仁,远志,黄耆,当归
茯神,天竺黄,贝母,防风,枳壳
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,人参,山药
茯神,枣仁,朱砂,远志,麦门冬
茯神,远志,菖蒲,麦冬,丹参
茯神,肉苁蓉,芡实,枸杞,韭子
珍珠母,枣仁,钩藤,合欢皮,夏枯草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,猪脱氧胆酸,板蓝根,胆酸,水牛角
枣仁,枫香脂,牛心粉,沉香,木香
菖蒲,芍药,当归,地黄,人参
茯神,枣仁,朱砂,远志,牡蛎
枣仁,知母,茯苓,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,生地,龙骨,丹参
光明砂,磁石,神曲
辰砂,琥珀,当归,麝香,滴乳
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,菖蒲,辰砂,贝母
远志,肉苁蓉,巴戟天,山萸,牛膝
枣仁,干姜,当归,山药,莲肉
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,白芍
檀香,朱砂,琥珀,天麻,降香
檀香,朱砂,琥珀,天麻,郁金
茯神,枣仁,远志,辰砂,黄耆
檀香,枣仁,石灰华,高山辣根菜,红花
金箔,朱砂,琥珀,白附子,羌活
茯神,金箔,远志,铁粉,白附子
远志,巴戟,牛膝,菟丝子,杜仲
檀香,三,白芷,甘草,川芎
枣仁,远志,柏子仁,麦门冬,当归
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
枣仁,山萸,山药,破故纸60宽,五味子
枣仁,远志,麦门冬,桂心,人参
葱,酒,乌灵参,鸡,姜
