菟丝子,苍术
枸杞,巴戟,何首乌
何首乌
黄精,枸杞,覆盆子,青盐,菟丝子
车前子
粳米
粳米
菟丝子
菊花
粳米
石决明,十,苍术,十
石决明,苍术
石决明,苍术,蛇退
菊花,花椒,青盐
菊花,青盐
菟丝子
川椒,茴香,苍术,山药
苍术
苍术
苍术,川椒,茴香
苍术
菊花,枸杞
菊花,枸杞
枸杞,菊花
磁石,黄踯躅
磁石,黄踯躅
磁石,枸杞,菊花
磁石
菟丝子
枸杞,菟丝子,山药,黄精
楮实
防风,地黄
青盐
钟乳粉不拘多少
蔓菁花
胡桃瓤
破故纸,雄雀儿粪
黑桑椹
芜菁子
白瓜子
地肤子1斗
覆盆子,蔓荆子
车前子,菟丝子,茺蔚子,青葙子,决明子
青盐
巴戟,枸杞
山药,菟丝子
茴香,夏,夏,地龙
山药,菟丝子
马牙消
石斛,菟丝子
河南真绿豆粉,白硼砂,玄明粉,白粉霜
何首乌,枸杞,山药,菟丝子,何首乌
珍珠,熊胆,炉甘石,石决明
夜明砂
蒙花,菊花,木贼,蔓荆子,花椒
炉甘石
甘石,熊胆
蒙花,菊花,木贼,甘石
枸杞,菊花
山药,枸杞,菟丝子
炉甘石,珍珠,熊胆
炉甘石
磁石
椒红,菊花,决明子
椒
青葙子,木贼,石决明
何首乌
鹰眼睛
苍术,菊花
枸杞,覆盆子,菟丝子,虎胫骨
贯芎,乌犀屑,地龙,片脑,何首乌,松香脂
两头尖,贯芎,乌犀屑,地龙,片脑,何首乌,松香脂
石斛,云母粉,菟丝子,巴戟
琥珀,蔓荆子,茺蔚子,车前子
杏仁1斗,大麻子1斗,糯米1石,上曲
菟丝子,覆盆子
地黄,黄连
菊花,枸杞
决明子,菊花
金钗,石斛
车前子,决明子,覆盆子,菟丝子
枸杞
地龙,何首乌,覆盆子
粳米
老冬瓜仁
地黄,枸杞
秋蜜
熊胆,石斛,青葙子,决明子,菊花,石决明
珍珠,熊胆,炉甘石,青葙子,谷精草,菊花,蒙花,决明子,蔓荆子,车前子,枸杞
鹿角,麋角,山药,沙苑疾藜
菊花
覆盆子,枸杞
覆盆子
松脂,松子仁
枸杞
菊
不拘多少
枸杞
枸杞,菊花,青葙子
菊花,枸杞
珍珠
多年燕子窝,青盐,川百药煎
菊花,枸杞
炉甘石,熊胆
炉甘石,珍珠,熊胆
曾青
枸杞
枸杞
枸杞
枸杞
地黄3大升,大麻子5大升
枸杞,粳米
枸杞
枸杞
菊花,枸杞
青盐
旱莲草,青盐
破故纸,巴戟,菟丝子
枸杞,石斛,菊花,菟丝子,青葙子
菊花
甘石,新针
甘石,珍珠
蛇退,蒙花,木贼
黑铅
黑桑棋
菊花
西瓜霜,月石,硝苯汞
木贼,蒙花,决明子,石决明,夜明砂
石决明,蒙花,夜明砂
钟乳粉,云母粉
菟丝子,枸杞,石斛,菊花,青葙子
夜明砂
何首乌
粳米
萆薢
菊花,琥珀,蒙花,木贼,青葙子,蔓荆子,青盐
菊花,青葙子,菟丝子,枸杞,石斛
琥珀,京三棱
木脂珠
菊花,木贼
片脑,两头尖,地龙,天竹黄,何首乌,蜜糖
槐叶
槐子
车前子,牛蒡
嫩槐叶
旱莲草
牡蛎
零陵香,甘松
苍术
不拘多少
枸杞,菊花,车前子,巴戟,覆盆子,菟丝子
炉甘石,石决明
鸡头实
菊花
蒙花,菟丝子,枸杞
菊花
蔓荆子
菊花,枸杞,牛蒡
木贼,车前子
木贼,覆盆子
粳米
菊花
菊花,牛蒡
蝉壳,木贼
石决明,蔓荆子
菊花,覆盆子
菊花,乌头
菊花
山药,巴戟,枸杞,楮实
牵牛头末
枸杞,苍术,山药,鹿角霜
萆薢,乌头,川椒,大麦糵
巴戟
椒红,青盐
椒红
椒
磁石,钟乳粉,夜明砂,枸杞,菟丝子
菊花
生白芍,煨姜,桑叶
山药,杞果,蒙花
山药,菊花,枸杞
菊花,木贼
菊花
石斛
枸杞
车前子,枸杞
粳米
粳米,菊花
决明子
蔓荆子
决明子,槐子,覆盆子
决明子,菊花,枸杞
菖蒲,远志
川椒,栝楼,防风
菊花瓣,猪瘦肉,绍酒,胡椒粉
枸杞,决明子,菟丝子,覆盆子,车前子
菟丝子
菟丝子
菊花,石决明
石决明,菊花,琥珀
菊花,枸杞
山药,枸杞
冰片
鸡苏,地黄末
鸡苏,地黄末
蕤仁
鹿角霜
枸杞,菊花
车前子,黑参
芡仁
石决明,车前子
虎胫骨
菊花,薄荷
醋
诃子
槐枝叶
石决明,珍珠,曾青
炉甘石,片脑
炉甘石,片脑
水银
菊花,牛蒡,蔓荆子,木贼
脂麻,苍术,茴香,好铜钱
菊花,谷精草,木贼
夜明砂,黑脂麻
决明子,夜明砂,黑脂麻
当归
马齿苋1石
马齿实
珍珠,熊胆
粳米
蔓菁子
蔓荆子
石决明
枸杞,菟丝子
菊花
枸杞,菟丝子,山药,菊花
枸杞,菊花,石决明
菟丝子,枸杞
山药,麦冬,石斛
蒙花,石决明,菊花
青蒿花
盆消
粳米
菊花,决明子,车前子,黄精
菊花,枸杞,蒙花,甘松
磁石
石斛,菟丝子,菊花,枸杞
石斛,枸杞,菟丝子,菊花,青葙子,决明子
菊花,生栀,薄荷
干生姜,牵牛末
覆盆子,枸杞,菟丝子,车前子
羚羊角,犀角,草决明
菟丝子,枸杞,巴戟
乌头
牛蒡
菟丝子,石斛,石决明,谷精草
粳米
菟丝子,石斛,巴戟,覆盆子
菊花
枸杞,菊花
菊花
苍术,草决明,蒙花,菊花
1,5克,15克
决明子
菟丝子
菟丝子
菊花,青葙子
枸杞
粳米
山莱萸,山药
菟丝子
蔓荆子
山药,枸杞,石斛,菟丝子,青葙子
诃子,地黄
葳蕤,菊花
珍珠
苦楝皮,槐皮
