人参,山药,白术,芡实,熟地,茯苓,薏仁,肉桂,诃黎勒,益智,肉豆蔻
羚羊角,珍珠,水牛角浓缩粉,丹参,冰片,白芍,党参,黄芪,草决明,川芎,黄芩,甘松,薄荷,郁金
丹参,腻粉,朱砂,麝香,生犀末,脑子,铅白霜,雄黄,天南星,铁粉,川甜消,人参,金箔,银箔
天雄,白矾,腻粉,丹参,金箔,雄黄
蛤粉,牙消,朱砂,人参,雄黄,龙脑,甘草,金箔,银箔,丹参
丹参,茯苓,琥珀,麝香,全蝎,雄黄
丹参,犀角屑,羚羊角,黄芩,升麻,甘草,防风,麝香
麦冬,桔梗,甘草,花粉,陈皮,元参,百部
茯苓,瓜蒌,黄芩,枣仁,甘草
人参,白术,归身,茯神,荆芥,独活,犀角,麦门冬,枣仁,石膏,甘草,白附子,川芎,丹参,珍珠,地黄,黄连
米壳,甘草,杏仁,紫菀,桔梗,五味子,葶苈,人参,半夏,桑白皮,紫苏,陈皮
桑白皮,紫苏,细辛,五味子,陈皮,茯苓,杏仁,缩砂仁,枳壳,桔梗,甘草
桔梗,半夏,陈皮,前胡,千葛,茯苓,紫苏,麻黄,杏仁,桑白皮,甘草
麦冬,五味子,天冬,生地,桑白皮,款冬花,紫菀,桔梗,甘草,牛膝
人参,茯苓,茯神,远志,白术,菖蒲,枣仁,麦门冬,丹参,辰砂
茯神,远志,陈皮,半夏,杏仁,菖蒲,麦冬,桔梗,甘草
琥珀,人参,远志,天麻,花蛇肉,白附子,麻黄,羌活,川乌,蝉蜕,木香,真珠末,白僵蚕,全蝎,朱砂,金箔,银箔,麝香
黑附子,白附子,天南星,白术,茯苓
葛根,金银花,枇杷叶,竹叶,生地,桑叶,甘草
枳实,川芎,芍药,茯苓,甘草,黄连,黄芩,苍术,神曲,山楂
陈茶叶,粳米
槟榔,枳壳,术香,砂仁,半夏,丁香,肉豆蔻,全蝎
菖蒲,人参,茯神,川芎,铁粉,麦门冬,天麻,白附子,细辛
川芎,麝香,白芷,辰砂,白附子,天麻,天南星,二
川芎,麝香,白芷,辰砂,白附子,天麻,天南星
白矾,辰砂,天南星,半夏
神曲,麦糵,陈皮,白矾,皂角,天南星,半夏,白芷
辰砂,天南星,白矾,半夏
辰砂,白矾,天南星,半夏,白附子
草果仁,茯苓,缩砂仁,桔梗,甘草,生姜
茶叶,粳米,白糖
苍术,黄连,茯苓,神曲,茱萸,砂仁,甘草
苍术,陈皮,半夏,黄连,茯苓,茱萸
柴胡,陈皮,半夏,甘草,生姜
芍药,柴胡,黄连,龙胆草,黄芩,甘草
柴胡,黄芩,甘草,生地,丹皮,赤芍,红花,薄荷,苏叶,山栀
贝母,麻黄,桑白皮,葶苈,蜂蜜
贝母,枇杷叶,桔梗,白糖,柠檬酸5厘,薄荷5厘,苯甲酸,尼泊金,杏仁,杨梅香精
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
川芎,钩藤,菊花,白蒺藜,薏仁,白蔻,半夏,赤芍,牛膝
川芎,龙脑,薄荷,七十五,两细辛,防风,二十,桔梗,甘草,三十
川芎,薄荷,细辛,150克,780克,3,12千克,1,09千克
吃力伽,光明砂,麝香,诃梨勒皮,香附,沉香,木香,丁子香,安息香,白檀香,荜茇,犀角,熏陆香,苏合香,脑香
羚羊角,猪脱氧胆酸,麝香,沉香,人工竺黄,青礞石,硼砂
贝母,粳米,冰糖
粳米,砂糖,贝母
贝母,瓜蒌,花粉,茯苓,陈皮,桔梗
贝母,紫菀,五味子,百部,杏仁,甘草
五味子,甘草,知母
百合,甘草,茯苓,麻黄,石膏,人参,柴胡
贝母,桔梗,甘草,紫菀,杏仁
桑白皮,地黄,人参,紫菀,黄耆,五味子
柏子仁,川芎,菖蒲,茯神,当归,杭白芍,枣仁,细辛,甘草
黄芪,桔梗,沙参,杏仁,紫菀,茯苓,百合,半夏,甘草
白檀,荆芥,薄荷,栝楼,甘草,白芷,盐,缩砂仁
薄荷,防风,川芎,三,缩砂仁,桔梗,甘草,四
薄荷,防风,川芎,桔梗,缩砂仁,甘草
薄荷,川芎,桔梗,甘草,防风,缩砂仁
荆芥,盐,鸡苏叶,瓜蒌根十,缩砂仁,甘草
荆芥,盐,鸡苏叶,瓜蒌根,缩砂仁,甘草
缩砂仁,瓜蒌根,甘草,鸡苏叶,荆芥,盐
百部,麻黄,杏仁
象牙末,丹参5厘,黄连,熊胆,梅片,人参,珍珠,朱砂,象皮,麝香5厘
麻黄,生山栀,北细辛,五爪红,葶苈,杏仁,五味子,制桑白皮,清夏,石膏,紫菀,黄芩,甘草,制覆花
厚朴,血竭,柴胡,巴豆,玄参,肉豆蔻,知母,冰片
熟地,生地,当归,白芍,甘草,元参,百合
百合,地黄,地黄,玄参,当归,白芍,甘草
雷丸末,甘遂末,牵牛,龙脑,粉霜,轻粉
石膏,木通,桑叶,连翘,牛蒡,银花,蝉蜕,生地,黄芩
茯苓,人参,麦门冬,枣仁,甘草,朱砂,生龙脑
白矾,地黄,玄参,知母,诃黎勒皮
半夏,白术,人参,甘草,干姜
天南星,白僵蚕,地龙干,五灵脂,全蝎
人参,茯苓,远志,山药,辰砂,天麻,菖蒲,川芎,甘草,天南星,麝1字
琥珀,人参,茯苓,甘草,枳实,山药
琥珀,雄黄,全蝎,丹参,麝香,茯苓
郁金,天竺黄,雄黄,白矾
半夏,枳实,石膏,杏仁,茶叶,麻黄,瓜蒌霜,甘草,生姜
桑叶,前胡,麻黄,黄芩,青黛,花粉,枳壳,山楂,甘草,丹参
黄芩,天南星,半复
黑附子,半夏,生姜
半夏,茯苓,苍术,厚朴,广皮,甘草
半夏,瓜萎仁,贝母,桔梗,枳亮,知母
半夏,杏仁
茯苓,地黄,人参,芍药,芎藭,甘草,细辛,生姜
升麻,柴胡,藁本,茯苓,神曲,苍术,生姜,甘草
黄柏,干姜,天麻,苍术,茯苓,黄耆,泽泻,人参,白术,神曲,大麦蘖面
半夏,白术,天麻
白术,天麻,陈皮,茯苓,甘草,生姜,枣仁,蔓荆子
黄柏,干姜,天麻,苍术,茯芩,黄耆,泽泻,人参,白术,炒曲,大麦糵面,陈皮
半夏,秫米
茯苓,枳壳,槟榔,神曲,香附,厚朴,苍术,甘草
半夏,厚朴,茯苓,紫苏,诃黎勒皮,枳壳
射干,牛蒡,羚羊角,槟榔,枳壳,茯苓,甘草
半夏,厚朴,茯苓,生姜,干苏叶
白术,人参,茯苓,白矾,滑石,白附子
防风,半夏
半夏,白矾,朱砂,黄丹
白矾,半夏
瓜蒌子,半夏
半夏,茯苓,枳壳,朴消
半夏,郁李仁,陈皮,木香,槟榔
半夏,猪苓,破故纸,沉香
半夏,天南星,石膏,香附,栀子
北杏,雪梨,白砂糖
檀香,石膏,红花,甘草,丁香,北沙参,拳参,白葡萄干
檀香,石膏,红花,甘草,丁香,北沙参,拳参,白葡萄干
薄荷,甘松,硼砂,白檀香,紫苏,儿茶,片脑,霍香叶,桂花,乌梅肉
