川椒,菟丝子,破故纸
枸杞,金樱子,巴戟,何首乌
何首乌,仙茅
何首乌,何首乌,枸杞,覆盆子,青盐,菟丝子
车前子
粳米
粳米
车前子,菟丝子,决明子
车前子,菊花
粳米
石决明,十,十
石决明
石决明
菊花,青盐
菊花,青盐
菟丝子
川椒,茴香,苍术
苍术
苍术
川椒,茴香
苍术
菊花,枸杞
菊花,枸杞
枸杞,菊花
磁石,黄踯躅
磁石,黄踯躅
磁石,枸杞,菊花
磁石
菟丝子
枸杞,破故纸,菟丝子,山药,黄精
楮实
羌活,防风,地黄
青盐,破故纸
钟乳粉不拘多少
蔓菁花
破故纸
破故纸,雄雀儿粪
黑桑椹
芜菁子
白瓜子
地肤子1斗
石斛,覆盆子,蔓荆子
车前子,菟丝子,青葙子,决明子
破故纸,青盐
巴戟,枸杞
山药,菟丝子
茴香,夏,知母春秋,夏,狗茎
山药,菟丝子,破故纸
马牙消
石斛,菟丝子
河南真绿豆粉,白檀香,白硼砂,柿霜
何首乌,枸杞,菟丝子,何首乌
珍珠,熊胆,炉甘石,石决明
夜明砂
蒙花,菊花,木贼,蔓荆子
炉甘石
甘石,熊胆
蒙花,菊花,木贼,甘石
枸杞,菊花
枸杞,菟丝子
炉甘石,珍珠,熊胆
炉甘石
磁石,代赭石,人中黄
椒红,菊花,决明子
椒
青葙子,木贼,石决明
何首乌
鹰眼睛
菊花
枸杞,覆盆子,菟丝子
贯芎,乌犀屑,片脑,威灵仙,何首乌,松香脂
两头尖,贯芎,乌犀屑,片脑,威灵仙,何首乌,松香脂
石斛,云母粉,菟丝子,巴戟
琥珀,蔓荆子,车前子
1石2斗,糯米1石,上曲
菟丝子,枳壳,覆盆子
地黄,黄连,枳壳
菊花,枸杞
决明子,菊花
金钗,石斛
车前子,青葙子,决明子,覆盆子,菟丝子
枸杞
何首乌,川椒,覆盆子
粳米
老冬瓜仁
枸杞
秋蜜
熊胆,石斛,青葙子,决明子,菊花,桑叶,石决明
珍珠,熊胆,炉甘石,青葙子,谷精草,菊花,蒙花,决明子,蔓荆子,车前子,枸杞
鹿角,麋角,山药,沙苑疾藜
菊花
覆盆子,枸杞
覆盆子
松脂,松子仁
枸杞
菊
不拘多少
枸杞,何首乌
枸杞,菊花,青葙子
菊花,枸杞
珍珠
青盐,威灵仙
菊花,枸杞
炉甘石,熊胆
炉甘石,珍珠,熊胆
曾青
枸杞
枸杞
枸杞
枸杞
地黄3大升,大麻子5大升
