乳香,陈皮,茱萸,蓬莪茂
没药
铜绿
踯躅花,鹅不食草
草乌,威灵仙,紫荆皮
芙蓉叶,赤小豆
三七,威灵仙
破故纸,五灵脂
石韦,海金沙,关木通
破故纸,五灵脂,没药
草乌
三七,没药
草乌
草乌,樟脑
威灵仙
三七,樟脑
没药
没药
樟脑
三七,血竭
没药,三七
没药
没药
三七
芍药
银花
草乌
血竭
没药
草乌
玄胡
银花
威灵仙
没药
没药
三七,没药
没药
透骨草,铁屑
老鹳草
血竭,没药
草乌
木瓜,乳香
没药
元胡
红花,蒲黄
乳香
草乌
草乌
没药
元胡
血竭,没药
破故纸
没药,芍药
没药,木瓜
血竭
红花,生姜
郁李仁,白芥子
元参
樟脑
元胡
茄子根,大麻仁,恶实根,白花蛇,松节,乌蛇
萆薢
银花
玄胡索,破故纸
玄胡索
玄胡索
没药
银花
桑叶,藁本,白茅根,荷叶
三七
没药,三七
