黄鳝
牛膝,五灵脂,地龙,巴戟,菟丝子
枸杞
覆盆子,菟丝子,牛膝
苍术,木瓜,白蔻壳,薏仁,枇杷叶
牛膝,菟丝子,覆盆子
覆盆子,牛膝,菟丝子
天仙藤,青蒿子,苍术,茴香
黑牵牛
枸杞
威灵仙
川椒,茴香,苍术
苍术
苍术不拘多少
苍术
牛膝,菟丝子,蛇床子
牛膝
菟丝子,牛膝,覆盆子
菟丝子
鹿茸
菟丝子,韭子,牛膝
巴戟,牛膝
菟丝子
牛膝
覆盆子,枸杞
鼠苓,拣参,生芩
牛膝
牛膝,蛇床子
牛膝,菟丝子
威灵仙
威灵仙
菟丝子,牛膝
枸杞,牛膝,地龙
牛膝
萆薢
牛膝
牛膝,三七
蛇床子,覆盆子
菟丝子,牛膝
牛膝
菟丝子
乌头,蛇床子
代赭石
枸杞,破故纸
牛膝
牛膝
代赭石
茴香,茴香,木鳖子
枸杞,牛膝
枸杞,三七,破故纸
破故纸,骨碎补,功劳叶,薏仁,虎骨
枸杞,三七,破故纸
牛膝,蛇床子
牛膝,巴戟
苍术
牛膝
牛膝
牛膝
牛膝,菟丝子,巴戟
五灵脂
川椒,小草,黄连
大朱砂
糯米5斗,面曲
牛膝
覆盆子,菟丝子,地龙
地龙,牛膝,覆盆子
牛膝
乌头
菟丝子,牛膝
龟版,麦冬
菟丝子,牛膝
磁石
牛膝
牛膝
牛膝
牛膝
牛膝
覆盆子,枸杞
牛膝,萆薢
菟丝子,覆盆子
地黄21,7,黑豆13,金樱子13
枸杞
枸杞
覆盆子,菟丝子
黄雌鸡
萆薢,牛膝
蒲公英,解盐
牛膝
糯米,曲
萆薢,牛膝,枸杞
牛膝
牛膝
萆薢,牛膝,枸杞
牛膝
威灵仙,地龙
萆薢,地龙
牛膝
牛膝,菟丝子
威灵仙
威灵仙
五灵脂
牛膝
牛膝
牛膝
牛膝
牛膝
牛膝
鸡血藤
巴戟天,地龙,茴香,马蔺子
三七
巴戟,广荗,牵牛头末
枸杞
五灵脂
五灵脂
巴戟
牛膝,巴戟,菟丝子
牛膝
糯米饭1盏
牛膝
萆薢,菟丝子
牛膝,菟丝子
菟丝子,牛膝
枸杞
牛膝,菟丝子
牛膝
川椒,栝楼
蛇床子,巴戟
丹参
牛膝
川柏皮
地龙,萆薢,茴香
牛膝
牛膝
牛膝,菟丝子
鹿茸
牛膝
牛膝
覆盆子,蛇床子
牛膝
菟丝子
覆盆子,牛膝,蛇床子
骨碎补,破故纸
牛膝
牛膝,萆薢
牛膝,巴戟
牛膝
威灵仙
牛膝,覆盆子
五灵脂,威灵仙
五灵脂,威灵仙
牛膝,菟丝子
牛膝
菟丝子,牛膝
牛膝
牛膝
牛膝,菟丝子,覆盆子
牛膝
天仙藤,青蒿子,苍术,茴香
菟丝子,覆盆子
覆盆子,蛇床子
菟丝子,牛膝
白酒
薏仁
羊骨左右,细盐,生姜葱白
牛膝,蛇床子,菟丝子,巴戟
菟丝子,牛膝
牛膝,菟丝子,覆盆子
白酒
