苦楝皮
牛蒡,黄酒
地肤子,荆芥
白鲜皮,五加皮,生草
威灵仙,猪苓,黄连,茜草,赤苓皮,白鲜皮,丹皮
威灵仙,猪苓,黄连,茜草,赤苓皮,白鲜皮,丹皮
大风子仁,枯矾,蛇床子,核桃仁
雄黄,轻粉
自然铜
75,酒精
轻粉,枯矾
百部,苦参,蛇床子,雄黄
祛湿药膏
威灵仙,红花,白花蛇,苦参,黄柏,全虫,丹皮,荆芥,白鲜皮
麝香,熊胆,冰片,炉甘石
蛇床子,苦参,槿皮
侧柏叶,苏叶
全虫,斑蝥,米醋
槿皮,蛇床子,百部,樟脑,轻粉
槿皮,海桐皮,雄黄,轻粉
槿皮,海桐皮,雄黄,轻粉
炉甘石,梅片,珠子,丹参
冰片
羊毛脂,凡士林
芥菜花1味
白花蛇
丹皮,黑参,红花
地榆
黄柏
土荆皮,蛇床子,大风子仁,百部,侧柏叶,花椒
大枫子肉,花椒,槿皮,鲜凤仙花,米醋
枯矾,麝香7厘
丹参
枯矾
雄黄
槿皮
米醋,百部,蛇床子,丹参,槿皮,白砒,轻粉
丹参,茜草,红花,苦参,白鲜皮,地肤子
轻粉,东丹
升麻,苦参,蛇床子
樟丹,枯矾,轻粉
冰片,甘石粉,黄柏
轻粉
马齿苋,蒲公英,如意草
五倍子末
新米糠
蛇床子,黄柏,丹参,轻粉
炉甘石,梅片,丹参,熊胆,黄连
胡椒
橄榄核
凡士林
黑豆油,15,氧化锌
白蔹
凡士林
蜂蜜
五倍子末,蜂蜜
轻粉
枯矾,明矾,百部,雄黄,白鲜皮,丹参,蛇床子
枯矾,明矾,百部,雄黄,白鲜皮,丹参,轻粉,蛇床子
黄精,皂矾,醋
黄精,皂矾,醋
威灵仙,苦参,牛蒡
红花,赤芍,白及
红信,棉子油
干胭脂粉
丹参,赤芍,荆芥,威灵仙,苦参
槐角,地榆
大风子,胡桃,水银
官粉,樟丹,冰片
雄黄,枯矾,川椒,蛇床子
楮桃叶
轻粉
苦参,细辛,乌蛇
荆芥,浮萍,牛蒡,丹皮
荆芥,金银花,牛蒡,丹皮,紫背浮萍
轻粉,枯矾,樟脑,冰片
枯矾
荆芥,桃仁,红花
大风子肉,水银,红砒
斑蝥虫,江子,文火化开,将药放入,炸枯,去滓,滤清
川椒,葱白
黄连,黄柏,槐枝,白鲜皮,生草
大青叶,黄柏,川军,白藓皮,丹皮,赤芍
大青叶,黄柏,川军,白鲜皮,丹皮,赤芍
全虫,皂刺,槐花,苦参,荆芥,威灵仙,白鲜皮
全虫,赤芍,白藓皮,蛇床子,浮萍
全虫,赤芍,白鲜皮,蛇床子,浮萍
凡士林
黄柏,轻粉,红粉
苦参,百部,樟脑
苦参,蛇床子,苏叶,枯矾
苦参,明矾,川椒,荆芥,蛇床子
氧化锌
糠馏油
地榆
柴胡,白鲜皮
苦参,威灵仙
胆草
水银
明矾,黄柏,苦参,蛇床子,荆芥
丹参
丹参
止痒药膏
地肤子,白鲜皮,荆芥
炉甘石,氧化锌
槐花,黄连,浮萍
干姜皮,浮萍,白藓皮,丹参,丹皮
干姜皮,浮萍,白鲜皮,丹皮,丹参
马齿苋
青黛,黄柏
青黛,冰片
乌梢蛇,黄柏,白鲜皮
荆芥,赤芍,丹皮
荆芥,苦参,赤芍
瓦松,马齿苋,川文蛤,川椒,葱白,侧柏叶,焰消
水银
水银
蛇床子,苦参,威灵仙,黄柏,明矾
威灵仙,蛇床子,苦参
百部,土荆皮,枫子肉,川椒
轻粉,黄柏末
石楠叶,地肤子,白酒
青黛,黄柏末,氧化锌,凡士林
白酒
松香末,枯矾,五倍子末
茯苓皮,地肤子,牛蒡,赤芍
黄柏,苦参等量
黄柏,冰片
蛇床子,川椒
蜈蚣
乌梢蛇
乌蛇,蝉衣,荆芥,黄连,银花
荆芥,丹皮,僵虫,丹参
枯矾,水银,枫子肉
土荆皮,蛇床子,大风子仁,百部,侧柏叶,花椒
轻粉
丹皮,赤芍,苦参,牛蒡,白鲜皮,大青叶,红花
明矾,蛇床子,丹参
藜芦,苦参,槐枝
枯矾,雄黄,蛇床子
蛇床子,枯矾,川椒,樟脑,雄黄
水银,雄黄
茯苓皮,地肤子,银花,焦栀,乌梢蛇,老鹳草
槿皮,百部,海桐皮,白鲜皮,苦参,蛇床子,千金子,地肤子,蜈蚣
姜黄,轻粉,冰片,蜂白蜡
赤芍,鬼箭羽,地龙,蝉衣
荆芥,桃仁,红花,赤芍
苦参,黄柏,明矾,枯矾,枫子肉,水银,轻粉
苦参,明矾
苦参,黄柏,白藓皮,地肤子,蒲公英
皂刺,赤芍,山甲
