荆芥,防风,独活,麻黄
当归,川芎,藁本
天南星,天麻,蝎梢
红花,刘寄奴,威灵仙,白芥子
桃仁,红花,地龙,五灵脂
酒炒破故纸,山萸,煨莪术,通草,橘核
王不留行
75,酒精
地龙,桃仁,红花
党参,川断,鹿角霜,伸筋草
粳米,桂枝
樟丹
山甲,蜈蚣,皂刺
桂枝,木瓜,干地龙,蜈蚣,川断
当归,通草,桂枝
白酒
地龙,白酒
地龙,桃仁,元胡,当归,川断
淡干姜,蜈蚣
地龙,木鳖子
江米酒
白芥子,丝瓜络,橘核,金银花藤,鸡血藤
川断,鸡血藤,蒲公英
党参,鸡血藤
青金石,诃子,红花,打箭菊,红花
红花,木瓜
石膏,秦艽,防风,芎劳,防己
桂枝
钩藤,蜈蚣,赤芍,白芍,当归,丹参
赤小豆,防己,鸡血藤,赤芍
瓜蒌根,红花,桃仁
桂枝,威灵仙
王不留行,刘寄奴
鸡血藤
桂枝,防风
桂枝,红花,赤芍
桂枝,赤芍
桂枝,赤芍
地龙,威灵仙,当归
丹参,茜草,干地龙,薤白,五灵脂,琥珀末
赤芍,红花
党参,白芍,桂枝,寄生,牛膝
白芍,桂枝,片姜黄,寄生
黄芪,当归,白芍
明矾,丹参,蛇床子,白凤仙花,陈米醋
当归,红花,花椒
黄芪,当归,赤芍,丹参
桂枝,干地龙,木瓜,丹参
赤芍,片姜黄,伸筋草,松节,海桐皮,路路通
赤芍,红花
三七,牛膝,红花,防己,透骨草
木鳖子,桃仁,山甲,诃子,地龙,川断,蜈蚣
红花,没药,当归,钩藤,刘寄奴
当归
当归
地龙
赤芍,红花
赤芍,当归,刘寄奴
寄生,伸筋草,威灵仙,桃仁,红花
透骨草,伸筋草,茜草,刘寄奴
防风,当归,桂枝
桃仁,当归,赤芍
木瓜
金铃子,元胡,吴萸,白芍,香缘皮,煅瓦楞
海风藤,威灵仙,牛膝,桃仁,全虫,白芍,双花,当归,天麻,羌活
白芥子,橘络,片姜黄,透骨草
天麻,官桂,羌活
羌活,天麻,川芎,天南星,当归
茜草
丹参,桂枝
柴胡,白芍,当归
杭白芍,蜈蚣
桃仁
党参,牛膝
威灵仙
白芥子,鹿角霜,桃仁,赤芍
寄生,鸡血藤,蜈蚣
地龙,五灵脂,威灵仙,木瓜,赤小豆,木鳖子
牛膝,白芍,丹参,红花
龟版,牛膝,秦艽,木瓜,当归,锁阳,羌活
当归,秦艽,龟版,白芍,羌活,锁阳,木瓜,牛膝
防己,羌活,瓜蒌根
牛膝,海桐皮,威灵仙,当归
党参,赤芍
地龙,乌梢蛇
五灵脂,地龙
当归,牛膝,木瓜,羌活,乌药,鹿角霜
桃仁
赤芍,丹参,红花
当归,白芍,木瓜,牛膝,龟甲
茜草,王不留行,木瓜
当归,白芍,大力子
地龙,玉米须
鹿角霜
丹参,白芍,当归,党参
乌头,天南星
乌梢蛇,桂枝,蜈蚣
威灵仙,桂枝
白芍,威灵仙,当归
党参,枣仁
鸡血藤,赤芍,威灵仙,桂枝,蜈蚣,橘络
木瓜,五灵脂,松节,威灵仙
当归,川芎,乌药,羌活,防风
桃仁,红花
赤芍,桃仁,路路通,桂枝
当归,白芍,桃仁,红花,赤芍
桃仁,牛膝,红花
当归,赤芍,白芍,桃仁,红花,天麻,白芥子
蜈蚣,赤芍,木瓜
真辽人参,柿霜饼
野芋头等量
党参,牛膝
路路通,樟脑,赤芍,红花,天南星,白酒
红花,蒲公英,赤芍
党参,当归,黄芪,白芍,蜈蚣
鸡血藤,木瓜,白酒
当归,黄芪
大豆,赤芍,干地龙
红花,威灵仙,桃仁,元胡,桂枝
赤芍,当归,红花,牛膝
红花,桃仁
五灵脂
橘络,蒲公英
红花,木瓜,透骨草
鸡血藤
天麻,藁本,蝎梢,当归
天麻,羌活,牛膝,当归
金铃子,赤芍
赤芍,地龙,鸡血藤,蜈蚣
乌梢蛇,鸡血藤
乌梢蛇
赤芍,桃仁,红花,丝瓜络,路路通
丹参,刘寄奴,地龙,威灵仙
桃仁
三七,桂枝
当归,羌活,天南星,蚯蚓
桂枝,赤芍,木瓜
老君髯,九头狮子草
防己,晚蚕沙,赤小豆
桂枝,当归,地龙,赤芍,五灵脂
赤芍,党参,海风藤,鸡血藤
鹿角霜,锁阳,水蛭
党参,地鳖虫,桃仁,玉米须,炮山甲粉
桂枝
川芎,当归
夜交藤
当归,白芍,木瓜
天南星,天麻,羌活,地龙,没药
黄精,赤芍,佛手
5条
当归,乳香,没药
桃仁,红花,赤芍
地龙,寄生,威灵仙,赤芍,片姜黄,三七
红花,桃仁,鸡血藤,地龙,伸筋草,蜈蚣,威灵仙,木瓜
